Oregon, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,.89,0.96
189605,2.88,2.95
189705,-.95,-0.88
189805,-1.41,-1.34
189905,1.52,1.59
190005,.24,0.31
190105,-.23,-0.16
190205,2.26,2.33
190305,-1.26,-1.19
190405,-.62,-0.55
190505,-1.63,-1.56
190605,.85,0.92
190705,2.02,2.09
190805,.47,0.54
190905,-1.32,-1.25
191005,-1.4,-1.33
191105,.61,0.68
191205,1.65,1.72
191305,1.03,1.10
191405,-1.04,-0.97
191505,1.1,1.17
191605,2.58,2.65
191705,1.7,1.77
191805,-1.24,-1.17
191905,-.44,-0.37
192005,.34,0.41
192105,.37,0.44
192205,-.29,-0.22
192305,.22,0.29
192405,-3.86,-3.79
192505,.74,0.81
192605,-2.79,-2.72
192705,1.54,1.61
192805,-.99,-0.92
192905,-3.12,-3.05
193005,-3.16,-3.09
193105,-4,-3.93
193205,1.24,1.31
193305,.81,0.88
193405,-3.42,-3.35
193505,-1.64,-1.57
193605,-1.84,-1.77
193705,1.17,1.24
193805,-.63,-0.56
193905,-3.53,-3.46
194005,-1.86,-1.79
194105,.8,0.87
194205,2.02,2.09
194305,1.87,1.94
194405,-2.05,-1.98
194505,2.06,2.13
194605,-.8,-0.73
194705,-2.24,-2.17
194805,3.41,3.48
194905,-.91,-0.84
195005,-.59,-0.52
195105,-.7,-0.63
195205,-.94,-0.87
195305,2.56,2.63
195405,-1.15,-1.08
195505,-.31,-0.24
195605,2.62,2.69
195705,2.06,2.13
195805,1.27,1.34
195905,-1.09,-1.02
196005,2.26,2.33
196105,.33,0.40
196205,-.01,0.06
196305,1.5,1.57
196405,-1.24,-1.17
196505,-1.9,-1.83
196605,-2.36,-2.29
196705,-.86,-0.79
196805,-2.5,-2.43
196905,-1.31,-1.24
197005,-.86,-0.79
197105,1.96,2.03
197205,-.29,-0.22
197305,-2.94,-2.87
197405,-.31,-0.24
197505,1.19,1.26
197605,-.64,-0.57
197705,.97,1.04
197805,1.16,1.23
197905,-.05,0.02
198005,.27,0.34
198105,.47,0.54
198205,2.69,2.76
198305,3.97,4.04
198405,3.48,3.55
198505,-2.34,-2.27
198605,-.41,-0.34
198705,-1.89,-1.82
198805,-2.25,-2.18
198905,-.11,-0.04
199005,-1.41,-1.34
199105,2.01,2.08
199205,-3.83,-3.76
199305,1.87,1.94
199405,-2.81,-2.74
199505,1.66,1.73
199605,4.24,4.31
199705,2.96,3.03
199805,3.5,3.57
199905,-.28,-0.21
200005,-1.18,-1.11
200105,-3.71,-3.64
200205,-2.08,-2.01
200305,-1.32,-1.25
200405,-2.16,-2.09
200505,1.73,1.80
200605,-.22,-0.15
200705,-1.74,-1.67
200805,-.77,-0.70
200905,-1.81,-1.74
201005,1.53,1.60
201105,4.17,4.24
201205,1.65,1.72
201305,-1.88,-1.81
201405,-1.04,-0.97
201505,-2.59,-2.52
