Louisiana, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,1.07,1.27
189607,-2.69,-2.49
189707,-3.15,-2.95
189807,.66,0.86
189907,-3,-2.80
190007,3.18,3.38
190107,-1.99,-1.79
190207,-3.58,-3.38
190307,-.86,-0.66
190407,-2.76,-2.56
190507,3.45,3.65
190607,-1.25,-1.05
190707,-1.3,-1.10
190807,1.61,1.81
190907,-1.16,-0.96
191007,1.62,1.82
191107,1.05,1.25
191207,2.37,2.57
191307,1.15,1.35
191407,-1.95,-1.75
191507,-1.54,-1.34
191607,-.92,-0.72
191707,-3.09,-2.89
191807,-5.33,-5.13
191907,2.93,3.13
192007,2.12,2.32
192107,-.75,-0.55
192207,1.85,2.05
192307,2.53,2.73
192407,-2.2,-2.00
192507,-5.66,-5.46
192607,1.6,1.80
192707,-.1,0.10
192807,1.84,2.04
192907,-.21,-0.01
193007,-2.82,-2.62
193107,-1.95,-1.75
193207,-1.49,-1.29
193307,1.7,1.90
193407,-1.23,-1.03
193507,-.08,0.12
193607,-2.4,-2.20
193707,-2.33,-2.13
193807,.13,0.33
193907,-1.15,-0.95
194007,2.25,2.45
194107,3.51,3.71
194207,1.97,2.17
194307,-2.57,-2.37
194407,-1.59,-1.39
194507,1.63,1.83
194607,4.76,4.96
194707,-1.13,-0.93
194807,-2.48,-2.28
194907,.59,0.79
195007,2,2.20
195107,-1.97,-1.77
195207,-1.86,-1.66
195307,-.3,-0.10
195407,-2.41,-2.21
195507,1.47,1.67
195607,-1.82,-1.62
195707,1.27,1.47
195807,1.95,2.15
195907,1.7,1.90
196007,-2.5,-2.30
196107,2.72,2.92
196207,-2.15,-1.95
196307,-4.14,-3.94
196407,-2.17,-1.97
196507,-3.14,-2.94
196607,-.92,-0.72
196707,.61,0.81
196807,.48,0.68
196907,-.61,-0.41
197007,-2.16,-1.96
197107,.36,0.56
197207,-.78,-0.58
197307,2.22,2.42
197407,2.19,2.39
197507,4.41,4.61
197607,.66,0.86
197707,-1.82,-1.62
197807,-.28,-0.08
197907,2.8,3.00
198007,-1.4,-1.20
198107,-2.24,-2.04
198207,-2.27,-2.07
198307,3.4,3.60
198407,1.31,1.51
198507,-2.18,-1.98
198607,-2.13,-1.93
198707,.65,0.85
198807,0,0.20
198907,4,4.20
199007,-1.04,-0.84
199107,4.01,4.21
199207,2.53,2.73
199307,-.41,-0.21
199407,1.15,1.35
199507,-.27,-0.07
199607,.14,0.34
199707,2.1,2.30
199807,-3.4,-3.20
199907,-1.07,-0.87
200007,-3.95,-3.75
200107,1.51,1.71
200207,-1.37,-1.17
200307,1.03,1.23
200407,2.68,2.88
200507,-1.64,-1.44
200607,-3.84,-3.64
200707,1.23,1.43
200807,-2.07,-1.87
200907,-1.52,-1.32
201007,-2.62,-2.42
201107,-5,-4.80
201207,.47,0.67
201307,-.29,-0.09
201407,1.58,1.78
201507,-.81,-0.61
