Montana, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-.41,-0.87
189606,2.47,2.01
189706,2.87,2.41
189806,5.09,4.63
189906,4.33,3.87
190006,-1.59,-2.05
190106,.82,0.36
190206,1.62,1.16
190306,1.28,0.82
190406,-1.19,-1.65
190506,-4.53,-4.99
190606,2.08,1.62
190706,5.52,5.06
190806,3.32,2.86
190906,3.58,3.12
191006,-2.14,-2.60
191106,.59,0.13
191206,3,2.54
191306,3.18,2.72
191406,1.94,1.48
191506,1.41,0.95
191606,5.32,4.86
191706,-.35,-0.81
191806,-1.48,-1.94
191906,-4.68,-5.14
192006,2.64,2.18
192106,-1.95,-2.41
192206,1.6,1.14
192306,1.25,0.79
192406,2.08,1.62
192506,1.44,0.98
192606,-1.56,-2.02
192706,3.74,3.28
192806,3.81,3.35
192906,-.17,-0.63
193006,-1.29,-1.75
193106,-5.58,-6.04
193206,.3,-0.16
193306,-.83,-1.29
193406,-2.34,-2.80
193506,-4.06,-4.52
193606,-5.54,-6.00
193706,-6.92,-7.38
193806,1.07,0.61
193906,.86,0.40
194006,-2.21,-2.67
194106,-3.81,-4.27
194206,3.84,3.38
194306,4.34,3.88
194406,2.02,1.56
194506,.97,0.51
194606,-1.45,-1.91
194706,3.59,3.13
194806,3.53,3.07
194906,-1.66,-2.12
195006,.88,0.42
195106,2.23,1.77
195206,-1.25,-1.71
195306,2.66,2.20
195406,.71,0.25
195506,.7,0.24
195606,-.68,-1.14
195706,1,0.54
195806,.5,0.04
195906,2.19,1.73
196006,-.88,-1.34
196106,-4.39,-4.85
196206,1.04,0.58
196306,2.32,1.86
196406,1.9,1.44
196506,4.18,3.72
196606,-.6,-1.06
196706,2.54,2.08
196806,1.51,1.05
196906,3.36,2.90
197006,2.36,1.90
197106,2.04,1.58
197206,2.04,1.58
197306,-1.51,-1.97
197406,-.88,-1.34
197506,3.41,2.95
197606,4.26,3.80
197706,-4.47,-4.93
197806,2.9,2.44
197906,-1.05,-1.51
198006,-3.21,-3.67
198106,1.59,1.13
198206,2.84,2.38
198306,1.02,0.56
198406,-.41,-0.87
198506,-3.19,-3.65
198606,1.37,0.91
198706,-1.77,-2.23
198806,-5.44,-5.90
198906,.29,-0.17
199006,-.54,-1.00
199106,2.17,1.71
199206,-3.19,-3.65
199306,.62,0.16
199406,-.67,-1.13
199506,1.79,1.33
199606,4.27,3.81
199706,3.39,2.93
199806,.88,0.42
199906,1.37,0.91
200006,-2.92,-3.38
200106,-5.56,-6.02
200206,-4.9,-5.36
200306,-2.43,-2.89
200406,-4.47,-4.93
200506,1.23,0.77
200606,-.86,-1.32
200706,-.43,-0.89
200806,1.22,0.76
200906,-.82,-1.28
201006,1.92,1.46
201106,6.97,6.51
201206,-1.92,-2.38
201306,1.35,0.89
201406,1.91,1.45
201506,-1.76,-2.22
