Oklahoma, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-2.04,-2.20
189605,-1.86,-2.02
189705,-1.02,-1.18
189805,1.17,1.01
189905,.19,0.03
190005,-.14,-0.30
190105,-1.31,-1.47
190205,1.16,1.00
190305,2.37,2.21
190405,-3.12,-3.28
190505,1.59,1.43
190605,.98,0.82
190705,2.28,2.12
190805,3.12,2.96
190905,-.9,-1.06
191005,-2.29,-2.45
191105,-5.57,-5.73
191205,-1.89,-2.05
191305,-2.48,-2.64
191405,.26,0.10
191505,2.15,1.99
191605,-.92,-1.08
191705,-3.16,-3.32
191805,-3.94,-4.10
191905,1.63,1.47
192005,1.48,1.32
192105,1.2,1.04
192205,1.72,1.56
192305,.99,0.83
192405,-.44,-0.60
192505,-3.94,-4.10
192605,-.73,-0.89
192705,2.54,2.38
192805,1.48,1.32
192905,2.93,2.77
193005,.58,0.42
193105,-.35,-0.51
193205,-1.39,-1.55
193305,-.26,-0.42
193405,-3.06,-3.22
193505,1.22,1.06
193605,-2.62,-2.78
193705,-2.34,-2.50
193805,1.43,1.27
193905,-2.15,-2.31
194005,.18,0.02
194105,1.74,1.58
194205,3.19,3.03
194305,2.64,2.48
194405,.96,0.80
194505,2.04,1.88
194605,-.03,-0.19
194705,2.39,2.23
194805,-.91,-1.07
194905,1.95,1.79
195005,.48,0.32
195105,.2,0.04
195205,-.33,-0.49
195305,-2.68,-2.84
195405,-2.35,-2.51
195505,-3.71,-3.87
195605,-5.62,-5.78
195705,4.06,3.90
195805,2.11,1.95
195905,.06,-0.10
196005,2.66,2.50
196105,1.3,1.14
196205,-1.55,-1.71
196305,-2.45,-2.61
196405,-3.69,-3.85
196505,-.76,-0.92
196605,-2.39,-2.55
196705,-4.11,-4.27
196805,1.76,1.60
196905,2.39,2.23
197005,-.86,-1.02
197105,-1.81,-1.97
197205,-1.67,-1.83
197305,3.75,3.59
197405,2.52,2.36
197505,4.06,3.90
197605,-.91,-1.07
197705,-1.05,-1.21
197805,-1.4,-1.56
197905,.89,0.73
198005,.63,0.47
198105,-3.79,-3.95
198205,2.47,2.31
198305,1.99,1.83
198405,-.46,-0.62
198505,3.03,2.87
198605,1.7,1.54
198705,3.47,3.31
198805,-1.07,-1.23
198905,.12,-0.04
199005,4.19,4.03
199105,-1.59,-1.75
199205,1.65,1.49
199305,5.64,5.48
199405,2.4,2.24
199505,2.87,2.71
199605,-3.2,-3.36
199705,3.07,2.91
199805,-.93,-1.09
199905,2.85,2.69
200005,.02,-0.14
200105,-.31,-0.47
200205,.07,-0.09
200305,-.97,-1.13
200405,-1.09,-1.25
200505,-1.66,-1.82
200605,-4.71,-4.87
200705,1.67,1.51
200805,2.66,2.50
200905,.76,0.60
201005,-.29,-0.45
201105,-3.03,-3.19
201205,-2.2,-2.36
201305,.45,0.29
201405,-1.84,-2.00
201505,3.56,3.40
