California, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,1.36,1.27
189606,2.93,2.84
189706,-1.18,-1.27
189806,-2,-2.09
189906,.86,0.77
190006,1.33,1.24
190106,1.91,1.82
190206,1.71,1.62
190306,-.53,-0.62
190406,2,1.91
190506,2.25,2.16
190606,4.51,4.42
190706,4.68,4.59
190806,.61,0.52
190906,-1.4,-1.49
191006,-2.34,-2.43
191106,2.21,2.12
191206,2.31,2.22
191306,.81,0.72
191406,-.46,-0.55
191506,3.12,3.03
191606,-1.08,-1.17
191706,.68,0.59
191806,-2.34,-2.43
191906,-1.67,-1.76
192006,.66,0.57
192106,.99,0.90
192206,.32,0.23
192306,1.03,0.94
192406,-5.68,-5.77
192506,1.88,1.79
192606,-.07,-0.16
192706,1.88,1.79
192806,-1,-1.09
192906,-1.67,-1.76
193006,-.96,-1.05
193106,-3.23,-3.32
193206,-.11,-0.20
193306,1.07,0.98
193406,-3.59,-3.68
193506,-.23,-0.32
193606,-.6,-0.69
193706,.27,0.18
193806,.1,0.01
193906,-2.32,-2.41
194006,-.81,-0.90
194106,4.15,4.06
194206,4.04,3.95
194306,2.14,2.05
194406,.78,0.69
194506,.73,0.64
194606,-2.02,-2.11
194706,-2.41,-2.50
194806,2.66,2.57
194906,-.8,-0.89
195006,-1.67,-1.76
195106,-.53,-0.62
195206,2.36,2.27
195306,1.95,1.86
195406,-.56,-0.65
195506,.65,0.56
195606,.74,0.65
195706,2,1.91
195806,4.74,4.65
195906,-3.69,-3.78
196006,-2.29,-2.38
196106,-1.86,-1.95
196206,-.99,-1.08
196306,2.17,2.08
196406,.68,0.59
196506,.89,0.80
196606,-2.58,-2.67
196706,2.85,2.76
196806,-1.82,-1.91
196906,-.48,-0.57
197006,-1.21,-1.30
197106,1.28,1.19
197206,-1.97,-2.06
197306,-1.61,-1.70
197406,-.41,-0.50
197506,1.34,1.25
197606,-3.97,-4.06
197706,-5.94,-6.03
197806,3.08,2.99
197906,.23,0.14
198006,2.06,1.97
198106,-2.03,-2.12
198206,3.07,2.98
198306,6.42,6.33
198406,-2.15,-2.24
198506,-2.88,-2.97
198606,-.68,-0.77
198706,-3.4,-3.49
198806,-1.88,-1.97
198906,-2.06,-2.15
199006,-2.85,-2.94
199106,-1.95,-2.04
199206,-2.93,-3.02
199306,3.06,2.97
199406,-2.03,-2.12
199506,5.76,5.67
199606,3.08,2.99
199706,-3.05,-3.14
199806,6.05,5.96
199906,.31,0.22
200006,-.44,-0.53
200106,-2.66,-2.75
200206,-2.76,-2.85
200306,1.53,1.44
200406,-2.8,-2.89
200506,3.83,3.74
200606,-.14,-0.23
200706,-4.28,-4.37
200806,-3.97,-4.06
200906,-3.39,-3.48
201006,1.93,1.84
201106,3.42,3.33
201206,-1.85,-1.94
201306,-3.28,-3.37
201406,-6.76,-6.85
201506,-5.15,-5.24
