Washington, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.69,-0.63
189609,-.81,-0.75
189709,1.22,1.28
189809,-.6,-0.54
189909,2.01,2.07
190009,1.72,1.78
190109,1.82,1.88
190209,1.89,1.95
190309,1.98,2.04
190409,-1.72,-1.66
190509,2.07,2.13
190609,1.23,1.29
190709,.7,0.76
190809,-.73,-0.67
190909,-.28,-0.22
191009,-1.77,-1.71
191109,1.06,1.12
191209,1.46,1.52
191309,1.33,1.39
191409,.78,0.84
191509,-.87,-0.81
191609,-.33,-0.27
191709,-.89,-0.83
191809,-1.9,-1.84
191909,-1.01,-0.95
192009,2.38,2.44
192109,1.78,1.84
192209,-2.32,-2.26
192309,-.32,-0.26
192409,-3.42,-3.36
192509,-3.12,-3.06
192609,.77,0.83
192709,1.26,1.32
192809,-2.51,-2.45
192909,-3.27,-3.21
193009,-3.39,-3.33
193109,.45,0.51
193209,-1.47,-1.41
193309,1.33,1.39
193409,.07,0.13
193509,-1.97,-1.91
193609,-.33,-0.27
193709,2.17,2.23
193809,-3.06,-3.00
193909,-3.47,-3.41
194009,-2.54,-2.48
194109,2.49,2.55
194209,-.86,-0.80
194309,-.8,-0.74
194409,-2.27,-2.21
194509,.61,0.67
194609,.03,0.09
194709,.32,0.38
194809,4.72,4.78
194909,-2.26,-2.20
195009,1.13,1.19
195109,.01,0.07
195209,-2.26,-2.20
195309,1.7,1.76
195409,2.36,2.42
195509,1.2,1.26
195609,.17,0.23
195709,-.59,-0.53
195809,-2.25,-2.19
195909,2.43,2.49
196009,-.87,-0.81
196109,-1.08,-1.02
196209,.87,0.93
196309,.07,0.13
196409,1.52,1.58
196509,-1.37,-1.31
196609,-.47,-0.41
196709,-2.51,-2.45
196809,1.85,1.91
196909,-.6,-0.54
197009,.32,0.38
197109,1.98,2.04
197209,3.61,3.67
197309,.18,0.24
197409,-1.03,-0.97
197509,-.9,-0.84
197609,-.55,-0.49
197709,1.41,1.47
197809,2.32,2.38
197909,-2.2,-2.14
198009,1.41,1.47
198109,2.28,2.34
198209,1.46,1.52
198309,3.22,3.28
198409,2.64,2.70
198509,-1.89,-1.83
198609,-.98,-0.92
198709,-2.46,-2.40
198809,-1.16,-1.10
198909,-1.53,-1.47
199009,.71,0.77
199109,-.9,-0.84
199209,-2.52,-2.46
199309,-.7,-0.64
199409,-2.64,-2.58
199509,.7,0.76
199609,1.84,1.90
199709,5.03,5.09
199809,-1.72,-1.66
199909,-.74,-0.68
200009,-.27,-0.21
200109,-.64,-0.58
200209,-1.35,-1.29
200309,-3,-2.94
200409,-.81,-0.75
200509,.52,0.58
200609,-1.59,-1.53
200709,-1.35,-1.29
200809,-1.25,-1.19
200909,-1.75,-1.69
201009,2.65,2.71
201109,-.77,-0.71
201209,1.57,1.63
201309,2.32,2.38
201409,-.43,-0.37
201509,-3.61,-3.55
