Louisiana, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,1.39,1.52
189608,-3.23,-3.10
189708,-2.71,-2.58
189808,1.18,1.31
189908,-3.06,-2.93
190008,3,3.13
190108,-2.04,-1.91
190208,-3.98,-3.85
190308,-.75,-0.62
190408,-2.25,-2.12
190508,3.27,3.40
190608,-1.76,-1.63
190708,-1.55,-1.42
190808,2.33,2.46
190908,-.83,-0.70
191008,1.48,1.61
191108,1.86,1.99
191208,2.77,2.90
191308,.87,1.00
191408,-1.08,-0.95
191508,-.7,-0.57
191608,-.77,-0.64
191708,-2.65,-2.52
191808,-4.46,-4.33
191908,3.03,3.16
192008,2.95,3.08
192108,-1.19,-1.06
192208,1.89,2.02
192308,2.66,2.79
192408,-3.33,-3.20
192508,-6.01,-5.88
192608,2.32,2.45
192708,-.26,-0.13
192808,-.15,-0.02
192908,-.78,-0.65
193008,-2.89,-2.76
193108,-1.74,-1.61
193208,-1.57,-1.44
193308,1.62,1.75
193408,-1.19,-1.06
193508,-.29,-0.16
193608,-2.64,-2.51
193708,-1.91,-1.78
193808,.59,0.72
193908,-1.1,-0.97
194008,4.08,4.21
194108,3.09,3.22
194208,2.35,2.48
194308,-3.21,-3.08
194408,-.84,-0.71
194508,1.93,2.06
194608,4.27,4.40
194708,-1.71,-1.58
194808,-2.81,-2.68
194908,.36,0.49
195008,.02,0.15
195108,-2.97,-2.84
195208,-2.52,-2.39
195308,-.3,-0.17
195408,-3.34,-3.21
195508,2.26,2.39
195608,-2.16,-2.03
195708,.56,0.69
195808,2.52,2.65
195908,1.85,1.98
196008,1.01,1.14
196108,2.78,2.91
196208,-2.26,-2.13
196308,-4.36,-4.23
196408,-1.97,-1.84
196508,-2.88,-2.75
196608,-.42,-0.29
196708,.9,1.03
196808,.61,0.74
196908,-1.28,-1.15
197008,.21,0.34
197108,.42,0.55
197208,-1.16,-1.03
197308,1.85,1.98
197408,2.51,2.64
197508,4.95,5.08
197608,-.35,-0.22
197708,1.06,1.19
197808,.56,0.69
197908,2.35,2.48
198008,-2.55,-2.42
198108,-2.36,-2.23
198208,.02,0.15
198308,3.35,3.48
198408,1.66,1.79
198508,.24,0.37
198608,-2.22,-2.09
198708,.76,0.89
198808,.42,0.55
198908,3.37,3.50
199008,-1.85,-1.72
199108,4.11,4.24
199208,3.1,3.23
199308,-.94,-0.81
199408,1.11,1.24
199508,-.57,-0.44
199608,.74,0.87
199708,1.6,1.73
199808,-3.43,-3.30
199908,-2.1,-1.97
200008,-4.71,-4.58
200108,1.98,2.11
200208,.01,0.14
200308,.9,1.03
200408,2.22,2.35
200508,-1.82,-1.69
200608,-3.77,-3.64
200708,-.36,-0.23
200808,.77,0.90
200908,-1.85,-1.72
201008,-2.23,-2.10
201108,-5.91,-5.78
201208,1.76,1.89
201308,-.88,-0.75
201408,2.06,2.19
201508,-1.59,-1.46
