Delaware, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-.01,0.14
189606,-.97,-0.82
189706,.07,0.22
189806,-.73,-0.58
189906,-1.63,-1.48
190006,-1.41,-1.26
190106,.18,0.33
190206,2.01,2.16
190306,2.48,2.63
190406,0,0.15
190506,.19,0.34
190606,.98,1.13
190706,2.32,2.47
190806,-.69,-0.54
190906,.96,1.11
191006,1.24,1.39
191106,-1.33,-1.18
191206,-.4,-0.25
191306,-.83,-0.68
191406,-1.71,-1.56
191506,.64,0.79
191606,.71,0.86
191706,1.17,1.32
191806,-.71,-0.56
191906,.49,0.64
192006,2.61,2.76
192106,-1.64,-1.49
192206,.46,0.61
192306,-.97,-0.82
192406,2.88,3.03
192506,-2.54,-2.39
192606,-2.19,-2.04
192706,.24,0.39
192806,1.03,1.18
192906,-.34,-0.19
193006,-2.81,-2.66
193106,-3.35,-3.20
193206,-.57,-0.42
193306,1.27,1.42
193406,1.44,1.59
193506,2.08,2.23
193606,2.56,2.71
193706,2.54,2.69
193806,.7,0.85
193906,-1.32,-1.17
194006,-.63,-0.48
194106,-1.52,-1.37
194206,-3.38,-3.23
194306,-.95,-0.80
194406,-1.26,-1.11
194506,.86,1.01
194606,.94,1.09
194706,-1.03,-0.88
194806,3.22,3.37
194906,-1.36,-1.21
195006,-1.93,-1.78
195106,.67,0.82
195206,2.13,2.28
195306,-.18,-0.03
195406,-2.28,-2.13
195506,1.03,1.18
195606,.2,0.35
195706,-1.69,-1.54
195806,2.8,2.95
195906,-2.4,-2.25
196006,-1.1,-0.95
196106,2.33,2.48
196206,-.67,-0.52
196306,-1.73,-1.58
196406,-2.13,-1.98
196506,-3.82,-3.67
196606,-3.28,-3.13
196706,.46,0.61
196806,-.82,-0.67
196906,-2.91,-2.76
197006,1.64,1.79
197106,-.64,-0.49
197206,3.97,4.12
197306,.56,0.71
197406,-.12,0.03
197506,1.68,1.83
197606,-2.83,-2.68
197706,-2.38,-2.23
197806,2.11,2.26
197906,2.58,2.73
198006,-.36,-0.21
198106,-1.2,-1.05
198206,-.56,-0.41
198306,3.09,3.24
198406,3.31,3.46
198506,-3.65,-3.50
198606,-3.36,-3.21
198706,-2.13,-1.98
198806,-2.54,-2.39
198906,2.74,2.89
199006,-.56,-0.41
199106,-2.3,-2.15
199206,-.12,0.03
199306,-.66,-0.51
199406,-.86,-0.71
199506,-2.11,-1.96
199606,2.55,2.70
199706,-.46,-0.31
199806,-.15,0.00
199906,-3.07,-2.92
200006,1.46,1.61
200106,.52,0.67
200206,-2.89,-2.74
200306,3.71,3.86
200406,1.8,1.95
200506,1.63,1.78
200606,2.19,2.34
200706,-1.25,-1.10
200806,-1.78,-1.63
200906,1.61,1.76
201006,-2.34,-2.19
201106,-3.26,-3.11
201206,-3.65,-3.50
201306,2.18,2.33
201406,-.74,-0.59
201506,1.77,1.92
