Missouri, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.65,-1.80
189605,2.02,1.87
189705,-.65,-0.80
189805,2.87,2.72
189905,2.86,2.71
190005,-1.51,-1.66
190105,-1.44,-1.59
190205,-4.55,-4.70
190305,2.96,2.81
190405,2.51,2.36
190505,-1.15,-1.30
190605,1.61,1.46
190705,1.83,1.68
190805,2.29,2.14
190905,1.33,1.18
191005,.78,0.63
191105,-1.43,-1.58
191205,-.45,-0.60
191305,-.89,-1.04
191405,-2.57,-2.72
191505,.94,0.79
191605,.23,0.08
191705,-1.55,-1.70
191805,-2.26,-2.41
191905,.49,0.34
192005,.99,0.84
192105,.37,0.22
192205,-.64,-0.79
192305,.29,0.14
192405,.29,0.14
192505,-1.61,-1.76
192605,-1.07,-1.22
192705,4.62,4.47
192805,2.04,1.89
192905,4.22,4.07
193005,-2.04,-2.19
193105,-2.75,-2.90
193205,-2.1,-2.25
193305,1.42,1.27
193405,-4.51,-4.66
193505,2.53,2.38
193605,-2.62,-2.77
193705,-.77,-0.92
193805,1.25,1.10
193905,.6,0.45
194005,-2.62,-2.77
194105,-3.27,-3.42
194205,1.54,1.39
194305,2.51,2.36
194405,-.25,-0.40
194505,3.5,3.35
194605,.81,0.66
194705,1.23,1.08
194805,-1.37,-1.52
194905,.72,0.57
195005,2.67,2.52
195105,1.2,1.05
195205,-.57,-0.72
195305,-2.28,-2.43
195405,-6.9,-7.05
195505,-3.41,-3.56
195605,-3.92,-4.07
195705,2.28,2.13
195805,.97,0.82
195905,-.77,-0.92
196005,.62,0.47
196105,2.18,2.03
196205,-1.25,-1.40
196305,-2.23,-2.38
196405,-3.45,-3.60
196505,-.75,-0.90
196605,-.37,-0.52
196705,.47,0.32
196805,1.35,1.20
196905,1.33,1.18
197005,1.4,1.25
197105,-1.45,-1.60
197205,-1.94,-2.09
197305,4.75,4.60
197405,3.46,3.31
197505,-.37,-0.52
197605,-.91,-1.06
197705,-3.35,-3.50
197805,1.63,1.48
197905,1.52,1.37
198005,-1.64,-1.79
198105,1.19,1.04
198205,1.97,1.82
198305,4.08,3.93
198405,-.06,-0.21
198505,2.57,2.42
198605,1.79,1.64
198705,-1.44,-1.59
198805,-1.38,-1.53
198905,-.98,-1.13
199005,3.01,2.86
199105,-.38,-0.53
199205,-1.19,-1.34
199305,2.67,2.52
199405,4.38,4.23
199505,3.44,3.29
199605,1.03,0.88
199705,2.48,2.33
199805,1.16,1.01
199905,2.52,2.37
200005,-3.86,-4.01
200105,.21,0.06
200205,3,2.85
200305,.14,-0.01
200405,.92,0.77
200505,-1.54,-1.69
200605,-2.72,-2.87
200705,-.42,-0.57
200805,3.71,3.56
200905,3.53,3.38
201005,3.92,3.77
201105,3.83,3.68
201205,-2.03,-2.18
201305,2.6,2.45
201405,-.55,-0.70
201505,1.46,1.31
