Tennessee, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-1.45,-1.55
189610,-.83,-0.93
189710,-2.75,-2.85
189810,1.26,1.16
189910,-2.51,-2.61
190010,-.61,-0.71
190110,-.26,-0.36
190210,.28,0.18
190310,-1.34,-1.44
190410,-2.83,-2.93
190510,1.99,1.89
190610,2.99,2.89
190710,.94,0.84
190810,-.99,-1.09
190910,-.16,-0.26
191010,-.13,-0.23
191110,-1.23,-1.33
191210,1.9,1.80
191310,-1.94,-2.04
191410,-2.88,-2.98
191510,2.07,1.97
191610,2.15,2.05
191710,2.78,2.68
191810,1.06,0.96
191910,1.39,1.29
192010,-.49,-0.59
192110,.3,0.20
192210,-1.28,-1.38
192310,-.35,-0.45
192410,-1.33,-1.43
192510,-2.82,-2.92
192610,1.31,1.21
192710,-.56,-0.66
192810,3.09,2.99
192910,2.68,2.58
193010,-3.5,-3.60
193110,-4.51,-4.61
193210,1.57,1.47
193310,-.87,-0.97
193410,-.23,-0.33
193510,-1.16,-1.26
193610,-3.26,-3.36
193710,1.09,0.99
193810,-.96,-1.06
193910,-1.91,-2.01
194010,-2.18,-2.28
194110,-3.83,-3.93
194210,-1.62,-1.72
194310,-1.93,-2.03
194410,.52,0.42
194510,.67,0.57
194610,-.39,-0.49
194710,-1.89,-1.99
194810,-1.77,-1.87
194910,3.24,3.14
195010,4.06,3.96
195110,.98,0.88
195210,-3.05,-3.15
195310,-3.35,-3.45
195410,-4.51,-4.61
195510,-1.03,-1.13
195610,-1.92,-2.02
195710,1.9,1.80
195810,-.57,-0.67
195910,.88,0.78
196010,.69,0.59
196110,-.85,-0.95
196210,-.57,-0.67
196310,-1.74,-1.84
196410,1.01,0.91
196510,-.56,-0.66
196610,1.24,1.14
196710,2.99,2.89
196810,-1.56,-1.66
196910,-1.36,-1.46
197010,1.35,1.25
197110,-.3,-0.40
197210,2.62,2.52
197310,2.88,2.78
197410,3.8,3.70
197510,4.01,3.91
197610,2.44,2.34
197710,2.05,1.95
197810,-1.19,-1.29
197910,4.56,4.46
198010,-2.1,-2.20
198110,1.6,1.50
198210,.66,0.56
198310,.01,-0.09
198410,1.86,1.76
198510,.88,0.78
198610,-2.27,-2.37
198710,-3.21,-3.31
198810,.57,0.47
198910,4.96,4.86
199010,1.34,1.24
199110,1.15,1.05
199210,2.51,2.41
199310,-1.18,-1.28
199410,3.22,3.12
199510,1.47,1.37
199610,3.05,2.95
199710,3.28,3.18
199810,-1.28,-1.38
199910,-2.06,-2.16
200010,-3.09,-3.19
200110,1.6,1.50
200210,1.88,1.78
200310,4.05,3.95
200410,3.67,3.57
200510,-1.22,-1.32
200610,-.63,-0.73
200710,-4.24,-4.34
200810,-2.63,-2.73
200910,4.71,4.61
201010,-1.34,-1.44
201110,1.47,1.37
201210,1.25,1.15
201310,3.17,3.07
201410,3.28,3.18
201510,2.23,2.13
