Indiana, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-4.49,-4.79
189610,3.28,2.98
189710,-3.22,-3.52
189810,1.64,1.34
189910,-2.73,-3.03
190010,-1.96,-2.26
190110,-3.8,-4.10
190210,1.69,1.39
190310,-.47,-0.77
190410,-1.29,-1.59
190510,2.29,1.99
190610,.18,-0.12
190710,2.57,2.27
190810,-4.17,-4.47
190910,2.79,2.49
191010,2.13,1.83
191110,1.46,1.16
191210,2.39,2.09
191310,-1.92,-2.22
191410,-3.67,-3.97
191510,2.9,2.60
191610,-1.26,-1.56
191710,1,0.70
191810,.71,0.41
191910,1.7,1.40
192010,-1.04,-1.34
192110,1.21,0.91
192210,-2.91,-3.21
192310,.93,0.63
192410,-1.02,-1.32
192510,1.18,0.88
192610,3.93,3.63
192710,2.78,2.48
192810,1.28,0.98
192910,2.18,1.88
193010,-4.07,-4.37
193110,.82,0.52
193210,1.63,1.33
193310,-1.96,-2.26
193410,-4.29,-4.59
193510,-1.7,-2.00
193610,.59,0.29
193710,2.21,1.91
193810,-.86,-1.16
193910,-1.85,-2.15
194010,-4.22,-4.52
194110,1.17,0.87
194210,.66,0.36
194310,-1.06,-1.36
194410,-3.76,-4.06
194510,3.46,3.16
194610,-1.52,-1.82
194710,-.41,-0.71
194810,-.93,-1.23
194910,1.52,1.22
195010,3.89,3.59
195110,1.57,1.27
195210,-1.36,-1.66
195310,-3.78,-4.08
195410,1.13,0.83
195510,.97,0.67
195610,-2.15,-2.45
195710,2.08,1.78
195810,3.37,3.07
195910,.32,0.02
196010,-1.25,-1.55
196110,1.6,1.30
196210,-.05,-0.35
196310,-3.09,-3.39
196410,-4.09,-4.39
196510,-.75,-1.05
196610,-1.92,-2.22
196710,.57,0.27
196810,-.56,-0.86
196910,1.62,1.32
197010,.92,0.62
197110,-.4,-0.70
197210,1.54,1.24
197310,1.64,1.34
197410,1.79,1.49
197510,1.95,1.65
197610,.54,0.24
197710,2.19,1.89
197810,1.16,0.86
197910,3.28,2.98
198010,1.99,1.69
198110,2.44,2.14
198210,.97,0.67
198310,.87,0.57
198410,.51,0.21
198510,.36,0.06
198610,1.96,1.66
198710,-1.6,-1.90
198810,.13,-0.17
198910,2.79,2.49
199010,4.42,4.12
199110,-2.12,-2.42
199210,2.56,2.26
199310,4.65,4.35
199410,-1.37,-1.67
199510,-1.24,-1.54
199610,2.55,2.25
199710,-.66,-0.96
199810,-.63,-0.93
199910,-2.84,-3.14
200010,2.12,1.82
200110,3.78,3.48
200210,-1.43,-1.73
200310,3.82,3.52
200410,2.62,2.32
200510,-1.08,-1.38
200610,3.76,3.46
200710,-1.79,-2.09
200810,2.37,2.07
200910,4.29,3.99
201010,-2.4,-2.70
201110,2.62,2.32
201210,1.07,0.77
201310,.45,0.15
201410,3.01,2.71
201510,2.59,2.29
