Oregon, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,.91,0.86
189609,1.56,1.51
189709,.62,0.57
189809,-.84,-0.89
189909,1.28,1.23
190009,.74,0.69
190109,1.2,1.15
190209,1.49,1.44
190309,-.92,-0.97
190409,-1.2,-1.25
190509,-.92,-0.97
190609,1.55,1.50
190709,2.62,2.57
190809,.48,0.43
190909,.19,0.14
191009,-1.96,-2.01
191109,1.27,1.22
191209,3.4,3.35
191309,3.41,3.36
191409,1.02,0.97
191509,-.46,-0.51
191609,-.18,-0.23
191709,-.68,-0.73
191809,-1.8,-1.85
191909,-1.31,-1.36
192009,1.88,1.83
192109,-.21,-0.26
192209,-1.22,-1.27
192309,1.69,1.64
192409,0,-0.05
192509,.96,0.91
192609,.21,0.16
192709,2.34,2.29
192809,-2.33,-2.38
192909,-2.95,-3.00
193009,-2.57,-2.62
193109,-3.39,-3.44
193209,-1.45,-1.50
193309,.71,0.66
193409,-3.54,-3.59
193509,-2.84,-2.89
193609,-1.5,-1.55
193709,1.65,1.60
193809,-1.77,-1.82
193909,-3.83,-3.88
194009,-1.81,-1.86
194109,3.36,3.31
194209,1.19,1.14
194309,-.75,-0.80
194409,-.68,-0.73
194509,-.35,-0.40
194609,0,-0.05
194709,1.48,1.43
194809,4.14,4.09
194909,-2.15,-2.20
195009,.01,-0.04
195109,-2.18,-2.23
195209,-.59,-0.64
195309,2.59,2.54
195409,-.01,-0.06
195509,.21,0.16
195609,1.99,1.94
195709,.79,0.74
195809,-.4,-0.45
195909,1.09,1.04
196009,-1.32,-1.37
196109,-.87,-0.92
196209,.11,0.06
196309,1.85,1.80
196409,-.23,-0.28
196509,-.46,-0.51
196609,-2.29,-2.34
196709,-2.32,-2.37
196809,1.03,0.98
196909,-.56,-0.61
197009,.17,0.12
197109,2.67,2.62
197209,-.81,-0.86
197309,.61,0.56
197409,-2.01,-2.06
197509,.71,0.66
197609,-.11,-0.16
197709,1.61,1.56
197809,2.4,2.35
197909,.18,0.13
198009,.17,0.12
198109,1.25,1.20
198209,3.02,2.97
198309,4.38,4.33
198409,3.77,3.72
198509,.76,0.71
198609,1.45,1.40
198709,-2.32,-2.37
198809,-1.8,-1.85
198909,-.19,-0.24
199009,-1.25,-1.30
199109,-.79,-0.84
199209,-3.51,-3.56
199309,-.46,-0.51
199409,-3.11,-3.16
199509,2.35,2.30
199609,2.3,2.25
199709,2.9,2.85
199809,2.02,1.97
199909,-1,-1.05
200009,-1.82,-1.87
200109,-3.3,-3.35
200209,-3.18,-3.23
200309,-2.96,-3.01
200409,-1.06,-1.11
200509,.76,0.71
200609,-1.5,-1.55
200709,-2.28,-2.33
200809,-1.76,-1.81
200909,-1.43,-1.48
201009,2.29,2.24
201109,-.9,-0.95
201209,.6,0.55
201309,1.86,1.81
201409,-1.59,-1.64
201509,-3.66,-3.71
