North Carolina, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.64,2.71
189605,-2.27,-2.20
189705,.96,1.03
189805,.19,0.26
189905,-.26,-0.19
190005,-.53,-0.46
190105,3.01,3.08
190205,-1.28,-1.21
190305,-.75,-0.68
190405,-1.8,-1.73
190505,1.32,1.39
190605,-1.32,-1.25
190705,.98,1.05
190805,1.57,1.64
190905,2.17,2.24
191005,.63,0.70
191105,-2.21,-2.14
191205,1.6,1.67
191305,.24,0.31
191405,-1.5,-1.43
191505,.6,0.67
191605,.23,0.30
191705,.47,0.54
191805,1.04,1.11
191905,.52,0.59
192005,.76,0.83
192105,-.21,-0.14
192205,1.93,2.00
192305,.94,1.01
192405,1.17,1.24
192505,-2.02,-1.95
192605,-3.05,-2.98
192705,-4.27,-4.20
192805,1.56,1.63
192905,3.48,3.55
193005,-2.43,-2.36
193105,-2.03,-1.96
193205,-2.33,-2.26
193305,-.87,-0.80
193405,.75,0.82
193505,-.32,-0.25
193605,-1.39,-1.32
193705,-.76,-0.69
193805,.7,0.77
193905,.78,0.85
194005,-1.66,-1.59
194105,-3.14,-3.07
194205,-3.45,-3.38
194305,.06,0.13
194405,-.71,-0.64
194505,-2.13,-2.06
194605,2.03,2.10
194705,-1.35,-1.28
194805,-.03,0.04
194905,.7,0.77
195005,.49,0.56
195105,-2.12,-2.05
195205,-.94,-0.87
195305,-1.35,-1.28
195405,-1.24,-1.17
195505,-3.09,-3.02
195605,-.27,-0.20
195705,-.74,-0.67
195805,2.92,2.99
195905,-.46,-0.39
196005,2.29,2.36
196105,1.47,1.54
196205,-.87,-0.80
196305,-.32,-0.25
196405,-.85,-0.78
196505,.76,0.83
196605,1.03,1.10
196705,.26,0.33
196805,-.92,-0.85
196905,.21,0.28
197005,-1.04,-0.97
197105,1.45,1.52
197205,1.8,1.87
197305,3.55,3.62
197405,1.5,1.57
197505,2.77,2.84
197605,.66,0.73
197705,-.75,-0.68
197805,2.28,2.35
197905,2.41,2.48
198005,-.02,0.05
198105,-3.18,-3.11
198205,.82,0.89
198305,-.02,0.05
198405,3.54,3.61
198505,-3.24,-3.17
198605,-3.8,-3.73
198705,-.86,-0.79
198805,-2.33,-2.26
198905,2.07,2.14
199005,2.84,2.91
199105,-.59,-0.52
199205,.41,0.48
199305,-.44,-0.37
199405,.01,0.08
199505,-1.65,-1.58
199605,1.09,1.16
199705,-.49,-0.42
199805,3.06,3.13
199905,-2.41,-2.34
200005,-1.34,-1.27
200105,-2.4,-2.33
200205,-4.04,-3.97
200305,3.81,3.88
200405,-1.85,-1.78
200505,.03,0.10
200605,-2.01,-1.94
200705,-2.12,-2.05
200805,-3.67,-3.60
200905,.7,0.77
201005,-1.12,-1.05
201105,-2.33,-2.26
201205,.72,0.79
201305,.51,0.58
201405,-.27,-0.20
201505,-.78,-0.71
