Pennsylvania, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.65,0.73
189601,-4.02,-3.94
189701,-1.14,-1.06
189801,1.64,1.72
189901,1.16,1.24
190001,.07,0.15
190101,-2.8,-2.72
190201,2.31,2.39
190301,2.8,2.88
190401,2.62,2.70
190501,-.36,-0.28
190601,1.72,1.80
190701,1.92,2.00
190801,2.34,2.42
190901,-4.26,-4.18
191001,-2.52,-2.44
191101,-2.22,-2.14
191201,1.93,2.01
191301,2.9,2.98
191401,.66,0.74
191501,1.54,1.62
191601,1.3,1.38
191701,-.83,-0.75
191801,-.86,-0.78
191901,-.58,-0.50
192001,-.28,-0.20
192101,-.14,-0.06
192201,-.46,-0.38
192301,-2.35,-2.27
192401,1.45,1.53
192501,-1.43,-1.35
192601,.47,0.55
192701,2.38,2.46
192801,2.84,2.92
192901,-1.32,-1.24
193001,-.24,-0.16
193101,-6.83,-6.75
193201,-3.33,-3.25
193301,.26,0.34
193401,-.57,-0.49
193501,-.12,-0.04
193601,1.33,1.41
193701,2.17,2.25
193801,-.4,-0.32
193901,.17,0.25
194001,-3.78,-3.70
194101,-.09,-0.01
194201,-2.69,-2.61
194301,2.77,2.85
194401,-1.98,-1.90
194501,.3,0.38
194601,-.83,-0.75
194701,.43,0.51
194801,-1.52,-1.44
194901,1.51,1.59
195001,.67,0.75
195101,3.08,3.16
195201,2.03,2.11
195301,.91,0.99
195401,-3.86,-3.78
195501,.03,0.11
195601,-1.54,-1.46
195701,-.32,-0.24
195801,.97,1.05
195901,-.47,-0.39
196001,1.38,1.46
196101,-1.6,-1.52
196201,-1.54,-1.46
196301,-2.04,-1.96
196401,-3.11,-3.03
196501,-3.73,-3.65
196601,-3.62,-3.54
196701,-3.77,-3.69
196801,-.19,-0.11
196901,-1.76,-1.68
197001,-.78,-0.70
197101,1.52,1.60
197201,.24,0.32
197301,3.18,3.26
197401,2.28,2.36
197501,2.14,2.22
197601,3.54,3.62
197701,-1.6,-1.52
197801,4.54,4.62
197901,3.14,3.22
198001,-1.11,-1.03
198101,-2.33,-2.25
198201,-.28,-0.20
198301,-2.43,-2.35
198401,.98,1.06
198501,-.9,-0.82
198601,-.54,-0.46
198701,1.69,1.77
198801,-.86,-0.78
198901,-2.48,-2.40
199001,-.39,-0.31
199101,-.03,0.05
199201,-4.88,-4.80
199301,2.01,2.09
199401,2.44,2.52
199501,.49,0.57
199601,2.4,2.48
199701,4.66,4.74
199801,1.76,1.84
199901,-2.51,-2.43
200001,-.72,-0.64
200101,-.98,-0.90
200201,-3.36,-3.28
200301,.88,0.96
200401,4.56,4.64
200501,6.09,6.17
200601,1.54,1.62
200701,2.83,2.91
200801,.6,0.68
200901,-.07,0.01
201001,.76,0.84
201101,.37,0.45
201201,5.05,5.13
201301,1.54,1.62
201401,1.05,1.13
201501,-.58,-0.50
