Delaware, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.43,-1.29
189609,-.94,-0.80
189709,-.73,-0.59
189809,-1.31,-1.17
189909,-1.44,-1.30
190009,-1.65,-1.51
190109,-.15,-0.01
190209,1.68,1.82
190309,1.97,2.11
190409,-.31,-0.17
190509,1.43,1.57
190609,-.66,-0.52
190709,2.08,2.22
190809,-.52,-0.38
190909,-.67,-0.53
191009,-.99,-0.85
191109,1.17,1.31
191209,-.79,-0.65
191309,-1.37,-1.23
191409,-2.67,-2.53
191509,.93,1.07
191609,-.59,-0.45
191709,1.5,1.64
191809,-1.22,-1.08
191909,2.75,2.89
192009,-.18,-0.04
192109,-2.76,-2.62
192209,-.32,-0.18
192309,-1.29,-1.15
192409,2.71,2.85
192509,-3.19,-3.05
192609,1.91,2.05
192709,-.56,-0.42
192809,3.37,3.51
192909,-1.6,-1.46
193009,-4.07,-3.93
193109,-2.01,-1.87
193209,-2.34,-2.20
193309,2.86,3.00
193409,2.36,2.50
193509,4.44,4.58
193609,2.03,2.17
193709,2.32,2.46
193809,3.55,3.69
193909,-.99,-0.85
194009,-1.12,-0.98
194109,-1.91,-1.77
194209,-2.1,-1.96
194309,-2.62,-2.48
194409,.8,0.94
194509,2.43,2.57
194609,-.22,-0.08
194709,-1.45,-1.31
194809,2.58,2.72
194909,-1.94,-1.80
195009,-.98,-0.84
195109,-.73,-0.59
195209,1.84,1.98
195309,-.63,-0.49
195409,-2.2,-2.06
195509,1.4,1.54
195609,.7,0.84
195709,-2.7,-2.56
195809,-.2,-0.06
195909,.76,0.90
196009,2.1,2.24
196109,-.89,-0.75
196209,-1.72,-1.58
196309,-1.94,-1.80
196409,-2.81,-2.67
196509,-3.19,-3.05
196609,.75,0.89
196709,2.81,2.95
196809,-2.82,-2.68
196909,1.52,1.66
197009,-1.47,-1.33
197109,1.39,1.53
197209,2.04,2.18
197309,-.26,-0.12
197409,-.51,-0.37
197509,3.31,3.45
197609,-2.5,-2.36
197709,-2.9,-2.76
197809,-.78,-0.64
197909,3.51,3.65
198009,-1.96,-1.82
198109,-1.44,-1.30
198209,-1.29,-1.15
198309,1.22,1.36
198409,-1.24,-1.10
198509,-1.38,-1.24
198609,-4.12,-3.98
198709,-3.13,-2.99
198809,-2.49,-2.35
198909,4.39,4.53
199009,-.6,-0.46
199109,-1.58,-1.44
199209,1.09,1.23
199309,-.03,0.11
199409,-.19,-0.05
199509,-3.03,-2.89
199609,3.39,3.53
199709,-1.36,-1.22
199809,-1.91,-1.77
199909,2.08,2.22
200009,2.73,2.87
200109,-.29,-0.15
200209,.56,0.70
200309,4.17,4.31
200409,2.27,2.41
200509,-1.89,-1.75
200609,2.08,2.22
200709,-3.09,-2.95
200809,-2.18,-2.04
200909,2.49,2.63
201009,-3.02,-2.88
201109,-1.52,-1.38
201209,-.14,0.00
201309,2.12,2.26
201409,-.55,-0.41
201509,-.98,-0.84
