Connecticut, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.38,-1.37
189603,2.27,2.28
189703,-1.07,-1.06
189803,2.32,2.33
189903,4.48,4.49
190003,2.68,2.69
190103,1.03,1.04
190203,4.41,4.42
190303,3.93,3.94
190403,1.49,1.50
190503,-1.21,-1.20
190603,.57,0.58
190703,-1.31,-1.30
190803,-.18,-0.17
190903,1.57,1.58
191003,-.97,-0.96
191103,-1.85,-1.84
191203,1.4,1.41
191303,.59,0.60
191403,.34,0.35
191503,-1.21,-1.20
191603,.77,0.78
191703,.41,0.42
191803,-1.5,-1.49
191903,.82,0.83
192003,.82,0.83
192103,-.51,-0.50
192203,.49,0.50
192303,-.49,-0.48
192403,-.95,-0.94
192503,-1.18,-1.17
192603,-.17,-0.16
192703,-1.1,-1.09
192803,2.27,2.28
192903,.18,0.19
193003,-2.17,-2.16
193103,.25,0.26
193203,-1.72,-1.71
193303,.83,0.84
193403,.03,0.04
193503,-.66,-0.65
193603,1.94,1.95
193703,1.13,1.14
193803,-1.06,-1.05
193903,3.47,3.48
194003,.61,0.62
194103,-1.48,-1.47
194203,-.66,-0.65
194303,-.7,-0.69
194403,-1.69,-1.68
194503,-.91,-0.90
194603,-1.47,-1.46
194703,-2.15,-2.14
194803,.09,0.10
194903,-.57,-0.56
195003,-2.64,-2.63
195103,1.64,1.65
195203,1.33,1.34
195303,3.56,3.57
195403,-1.45,-1.44
195503,-.29,-0.28
195603,.82,0.83
195703,-1.8,-1.79
195803,1.21,1.22
195903,-.67,-0.66
196003,-.27,-0.26
196103,-.69,-0.68
196203,-1.47,-1.46
196303,-1.61,-1.60
196403,-1.9,-1.89
196503,-3.69,-3.68
196603,-4.21,-4.20
196703,.46,0.47
196803,-.83,-0.82
196903,-1.65,-1.64
197003,-.28,-0.27
197103,-1.55,-1.54
197203,1.34,1.35
197303,2.95,2.96
197403,0,0.01
197503,-.09,-0.08
197603,2.15,2.16
197703,.89,0.90
197803,-.72,-0.71
197903,2.36,2.37
198003,1.56,1.57
198103,-1.86,-1.85
198203,.29,0.30
198303,1.67,1.68
198403,2.36,2.37
198503,-3.09,-3.08
198603,-.47,-0.46
198703,-.02,-0.01
198803,-1.39,-1.38
198903,-1.52,-1.51
199003,1.87,1.88
199103,-.51,-0.50
199203,-.72,-0.71
199303,2.34,2.35
199403,1.66,1.67
199503,-.97,-0.96
199603,.96,0.97
199703,-.49,-0.48
199803,1.24,1.25
199903,1.56,1.57
200003,.1,0.11
200103,1.27,1.28
200203,-3.66,-3.65
200303,.31,0.32
200403,-1.35,-1.34
200503,.2,0.21
200603,1.35,1.36
200703,1.69,1.70
200803,2.51,2.52
200903,-1.5,-1.49
201003,3.59,3.60
201103,.5,0.51
201203,-2.55,-2.54
201303,-2.12,-2.11
201403,-1.05,-1.04
201503,-1.59,-1.58
201603,-3.3,-3.29
