Delaware, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-.08,0.19
189605,-1.78,-1.51
189705,.1,0.37
189805,-.36,-0.09
189905,-1.15,-0.88
190005,-1.96,-1.69
190105,.7,0.97
190205,.78,1.05
190305,2.43,2.70
190405,-1.37,-1.10
190505,.09,0.36
190605,-.69,-0.42
190705,1.46,1.73
190805,-.28,-0.01
190905,.37,0.64
191005,-1.65,-1.38
191105,-1.27,-1.00
191205,-.11,0.16
191305,-.78,-0.51
191405,-1.72,-1.45
191505,.06,0.33
191605,.31,0.58
191705,.62,0.89
191805,-.38,-0.11
191905,.95,1.22
192005,1.86,2.13
192105,-1.15,-0.88
192205,-1.12,-0.85
192305,-.71,-0.44
192405,2.48,2.75
192505,-1.82,-1.55
192605,-2.29,-2.02
192705,-1.08,-0.81
192805,.4,0.67
192905,-.54,-0.27
193005,-2.74,-2.47
193105,-3.88,-3.61
193205,-.95,-0.68
193305,1.77,2.04
193405,2.21,2.48
193505,1.45,1.72
193605,2.87,3.14
193705,2.12,2.39
193805,.08,0.35
193905,-1.09,-0.82
194005,1.69,1.96
194105,-2.07,-1.80
194205,-3.29,-3.02
194305,-.69,-0.42
194405,-.83,-0.56
194505,.3,0.57
194605,.65,0.92
194705,-1.19,-0.92
194805,2.84,3.11
194905,-.39,-0.12
195005,-1.97,-1.70
195105,-1.57,-1.30
195205,2.71,2.98
195305,2.18,2.45
195405,-1.52,-1.25
195505,-3.1,-2.83
195605,-1.11,-0.84
195705,-1.61,-1.34
195805,2.57,2.84
195905,-2.05,-1.78
196005,-.66,-0.39
196105,2.24,2.51
196205,-.81,-0.54
196305,-2.14,-1.87
196405,-1.19,-0.92
196505,-3.68,-3.41
196605,-3.48,-3.21
196705,.45,0.72
196805,-.98,-0.71
196905,-2.93,-2.66
197005,.95,1.22
197105,.65,0.92
197205,2.16,2.43
197305,.61,0.88
197405,-.64,-0.37
197505,1.35,1.62
197605,-2.31,-2.04
197705,-2.62,-2.35
197805,2.74,3.01
197905,2.14,2.41
198005,-.55,-0.28
198105,-1.48,-1.21
198205,-1.19,-0.92
198305,2.97,3.24
198405,3.97,4.24
198505,-3.82,-3.55
198605,-2.93,-2.66
198705,-1.64,-1.37
198805,-1.74,-1.47
198905,1.85,2.12
199005,1.36,1.63
199105,-2.21,-1.94
199205,.26,0.53
199305,-.35,-0.08
199405,-.42,-0.15
199505,-1.99,-1.72
199605,1.87,2.14
199705,-.27,0.00
199805,-.22,0.05
199905,-2.7,-2.43
200005,1.12,1.39
200105,-.79,-0.52
200205,-2.91,-2.64
200305,2.83,3.10
200405,2.11,2.38
200505,1.53,1.80
200605,-2.7,-2.43
200705,-.97,-0.70
200805,-1.76,-1.49
200905,.88,1.15
201005,-1.49,-1.22
201105,-2.67,-2.40
201205,-3.64,-3.37
201305,-.82,-0.55
201405,-.36,-0.09
201505,-1.22,-0.95
