Washington, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,.65,0.63
189605,1.99,1.97
189705,.76,0.74
189805,-1.33,-1.35
189905,1.98,1.96
190005,1.4,1.38
190105,1.9,1.88
190205,2.16,2.14
190305,.99,0.97
190405,-.68,-0.70
190505,.6,0.58
190605,.69,0.67
190705,-.38,-0.40
190805,.89,0.87
190905,-1.5,-1.52
191005,-.91,-0.93
191105,1.05,1.03
191205,.12,0.10
191305,.15,0.13
191405,-1.37,-1.39
191505,.86,0.84
191605,2.82,2.80
191705,1.47,1.45
191805,-.86,-0.88
191905,1.07,1.05
192005,.41,0.39
192105,2.59,2.57
192205,-1.09,-1.11
192305,.05,0.03
192405,-3.24,-3.26
192505,-1.93,-1.95
192605,-4.1,-4.12
192705,.62,0.60
192805,-.81,-0.83
192905,-3.44,-3.46
193005,-3.66,-3.68
193105,-3.44,-3.46
193205,-.24,-0.26
193305,.58,0.56
193405,-2.1,-2.12
193505,-1.41,-1.43
193605,.09,0.07
193705,1.04,1.02
193805,-.86,-0.88
193905,-3.41,-3.43
194005,-1.57,-1.59
194105,.98,0.96
194205,.67,0.65
194305,.44,0.42
194405,-2.57,-2.59
194505,1.42,1.40
194605,-.66,-0.68
194705,-2,-2.02
194805,3.16,3.14
194905,-1.45,-1.47
195005,2.2,2.18
195105,-1.03,-1.05
195205,-1.89,-1.91
195305,1.44,1.42
195405,1.14,1.12
195505,1.27,1.25
195605,-1.7,-1.72
195705,.05,0.03
195805,-.83,-0.85
195905,1.31,1.29
196005,2.63,2.61
196105,2.51,2.49
196205,.77,0.75
196305,.33,0.31
196405,-.84,-0.86
196505,-1.03,-1.05
196605,-2.37,-2.39
196705,-.37,-0.39
196805,.33,0.31
196905,-.64,-0.66
197005,-1.13,-1.15
197105,1.55,1.53
197205,3.31,3.29
197305,-2.6,-2.62
197405,3.64,3.62
197505,-.01,-0.03
197605,1.56,1.54
197705,.62,0.60
197805,.78,0.76
197905,-2.23,-2.25
198005,.66,0.64
198105,.93,0.91
198205,2.21,2.19
198305,1.4,1.38
198405,2.96,2.94
198505,-2.42,-2.44
198605,-1.09,-1.11
198705,-1.52,-1.54
198805,-1.71,-1.73
198905,-.77,-0.79
199005,.77,0.75
199105,1.9,1.88
199205,-3.18,-3.20
199305,1.15,1.13
199405,-2.42,-2.44
199505,.59,0.57
199605,3.59,3.57
199705,4.25,4.23
199805,-.51,-0.53
199905,2.7,2.68
200005,.46,0.44
200105,.06,0.04
200205,.02,0.00
200305,-.31,-0.33
200405,-2.44,-2.46
200505,.73,0.71
200605,-.53,-0.55
200705,-.77,-0.79
200805,-1.2,-1.22
200905,-.88,-0.90
201005,1.69,1.67
201105,4.64,4.62
201205,1.74,1.72
201305,.92,0.90
201405,0,-0.02
201505,-1.87,-1.89
