Maine, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-2.03,-1.87
189608,.41,0.57
189708,2.29,2.45
189808,-.76,-0.60
189908,-.95,-0.79
190008,-.66,-0.50
190108,-.56,-0.40
190208,3.28,3.44
190308,-1.18,-1.02
190408,.96,1.12
190508,-2.23,-2.07
190608,-.66,-0.50
190708,1.63,1.79
190808,-.93,-0.77
190908,.63,0.79
191008,-.53,-0.37
191108,-2.91,-2.75
191208,1.24,1.40
191308,-1.43,-1.27
191408,-.75,-0.59
191508,1.69,1.85
191608,-.27,-0.11
191708,3.74,3.90
191808,1.28,1.44
191908,-1.21,-1.05
192008,1.18,1.34
192108,-2.67,-2.51
192208,.53,0.69
192308,-1.21,-1.05
192408,-1.67,-1.51
192508,.08,0.24
192608,.14,0.30
192708,1.45,1.61
192808,2.26,2.42
192908,-1.16,-1.00
193008,-1.15,-0.99
193108,1.23,1.39
193208,.48,0.64
193308,.13,0.29
193408,.03,0.19
193508,-.83,-0.67
193608,-.44,-0.28
193708,-1.14,-0.98
193808,1.45,1.61
193908,-1.48,-1.32
194008,-1.02,-0.86
194108,-2.56,-2.40
194208,-1.39,-1.23
194308,1.45,1.61
194408,-3.07,-2.91
194508,-.69,-0.53
194608,-1.17,-1.01
194708,-.85,-0.69
194808,-2.83,-2.67
194908,-3.74,-3.58
195008,-1.97,-1.81
195108,3.09,3.25
195208,-1.96,-1.80
195308,-1.02,-0.86
195408,3.92,4.08
195508,-1.28,-1.12
195608,-1.14,-0.98
195708,-2.83,-2.67
195808,2.61,2.77
195908,.73,0.89
196008,-.79,-0.63
196108,-.37,-0.21
196208,1.23,1.39
196308,1.05,1.21
196408,-1.62,-1.46
196508,-4.03,-3.87
196608,-2.99,-2.83
196708,1.07,1.23
196808,-1.88,-1.72
196908,1.09,1.25
197008,-.74,-0.58
197108,-.81,-0.65
197208,1.91,2.07
197308,3.52,3.68
197408,3.16,3.32
197508,-1.77,-1.61
197608,3.75,3.91
197708,1.63,1.79
197808,-2.16,-2.00
197908,-.49,-0.33
198008,-1.81,-1.65
198108,1.65,1.81
198208,-.5,-0.34
198308,-.67,-0.51
198408,-.64,-0.48
198508,.51,0.67
198608,1.74,1.90
198708,-2.04,-1.88
198808,1.09,1.25
198908,1.09,1.25
199008,1.41,1.57
199108,1.85,2.01
199208,.62,0.78
199308,-1.3,-1.14
199408,-.56,-0.40
199508,-2.43,-2.27
199608,3.19,3.35
199708,.45,0.61
199808,-.34,-0.18
199908,-2.56,-2.40
200008,-.46,-0.30
200108,-3.64,-3.48
200208,-2.77,-2.61
200308,-2.16,-2.00
200408,1.83,1.99
200508,2.46,2.62
200608,4.52,4.68
200708,2.64,2.80
200808,4.14,4.30
200908,4.96,5.12
201008,-1.66,-1.50
201108,4.27,4.43
201208,1.05,1.21
201308,2.75,2.91
201408,2.84,3.00
201508,1,1.16
