Connecticut, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.05,-1.06
189604,-1.09,-1.10
189704,-1.36,-1.37
189804,2.51,2.50
189904,-.67,-0.68
190004,-.69,-0.70
190104,3.1,3.09
190204,3.86,3.85
190304,3.14,3.13
190404,2.45,2.44
190504,-1.35,-1.36
190604,.61,0.60
190704,-1.34,-1.35
190804,-.84,-0.85
190904,2.13,2.12
191004,-1.1,-1.11
191104,-1.81,-1.82
191204,1.52,1.51
191304,1.05,1.04
191404,.65,0.64
191504,-1.91,-1.92
191604,.45,0.44
191704,-.51,-0.52
191804,-1.28,-1.29
191904,.69,0.68
192004,1.45,1.44
192104,-.33,-0.34
192204,-.54,-0.55
192304,-.15,-0.16
192404,.92,0.91
192504,-1.66,-1.67
192604,-.31,-0.32
192704,-1.5,-1.51
192804,2.4,2.39
192904,1.47,1.46
193004,-2.58,-2.59
193104,-.34,-0.35
193204,-2.03,-2.04
193304,1.28,1.27
193404,.51,0.50
193504,-1.08,-1.09
193604,1.83,1.82
193704,1.27,1.26
193804,-1.39,-1.40
193904,3.56,3.55
194004,1.37,1.36
194104,-2.56,-2.57
194204,-1.86,-1.87
194304,-.6,-0.61
194404,-1.28,-1.29
194504,.05,0.04
194604,-1.91,-1.92
194704,.28,0.27
194804,.14,0.13
194904,-.68,-0.69
195004,-2.64,-2.65
195104,-.31,-0.32
195204,1.73,1.72
195304,3.78,3.77
195404,-1.23,-1.24
195504,-.3,-0.31
195604,.8,0.79
195704,-1.57,-1.58
195804,1.85,1.84
195904,-.66,-0.67
196004,-.57,-0.58
196104,.67,0.66
196204,-1.5,-1.51
196304,-2.42,-2.43
196404,-1.37,-1.38
196504,-3.67,-3.68
196604,-4.61,-4.62
196704,.43,0.42
196804,-1.41,-1.42
196904,-1.12,-1.13
197004,-.23,-0.24
197104,-1.91,-1.92
197204,1.25,1.24
197304,3.45,3.44
197404,-.34,-0.35
197504,-.31,-0.32
197604,1.49,1.48
197704,.82,0.81
197804,-1.32,-1.33
197904,2.68,2.67
198004,2.16,2.15
198104,-1.92,-1.93
198204,.71,0.70
198304,3.95,3.94
198404,2.58,2.57
198504,-3.76,-3.77
198604,-1.33,-1.34
198704,1.43,1.42
198804,-1.86,-1.87
198904,.08,0.07
199004,1.91,1.90
199104,-1.02,-1.03
199204,-1.04,-1.05
199304,2.33,2.32
199404,-.65,-0.66
199504,-1.34,-1.35
199604,1.94,1.93
199704,-.28,-0.29
199804,1.15,1.14
199904,-1.06,-1.07
200004,.43,0.42
200104,-.97,-0.98
200204,-3.57,-3.58
200304,.05,0.04
200404,.97,0.96
200504,.55,0.54
200604,1.36,1.35
200704,3.18,3.17
200804,1.92,1.91
200904,-1.53,-1.54
201004,-1.11,-1.12
201104,.85,0.84
201204,-2.82,-2.83
201304,-2.88,-2.89
201404,-.86,-0.87
201504,-1.97,-1.98
