Nebraska, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.06,0.63
189604,1.6,1.17
189704,4.12,3.69
189804,1.34,0.91
189904,-1.06,-1.49
190004,-.58,-1.01
190104,-1.07,-1.50
190204,-1.88,-2.31
190304,2.77,2.34
190404,2.32,1.89
190504,3.73,3.30
190604,6.34,5.91
190704,3.58,3.15
190804,.71,0.28
190904,3.57,3.14
191004,-1.82,-2.25
191104,-2.02,-2.45
191204,2.44,2.01
191304,.72,0.29
191404,-.28,-0.71
191504,2.15,1.72
191604,5.15,4.72
191704,2.35,1.92
191804,-1.27,-1.70
191904,2,1.57
192004,4.5,4.07
192104,-.67,-1.10
192204,-1.07,-1.50
192304,.17,-0.26
192404,3.32,2.89
192504,-.78,-1.21
192604,-1.57,-2.00
192704,2.93,2.50
192804,-1.87,-2.30
192904,1.27,0.84
193004,.68,0.25
193104,-.32,-0.75
193204,-.27,-0.70
193304,-1.14,-1.57
193404,-3.9,-4.33
193504,-4.98,-5.41
193604,-2.07,-2.50
193704,-5.02,-5.45
193804,-4.58,-5.01
193904,-3.44,-3.87
194004,-4.23,-4.66
194104,-2.95,-3.38
194204,1.77,1.34
194304,-.91,-1.34
194404,2.23,1.80
194504,2.52,2.09
194604,-1.74,-2.17
194704,3.06,2.63
194804,-1.1,-1.53
194904,1.88,1.45
195004,1.04,0.61
195104,2.54,2.11
195204,6.14,5.71
195304,-.09,-0.52
195404,-2.16,-2.59
195504,-3.95,-4.38
195604,-5.45,-5.88
195704,.21,-0.22
195804,3.4,2.97
195904,1.82,1.39
196004,2.97,2.54
196104,-.97,-1.40
196204,-.76,-1.19
196304,-.36,-0.79
196404,-1.09,-1.52
196504,-2.73,-3.16
196604,2.6,2.17
196704,-2.51,-2.94
196804,-1.25,-1.68
196904,-.7,-1.13
197004,-.08,-0.51
197104,1.11,0.68
197204,.12,-0.31
197304,3.91,3.48
197404,.2,-0.23
197504,-1.35,-1.78
197604,-.74,-1.17
197704,1.13,0.70
197804,2.34,1.91
197904,2.18,1.75
198004,-.18,-0.61
198104,-3.83,-4.26
198204,-.53,-0.96
198304,4.98,4.55
198404,5.44,5.01
198504,2.23,1.80
198604,2.07,1.64
198704,4.33,3.90
198804,-.73,-1.16
198904,-3.23,-3.66
199004,-3.84,-4.27
199104,-3.19,-3.62
199204,-.71,-1.14
199304,3.78,3.35
199404,5.47,5.04
199504,3.83,3.40
199604,.88,0.45
199704,2.4,1.97
199804,2.78,2.35
199904,3.63,3.20
200004,-1.55,-1.98
200104,1.31,0.88
200204,-1.7,-2.13
200304,-2.76,-3.19
200404,-2.93,-3.36
200504,.35,-0.08
200604,-1.63,-2.06
200704,2.16,1.73
200804,2.08,1.65
200904,4.69,4.26
201004,5.83,5.40
201104,3.82,3.39
201204,-1.1,-1.53
201304,-4.24,-4.67
201404,-1.99,-2.42
201504,.74,0.31
