Louisiana, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.34,-0.11
189602,.67,0.90
189702,-2.51,-2.28
189802,-1.46,-1.23
189902,-.27,-0.04
190002,.69,0.92
190102,-1.02,-0.79
190202,-2.82,-2.59
190302,1.64,1.87
190402,-3.77,-3.54
190502,1.23,1.46
190602,-1.02,-0.79
190702,-2.54,-2.31
190802,-.8,-0.57
190902,-1.9,-1.67
191002,-1.51,-1.28
191102,-2.87,-2.64
191202,1.78,2.01
191302,1.49,1.72
191402,-1.7,-1.47
191502,.89,1.12
191602,-1.93,-1.70
191702,-1.55,-1.32
191802,-4.77,-4.54
191902,1.67,1.90
192002,2.12,2.35
192102,-1.46,-1.23
192202,.25,0.48
192302,.4,0.63
192402,.01,0.24
192502,-4.41,-4.18
192602,.57,0.80
192702,.1,0.33
192802,-1.87,-1.64
192902,.74,0.97
193002,-.48,-0.25
193102,-.95,-0.72
193202,-.16,0.07
193302,1.15,1.38
193402,-1.58,-1.35
193502,-.82,-0.59
193602,-1.09,-0.86
193702,-2.36,-2.13
193802,-.89,-0.66
193902,-.84,-0.61
194002,.57,0.80
194102,2.71,2.94
194202,1.42,1.65
194302,-2.05,-1.82
194402,1.07,1.30
194502,.94,1.17
194602,2.61,2.84
194702,2.37,2.60
194802,1.16,1.39
194902,.93,1.16
195002,.45,0.68
195102,-1.21,-0.98
195202,-2.49,-2.26
195302,.55,0.78
195402,-2.17,-1.94
195502,-2.75,-2.52
195602,-.82,-0.59
195702,-3,-2.77
195802,1.73,1.96
195902,.68,0.91
196002,-.41,-0.18
196102,1.3,1.53
196202,-1.09,-0.86
196302,-2.92,-2.69
196402,-3,-2.77
196502,-1.34,-1.11
196602,2.51,2.74
196702,-1.37,-1.14
196802,.48,0.71
196902,.13,0.36
197002,-2.72,-2.49
197102,-1.49,-1.26
197202,-.6,-0.37
197302,.9,1.13
197402,3.89,4.12
197502,2.09,2.32
197602,-1.78,-1.55
197702,.03,0.26
197802,-.43,-0.20
197902,2.39,2.62
198002,1.26,1.49
198102,-3.05,-2.82
198202,-2.37,-2.14
198302,3.54,3.77
198402,2.66,2.89
198502,-.33,-0.10
198602,-2.07,-1.84
198702,2.65,2.88
198802,.85,1.08
198902,-.69,-0.46
199002,2.98,3.21
199102,1.7,1.93
199202,3.61,3.84
199302,2.5,2.73
199402,-.8,-0.57
199502,-.86,-0.63
199602,-1.8,-1.57
199702,2.05,2.28
199802,3.01,3.24
199902,-1.17,-0.94
200002,-4.72,-4.49
200102,.76,0.99
200202,-.79,-0.56
200302,-.18,0.05
200402,1.26,1.49
200502,-.22,0.01
200602,-2.77,-2.54
200702,-.81,-0.58
200802,-.65,-0.42
200902,-1.77,-1.54
201002,0,0.23
201102,-3.96,-3.73
201202,-2.89,-2.66
201302,2.54,2.77
201402,.28,0.51
201502,-.73,-0.50
