North Carolina, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.11,-1.08
189609,-.38,-0.35
189709,-1.53,-1.50
189809,1.37,1.40
189909,-.67,-0.64
190009,-2.47,-2.44
190109,5.5,5.53
190209,-2.53,-2.50
190309,-.83,-0.80
190409,.8,0.83
190509,-.34,-0.31
190609,3.16,3.19
190709,1.77,1.80
190809,3.94,3.97
190909,-.11,-0.08
191009,-.19,-0.16
191109,-3.92,-3.89
191209,-.84,-0.81
191309,1.17,1.20
191409,-2.71,-2.68
191509,-.23,-0.20
191609,-.29,-0.26
191709,2.96,2.99
191809,.4,0.43
191909,-1.03,-1.00
192009,2.19,2.22
192109,-2.49,-2.46
192209,-.83,-0.80
192309,-1.56,-1.53
192409,3.57,3.60
192509,-4.51,-4.48
192609,-4.33,-4.30
192709,-.61,-0.58
192809,5.26,5.29
192909,3.41,3.44
193009,-3.56,-3.53
193109,-1.83,-1.80
193209,-3.59,-3.56
193309,-2.13,-2.10
193409,1.61,1.64
193509,.56,0.59
193609,-1.29,-1.26
193709,.15,0.18
193809,1.83,1.86
193909,-.81,-0.78
194009,-1.11,-1.08
194109,-2.63,-2.60
194209,.92,0.95
194309,-.99,-0.96
194409,-1.12,-1.09
194509,2.82,2.85
194609,2.34,2.37
194709,.67,0.70
194809,-.8,-0.77
194909,2.72,2.75
195009,-.21,-0.18
195109,-2.36,-2.33
195209,-1.32,-1.29
195309,-1.8,-1.77
195409,-4.06,-4.03
195509,2.43,2.46
195609,.58,0.61
195709,.91,0.94
195809,-.52,-0.49
195909,1.24,1.27
196009,2.43,2.46
196109,-.65,-0.62
196209,1.15,1.18
196309,-.89,-0.86
196409,1.21,1.24
196509,-.67,-0.64
196609,-.07,-0.04
196709,2.12,2.15
196809,-2.44,-2.41
196909,1.58,1.61
197009,-1.39,-1.36
197109,1.56,1.59
197209,1.49,1.52
197309,-1,-0.97
197409,2.19,2.22
197509,2.81,2.84
197609,.34,0.37
197709,.06,0.09
197809,-.86,-0.83
197909,3.37,3.40
198009,-2.08,-2.05
198109,-2.24,-2.21
198209,.75,0.78
198309,-2.62,-2.59
198409,-.22,-0.19
198509,.42,0.45
198609,-4.24,-4.21
198709,-1.99,-1.96
198809,-2.42,-2.39
198909,3.65,3.68
199009,-2.94,-2.91
199109,-.49,-0.46
199209,.71,0.74
199309,-3.45,-3.42
199409,.57,0.60
199509,.98,1.01
199609,3.26,3.29
199709,.08,0.11
199809,-1.79,-1.76
199909,2.9,2.93
200009,.72,0.75
200109,-1.58,-1.55
200209,-4.47,-4.44
200309,4.85,4.88
200409,2.54,2.57
200509,-1.15,-1.12
200609,1.49,1.52
200709,-5.05,-5.02
200809,-3.26,-3.23
200909,-.44,-0.41
201009,-1.8,-1.77
201109,-2.4,-2.37
201209,-.2,-0.17
201309,2.51,2.54
201409,.44,0.47
201509,.09,0.12
