Ohio, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-3.94,-4.07
189612,2.95,2.82
189712,1.21,1.08
189812,1.81,1.68
189912,-3.1,-3.23
190012,-3.28,-3.41
190112,-3.09,-3.22
190212,1.93,1.80
190312,-2,-2.13
190412,-2.51,-2.64
190512,2.59,2.46
190612,1.22,1.09
190712,3.45,3.32
190812,-4.64,-4.77
190912,1.18,1.05
191012,.42,0.29
191112,3.19,3.06
191212,1.29,1.16
191312,-.88,-1.01
191412,-1.58,-1.71
191512,3.76,3.63
191612,-2.12,-2.25
191712,-.58,-0.71
191812,-.05,-0.18
191912,2.25,2.12
192012,1.89,1.76
192112,1.81,1.68
192212,-1.84,-1.97
192312,1.6,1.47
192412,-1.07,-1.20
192512,-.58,-0.71
192612,4.41,4.28
192712,3.55,3.42
192812,.61,0.48
192912,3.86,3.73
193012,-6.31,-6.44
193112,-2.3,-2.43
193212,.77,0.64
193312,-2.62,-2.75
193412,-6.04,-6.17
193512,2.79,2.66
193612,.13,0.00
193712,2.27,2.14
193812,-1.09,-1.22
193912,-2.79,-2.92
194012,-1.01,-1.14
194112,-1.92,-2.05
194212,1.37,1.24
194312,-2.32,-2.45
194412,-4.21,-4.34
194512,-.01,-0.14
194612,-1.33,-1.46
194712,.87,0.74
194812,1.59,1.46
194912,-2.07,-2.20
195012,3.56,3.43
195112,1.24,1.11
195212,-3.37,-3.50
195312,-6.22,-6.35
195412,1.05,0.92
195512,-1.56,-1.69
195612,-1.11,-1.24
195712,1.1,0.97
195812,2.7,2.57
195912,1.18,1.05
196012,-3.38,-3.51
196112,1.32,1.19
196212,-1.8,-1.93
196312,-5.76,-5.89
196412,-4.35,-4.48
196512,-.66,-0.79
196612,1.05,0.92
196712,.41,0.28
196812,.46,0.33
196912,1.3,1.17
197012,.57,0.44
197112,-1.57,-1.70
197212,3.63,3.50
197312,2.42,2.29
197412,2.5,2.37
197512,3.17,3.04
197612,-.6,-0.73
197712,1.84,1.71
197812,1.36,1.23
197912,4.25,4.12
198012,3.1,2.97
198112,1.91,1.78
198212,-.66,-0.79
198312,2.46,2.33
198412,-.74,-0.87
198512,-.02,-0.15
198612,2.48,2.35
198712,-2.37,-2.50
198812,-.18,-0.31
198912,1.85,1.72
199012,6.4,6.27
199112,-4.45,-4.58
199212,3.34,3.21
199312,1.15,1.02
199412,-1.67,-1.80
199512,.69,0.56
199612,3.81,3.68
199712,1.97,1.84
199812,-1.88,-2.01
199912,-4.24,-4.37
200012,1.76,1.63
200112,1.18,1.05
200212,-1.33,-1.46
200312,4.77,4.64
200412,4.64,4.51
200512,-1.38,-1.51
200612,3.55,3.42
200712,.75,0.62
200812,.62,0.49
200912,-.18,-0.31
201012,-1.51,-1.64
201112,5.84,5.71
201212,1.91,1.78
201312,3.1,2.97
201412,1.82,1.69
201512,1.66,1.53
