New Mexico, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,5.41,5.18
189609,.33,0.10
189709,4.56,4.33
189809,-.79,-1.02
189909,-1.01,-1.24
190009,1.41,1.18
190109,-2.02,-2.25
190209,-1.89,-2.12
190309,-1.71,-1.94
190409,1.62,1.39
190509,6.35,6.12
190609,5.64,5.41
190709,3.99,3.76
190809,-.8,-1.03
190909,-1.38,-1.61
191009,-4.65,-4.88
191109,1.45,1.22
191209,1.54,1.31
191309,.54,0.31
191409,2.41,2.18
191509,6.72,6.49
191609,1.58,1.35
191709,-1.99,-2.22
191809,-3.55,-3.78
191909,6.67,6.44
192009,-.6,-0.83
192109,-.86,-1.09
192209,-4.26,-4.49
192309,1.01,0.78
192409,-1.88,-2.11
192509,.89,0.66
192609,-.26,-0.49
192709,1.36,1.13
192809,-.93,-1.16
192909,1.66,1.43
193009,-1.06,-1.29
193109,3.27,3.04
193209,3.9,3.67
193309,-.34,-0.57
193409,-4.8,-5.03
193509,1.19,0.96
193609,1,0.77
193709,-1.27,-1.50
193809,1.01,0.78
193909,-1.27,-1.50
194009,-1.02,-1.25
194109,11.81,11.58
194209,7.75,7.52
194309,-2.24,-2.47
194409,.49,0.26
194509,-2.33,-2.56
194609,-2.4,-2.63
194709,-3.69,-3.92
194809,-1.77,-2.00
194909,-.03,-0.26
195009,-1.76,-1.99
195109,-4.73,-4.96
195209,-2.7,-2.93
195309,-4.13,-4.36
195409,-4.43,-4.66
195509,-2.99,-3.22
195609,-6.33,-6.56
195709,-1.12,-1.35
195809,3.97,3.74
195909,-2.24,-2.47
196009,-1.51,-1.74
196109,.56,0.33
196209,.63,0.40
196309,-1.63,-1.86
196409,-2.82,-3.05
196509,.99,0.76
196609,-.38,-0.61
196709,1.22,0.99
196809,-1.01,-1.24
196909,.95,0.72
197009,-1.32,-1.55
197109,.79,0.56
197209,1.96,1.73
197309,-1.11,-1.34
197409,1.44,1.21
197509,2.97,2.74
197609,-1.76,-1.99
197709,-1.25,-1.48
197809,.11,-0.12
197909,3.76,3.53
198009,-1.08,-1.31
198109,1.02,0.79
198209,.34,0.11
198309,.96,0.73
198409,1.26,1.03
198509,5.16,4.93
198609,3.32,3.09
198709,5.79,5.56
198809,4.74,4.51
198909,-2.36,-2.59
199009,1.62,1.39
199109,3.46,3.23
199209,4.65,4.42
199309,-.72,-0.95
199409,-2.17,-2.40
199509,-.69,-0.92
199609,1.43,1.20
199709,1.81,1.58
199809,-1.34,-1.57
199909,-.15,-0.38
200009,-5.09,-5.32
200109,-1.23,-1.46
200209,-3.48,-3.71
200309,-5.07,-5.30
200409,.58,0.35
200509,-.52,-0.75
200609,2.75,2.52
200709,-.66,-0.89
200809,-.34,-0.57
200909,-3.01,-3.24
201009,-.66,-0.89
201109,-5.62,-5.85
201209,-5.4,-5.63
201309,-2.3,-2.53
201409,1.11,0.88
201509,.82,0.59
