Wisconsin, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.35,0.04
189601,-3.85,-4.16
189701,1.25,0.94
189801,-2.67,-2.98
189901,-.7,-1.01
190001,.17,-0.14
190101,2.87,2.56
190201,-2.84,-3.15
190301,1.49,1.18
190401,2.46,2.15
190501,2.06,1.75
190601,3.03,2.72
190701,2.19,1.88
190801,.95,0.64
190901,-2.99,-3.30
191001,1.12,0.81
191101,-6.41,-6.72
191201,2.89,2.58
191301,2.09,1.78
191401,1.45,1.14
191501,.97,0.66
191601,3.13,2.82
191701,.92,0.61
191801,.63,0.32
191901,-1.61,-1.92
192001,1.5,1.19
192101,-1.87,-2.18
192201,.12,-0.19
192301,-1.67,-1.98
192401,-3.12,-3.43
192501,-.96,-1.27
192601,.78,0.47
192701,2.92,2.61
192801,1.61,1.30
192901,3.62,3.31
193001,-2.21,-2.52
193101,-4.39,-4.70
193201,-1.51,-1.82
193301,-2.8,-3.11
193401,-4.92,-5.23
193501,2.5,2.19
193601,1.31,1.00
193701,-3.03,-3.34
193801,.3,-0.01
193901,3.41,3.10
194001,-4.01,-4.32
194101,.99,0.68
194201,1.79,1.48
194301,2.92,2.61
194401,-1.33,-1.64
194501,-2.73,-3.04
194601,2.95,2.64
194701,.69,0.38
194801,-2.25,-2.56
194901,-3.85,-4.16
195001,.75,0.44
195101,.25,-0.06
195201,3.86,3.55
195301,-.04,-0.35
195401,-2.73,-3.04
195501,-.6,-0.91
195601,-2.12,-2.43
195701,-1.76,-2.07
195801,-.89,-1.20
195901,-1.89,-2.20
196001,3.23,2.92
196101,-.85,-1.16
196201,1.48,1.17
196301,-.94,-1.25
196401,-4.78,-5.09
196501,-.04,-0.35
196601,3.32,3.01
196701,1.05,0.74
196801,-.52,-0.83
196901,4.31,4.00
197001,-1.45,-1.76
197101,2.41,2.10
197201,1.09,0.78
197301,3.61,3.30
197401,.17,-0.14
197501,.45,0.14
197601,.76,0.45
197701,-7.88,-8.19
197801,2.02,1.71
197901,3.13,2.82
198001,2.5,2.19
198101,1.45,1.14
198201,1.73,1.42
198301,3.65,3.34
198401,2.31,2.00
198501,2.73,2.42
198601,3.36,3.05
198701,-.55,-0.86
198801,.95,0.64
198901,-2.87,-3.18
199001,-3.72,-4.03
199101,1.74,1.43
199201,3.16,2.85
199301,2.63,2.32
199401,.2,-0.11
199501,-.44,-0.75
199601,2.68,2.37
199701,2.56,2.25
199801,1.12,0.81
199901,.48,0.17
200001,-1.61,-1.92
200101,1.32,1.01
200201,.82,0.51
200301,-1.01,-1.32
200401,-2.02,-2.33
200501,.87,0.56
200601,-1.53,-1.84
200701,-1.32,-1.63
200801,2.04,1.73
200901,.18,-0.13
201001,-.05,-0.36
201101,3.24,2.93
201201,-1.16,-1.47
201301,.4,0.09
201401,1.37,1.06
201501,2.45,2.14
201601,3.32,3.01
