North Dakota, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.79,2.30
189606,5.92,5.43
189706,4.8,4.31
189806,-1.37,-1.86
189906,1.75,1.26
190006,-4.42,-4.91
190106,1.78,1.29
190206,4.04,3.55
190306,.87,0.38
190406,4.25,3.76
190506,2.63,2.14
190606,4.29,3.80
190706,2.92,2.43
190806,2.27,1.78
190906,1.86,1.37
191006,-2.8,-3.29
191106,-2.56,-3.05
191206,1.1,0.61
191306,-1.65,-2.14
191406,2.06,1.57
191506,2.12,1.63
191606,4.93,4.44
191706,-1.08,-1.57
191806,-2.56,-3.05
191906,-.92,-1.41
192006,1.79,1.30
192106,.16,-0.33
192206,1.55,1.06
192306,2.14,1.65
192406,2,1.51
192506,1.49,1.00
192606,-2.51,-3.00
192706,3.7,3.21
192806,3.04,2.55
192906,-.76,-1.25
193006,-.34,-0.83
193106,-3.18,-3.67
193206,-1.29,-1.78
193306,-1.33,-1.82
193406,-5.71,-6.20
193506,-2.72,-3.21
193606,-3.86,-4.35
193706,-3.46,-3.95
193806,-2.46,-2.95
193906,-2.44,-2.93
194006,-2.98,-3.47
194106,1.65,1.16
194206,4.34,3.85
194306,4.88,4.39
194406,2.96,2.47
194506,3.04,2.55
194606,-1.26,-1.75
194706,2.34,1.85
194806,1.76,1.27
194906,-1.5,-1.99
195006,3.92,3.43
195106,1.27,0.78
195206,-2.84,-3.33
195306,3.85,3.36
195406,2.33,1.84
195506,-1.31,-1.80
195606,-.55,-1.04
195706,.51,0.02
195806,-1.81,-2.30
195906,-2.72,-3.21
196006,-.9,-1.39
196106,-3.86,-4.35
196206,2.04,1.55
196306,2.03,1.54
196406,1.69,1.20
196506,1.76,1.27
196606,3.38,2.89
196706,-.36,-0.85
196806,.84,0.35
196906,1.86,1.37
197006,2.13,1.64
197106,1.86,1.37
197206,2.85,2.36
197306,-1.23,-1.72
197406,-1.02,-1.51
197506,4.45,3.96
197606,-.66,-1.15
197706,-4.43,-4.92
197806,2.73,2.24
197906,2.48,1.99
198006,-4.68,-5.17
198106,-2.12,-2.61
198206,1.23,0.74
198306,3.38,2.89
198406,-.5,-0.99
198506,-1.14,-1.63
198606,1.68,1.19
198706,-1.94,-2.43
198806,-5.54,-6.03
198906,-3.69,-4.18
199006,-3.02,-3.51
199106,-2.59,-3.08
199206,-2.46,-2.95
199306,1.63,1.14
199406,4.16,3.67
199506,5.38,4.89
199606,4.3,3.81
199706,3.18,2.69
199806,-.39,-0.88
199906,4.63,4.14
200006,2.94,2.45
200106,2.89,2.40
200206,-2.27,-2.76
200306,1.05,0.56
200406,.9,0.41
200506,2.99,2.50
200606,-1.84,-2.33
200706,2.38,1.89
200806,-2.03,-2.52
200906,4.28,3.79
201006,5.75,5.26
201106,8.45,7.96
201206,-1.83,-2.32
201306,3.7,3.21
201406,5.91,5.42
201506,2.83,2.34
