Georgia, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.74,-1.95
189612,-2.69,-2.90
189712,-2.79,-3.00
189812,4.79,4.58
189912,-3.23,-3.44
190012,.6,0.39
190112,2.73,2.52
190212,.92,0.71
190312,-.35,-0.56
190412,-2.46,-2.67
190512,1.23,1.02
190612,-.38,-0.59
190712,2.3,2.09
190812,-1.82,-2.03
190912,-1.21,-1.42
191012,-.48,-0.69
191112,1.64,1.43
191212,3.69,3.48
191312,-2.2,-2.41
191412,1.47,1.26
191512,1.08,0.87
191612,-1.31,-1.52
191712,-1.37,-1.58
191812,1.49,1.28
191912,.92,0.71
192012,2.91,2.70
192112,-2.4,-2.61
192212,.18,-0.03
192312,-1.16,-1.37
192412,1.85,1.64
192512,-3.56,-3.77
192612,-1.16,-1.37
192712,-2.64,-2.85
192812,3.2,2.99
192912,5.21,5.00
193012,.01,-0.20
193112,-3.97,-4.18
193212,3.24,3.03
193312,-3.3,-3.51
193412,-2,-2.21
193512,-1,-1.21
193612,.35,0.14
193712,-.49,-0.70
193812,-1.64,-1.85
193912,-1.87,-2.08
194012,-.8,-1.01
194112,.73,0.52
194212,.53,0.32
194312,-1.71,-1.92
194412,-1.71,-1.92
194512,2.23,2.02
194612,-1.34,-1.55
194712,3.82,3.61
194812,4.52,4.31
194912,-.89,-1.10
195012,-.17,-0.38
195112,.97,0.76
195212,-1.94,-2.15
195312,2.56,2.35
195412,-4.8,-5.01
195512,-3.26,-3.47
195612,-1.85,-2.06
195712,2.44,2.23
195812,-2.32,-2.53
195912,1.31,1.10
196012,-1.98,-2.19
196112,.73,0.52
196212,-.39,-0.60
196312,.26,0.05
196412,5.02,4.81
196512,.97,0.76
196612,1.97,1.76
196712,2.31,2.10
196812,.67,0.46
196912,1.7,1.49
197012,.68,0.47
197112,2.36,2.15
197212,.86,0.65
197312,1.24,1.03
197412,1.32,1.11
197512,3.09,2.88
197612,3.94,3.73
197712,1,0.79
197812,-2.6,-2.81
197912,1.7,1.49
198012,-3.07,-3.28
198112,.59,0.38
198212,1.01,0.80
198312,2.3,2.09
198412,-2.13,-2.34
198512,-.1,-0.31
198612,1.07,0.86
198712,-3.15,-3.36
198812,-2.29,-2.50
198912,3.51,3.30
199012,.03,-0.18
199112,-1.47,-1.68
199212,3.82,3.61
199312,.34,0.13
199412,3.99,3.78
199512,1.05,0.84
199612,.05,-0.16
199712,3.22,3.01
199812,-2.84,-3.05
199912,-3.39,-3.60
200012,-2.74,-2.95
200112,-3.21,-3.42
200212,2.04,1.83
200312,-.34,-0.55
200412,2.74,2.53
200512,-.46,-0.67
200612,-2.98,-3.19
200712,-4.17,-4.38
200812,.95,0.74
200912,3.81,3.60
201012,-2.93,-3.14
201112,-4.36,-4.57
201212,-3.4,-3.61
201312,3.62,3.41
201412,.98,0.77
201512,2.17,1.96
