New York, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.32,-1.32
189604,-1.51,-1.51
189704,.05,0.05
189804,-.67,-0.67
189904,-1.19,-1.19
190004,-1.13,-1.13
190104,1.22,1.22
190204,1.18,1.18
190304,-.56,-0.56
190404,1.91,1.91
190504,-1.92,-1.92
190604,-1.27,-1.27
190704,-1.04,-1.04
190804,1.82,1.82
190904,-1.55,-1.55
191004,-2.32,-2.32
191104,-2.58,-2.58
191204,.57,0.57
191304,-.23,-0.23
191404,1.29,1.29
191504,-2.58,-2.58
191604,1.93,1.93
191704,-1.87,-1.87
191804,-1.13,-1.13
191904,.5,0.50
192004,.79,0.79
192104,-.96,-0.96
192204,-.23,-0.23
192304,-1.64,-1.64
192404,.84,0.84
192504,-.6,-0.60
192604,-.18,-0.18
192704,-1.6,-1.60
192804,2.6,2.60
192904,2.46,2.46
193004,-.67,-0.67
193104,-3.94,-3.94
193204,-.23,-0.23
193304,.74,0.74
193404,-.9,-0.90
193504,-2.05,-2.05
193604,1.64,1.64
193704,.91,0.91
193804,-.94,-0.94
193904,.92,0.92
194004,1.67,1.67
194104,-2.51,-2.51
194204,-2.79,-2.79
194304,1.8,1.80
194404,.82,0.82
194504,.16,0.16
194604,-2.5,-2.50
194704,1,1.00
194804,.41,0.41
194904,-.53,-0.53
195004,1.06,1.06
195104,2.59,2.59
195204,1.62,1.62
195304,1.38,1.38
195404,1.25,1.25
195504,-.69,-0.69
195604,2.28,2.28
195704,-1.72,-1.72
195804,.77,0.77
195904,-.52,-0.52
196004,-.8,-0.80
196104,1.5,1.50
196204,-1.41,-1.41
196304,-2.21,-2.21
196404,-1.98,-1.98
196504,-4.34,-4.34
196604,-2.95,-2.95
196704,.08,0.08
196804,-1.79,-1.79
196904,.56,0.56
197004,-1.08,-1.08
197104,-.5,-0.50
197204,1.04,1.04
197304,3.19,3.19
197404,.97,0.97
197504,1.64,1.64
197604,3.15,3.15
197704,2.66,2.66
197804,-1.41,-1.41
197904,1.59,1.59
198004,1.31,1.31
198104,-1.64,-1.64
198204,-.59,-0.59
198304,2.1,2.10
198404,1.3,1.30
198504,-2.02,-2.02
198604,-.89,-0.89
198704,-1.31,-1.31
198804,-1.59,-1.59
198904,-2.14,-2.14
199004,1.81,1.81
199104,-.21,-0.21
199204,.24,0.24
199304,3.52,3.52
199404,1.24,1.24
199504,-1.72,-1.72
199604,2.09,2.09
199704,3.17,3.17
199804,1.78,1.78
199904,-1.58,-1.58
200004,1.3,1.30
200104,-1.4,-1.40
200204,.34,0.34
200304,.06,0.06
200404,1.5,1.50
200504,2.98,2.98
200604,1.06,1.06
200704,4.25,4.25
200804,2.58,2.58
200904,.93,0.93
201004,-1.52,-1.52
201104,4.07,4.07
201204,-2.06,-2.06
201304,-1.11,-1.11
201404,1.71,1.71
201504,-1.51,-1.51
