Idaho, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.39,-1.45
189606,1.83,1.77
189706,-.96,-1.02
189806,-1.11,-1.17
189906,-.43,-0.49
190006,-1.4,-1.46
190106,-.41,-0.47
190206,-.58,-0.64
190306,.33,0.27
190406,-.91,-0.97
190506,.91,0.85
190606,1.67,1.61
190706,3.04,2.98
190806,1.99,1.93
190906,1.47,1.41
191006,-2.29,-2.35
191106,1.45,1.39
191206,1.97,1.91
191306,2.4,2.34
191406,.61,0.55
191506,1.58,1.52
191606,1.85,1.79
191706,-.5,-0.56
191806,-1.91,-1.97
191906,-3.08,-3.14
192006,.6,0.54
192106,-.42,-0.48
192206,-.63,-0.69
192306,1.72,1.66
192406,-3.4,-3.46
192506,.91,0.85
192606,-2.42,-2.48
192706,1.57,1.51
192806,-1.53,-1.59
192906,-2.43,-2.49
193006,-2.75,-2.81
193106,-3.58,-3.64
193206,1.22,1.16
193306,-.83,-0.89
193406,-4.26,-4.32
193506,-2.82,-2.88
193606,-2.73,-2.79
193706,-3.75,-3.81
193806,1.66,1.60
193906,-2.44,-2.50
194006,-3.14,-3.20
194106,1.31,1.25
194206,2.26,2.20
194306,1.75,1.69
194406,1.59,1.53
194506,1.95,1.89
194606,-.93,-0.99
194706,.7,0.64
194806,2.11,2.05
194906,-1.65,-1.71
195006,.98,0.92
195106,-.82,-0.88
195206,-.33,-0.39
195306,1.55,1.49
195406,.59,0.53
195506,.89,0.83
195606,-.8,-0.86
195706,-.15,-0.21
195806,-.4,-0.46
195906,-.29,-0.35
196006,-.75,-0.81
196106,-1.63,-1.69
196206,-.3,-0.36
196306,2.07,2.01
196406,2.35,2.29
196506,2.93,2.87
196606,-2.87,-2.93
196706,1.67,1.61
196806,.31,0.25
196906,-1.34,-1.40
197006,1.66,1.60
197106,3.59,3.53
197206,-.35,-0.41
197306,-1.97,-2.03
197406,-1.33,-1.39
197506,1.85,1.79
197606,1.88,1.82
197706,.21,0.15
197806,1.45,1.39
197906,-2.02,-2.08
198006,1.65,1.59
198106,1.48,1.42
198206,2.87,2.81
198306,3.23,3.17
198406,4.67,4.61
198506,-2.03,-2.09
198606,-.77,-0.83
198706,-3.2,-3.26
198806,-3.38,-3.44
198906,-2.06,-2.12
199006,-1.65,-1.71
199106,1.67,1.61
199206,-3.8,-3.86
199306,1.79,1.73
199406,-3.1,-3.16
199506,3.04,2.98
199606,3.9,3.84
199706,2.75,2.69
199806,2.93,2.87
199906,.37,0.31
200006,-2.23,-2.29
200106,-4.16,-4.22
200206,-2.47,-2.53
200306,-2.34,-2.40
200406,.56,0.50
200506,1.76,1.70
200606,-.62,-0.68
200706,-2.89,-2.95
200806,-1.32,-1.38
200906,1.41,1.35
201006,2.08,2.02
201106,4.02,3.96
201206,-.3,-0.36
201306,-2.02,-2.08
201406,-2.24,-2.30
201506,-2.91,-2.97
