Connecticut, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-1.25,-1.24
189608,-1.63,-1.62
189708,3.67,3.68
189808,3.17,3.18
189908,-1.13,-1.12
190008,-1.6,-1.59
190108,3.52,3.53
190208,2.44,2.45
190308,3.96,3.97
190408,.5,0.51
190508,.21,0.22
190608,-.35,-0.34
190708,-2.01,-2.00
190808,.83,0.84
190908,-1.05,-1.04
191008,-1.46,-1.45
191108,.67,0.68
191208,-1.12,-1.11
191308,-1.78,-1.77
191408,-1.29,-1.28
191508,2.29,2.30
191608,-.32,-0.31
191708,.39,0.40
191808,.04,0.05
191908,.78,0.79
192008,2.74,2.75
192108,-.35,-0.34
192208,2.41,2.42
192308,-1.08,-1.07
192408,.14,0.15
192508,.2,0.21
192608,.23,0.24
192708,2.33,2.34
192808,3.6,3.61
192908,-1.66,-1.65
193008,-2.43,-2.42
193108,1.19,1.20
193208,.3,0.31
193308,.82,0.83
193408,.15,0.16
193508,-1.32,-1.31
193608,-.47,-0.46
193708,2,2.01
193808,3.07,3.08
193908,-1.34,-1.33
194008,-.38,-0.37
194108,-.99,-0.98
194208,1.08,1.09
194308,-1.44,-1.43
194408,-3.2,-3.19
194508,1.65,1.66
194608,1.68,1.69
194708,-.18,-0.17
194808,-.6,-0.59
194908,-2.57,-2.56
195008,-1.11,-1.10
195108,-.71,-0.70
195208,2.37,2.38
195308,-.86,-0.85
195408,.58,0.59
195508,3.17,3.18
195608,-.81,-0.80
195708,-3.37,-3.36
195808,1.64,1.65
195908,-.81,-0.80
196008,.91,0.92
196108,-.62,-0.61
196208,-2.09,-2.08
196308,-2.01,-2.00
196408,-3.26,-3.25
196508,-4.66,-4.65
196608,-4.96,-4.95
196708,.92,0.93
196808,-1.47,-1.46
196908,.78,0.79
197008,-1.54,-1.53
197108,.59,0.60
197208,3.05,3.06
197308,2.74,2.75
197408,-.82,-0.81
197508,1.04,1.05
197608,1.88,1.89
197708,-.71,-0.70
197808,-.41,-0.40
197908,-.75,-0.74
198008,-1.09,-1.08
198108,-2.52,-2.51
198208,-.48,-0.47
198308,-1.42,-1.41
198408,-.74,-0.73
198508,1.59,1.60
198608,1.25,1.26
198708,-1.8,-1.79
198808,-.52,-0.51
198908,3.38,3.39
199008,2.58,2.59
199108,1.13,1.14
199208,2.22,2.23
199308,-2.55,-2.54
199408,.91,0.92
199508,-2.91,-2.90
199608,1.57,1.58
199708,-.32,-0.31
199808,-.53,-0.52
199908,-3.12,-3.11
200008,2.02,2.03
200108,-.58,-0.57
200208,.02,0.03
200308,1.26,1.27
200408,.61,0.62
200508,-1.91,-1.90
200608,3.19,3.20
200708,-1.14,-1.13
200808,1.88,1.89
200908,2.73,2.74
201008,-2.12,-2.11
201108,2.99,3.00
201208,-2.07,-2.06
201308,-.16,-0.15
201408,-.94,-0.93
201508,-2.68,-2.67
