Kentucky, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.53,-1.42
189604,-2.75,-2.64
189704,2.49,2.60
189804,1.01,1.12
189904,-.34,-0.23
190004,-3.27,-3.16
190104,-2.11,-2.00
190204,-2.88,-2.77
190304,-.05,0.06
190404,-1.89,-1.78
190504,-3.93,-3.82
190604,-1.11,-1.00
190704,1.68,1.79
190804,2.54,2.65
190904,1.72,1.83
191004,.11,0.22
191104,1.22,1.33
191204,2.63,2.74
191304,-.51,-0.40
191404,-2.73,-2.62
191504,-3.68,-3.57
191604,2.33,2.44
191704,2.18,2.29
191804,-1.27,-1.16
191904,-1.47,-1.36
192004,3.49,3.60
192104,-1.03,-0.92
192204,-.09,0.02
192304,1.56,1.67
192404,-.89,-0.78
192504,-1.79,-1.68
192604,-1.21,-1.10
192704,3.76,3.87
192804,.33,0.44
192904,.82,0.93
193004,-2.03,-1.92
193104,-5.6,-5.49
193204,1.21,1.32
193304,1.36,1.47
193404,-1.97,-1.86
193504,1.6,1.71
193604,-.33,-0.22
193704,-1.05,-0.94
193804,-1.51,-1.40
193904,2.63,2.74
194004,-2.1,-1.99
194104,-4.78,-4.67
194204,-3.72,-3.61
194304,1.06,1.17
194404,-2.09,-1.98
194504,1.09,1.20
194604,-1.28,-1.17
194704,.13,0.24
194804,.94,1.05
194904,-.14,-0.03
195004,2.06,2.17
195104,3.47,3.58
195204,-.53,-0.42
195304,-2.26,-2.15
195404,-5.11,-5.00
195504,-.4,-0.29
195604,1.91,2.02
195704,.38,0.49
195804,1.22,1.33
195904,-1.61,-1.50
196004,-1.73,-1.62
196104,1.02,1.13
196204,2.22,2.33
196304,-1.02,-0.91
196404,-1.08,-0.97
196504,-.09,0.02
196604,.92,1.03
196704,-1.07,-0.96
196804,1.23,1.34
196904,-1.23,-1.12
197004,1.19,1.30
197104,-1.16,-1.05
197204,2.12,2.23
197304,2.18,2.29
197404,1.47,1.58
197504,4.72,4.83
197604,1.04,1.15
197704,-1.49,-1.38
197804,.84,0.95
197904,3.43,3.54
198004,-.74,-0.63
198104,.13,0.24
198204,-.46,-0.35
198304,1.39,1.50
198404,1,1.11
198504,-1.74,-1.63
198604,-2.64,-2.53
198704,-1.75,-1.64
198804,-2.89,-2.78
198904,2.77,2.88
199004,1.6,1.71
199104,-.52,-0.41
199204,-2.42,-2.31
199304,-.3,-0.19
199404,2.69,2.80
199504,-1.59,-1.48
199604,.94,1.05
199704,3.59,3.70
199804,1.36,1.47
199904,-1.88,-1.77
200004,-3.2,-3.09
200104,-3.05,-2.94
200204,1.5,1.61
200304,1.51,1.62
200404,2.1,2.21
200504,-.38,-0.27
200604,-2.75,-2.64
200704,-1.35,-1.24
200804,1.95,2.06
200904,.26,0.37
201004,-1.83,-1.72
201104,3.35,3.46
201204,-1.81,-1.70
201304,1.08,1.19
201404,2.78,2.89
201504,2.85,2.96
