Tennessee, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-.96,-1.09
189607,1.47,1.34
189707,-.64,-0.77
189807,.37,0.24
189907,-1.32,-1.45
190007,.04,-0.09
190107,-2.57,-2.70
190207,-2.17,-2.30
190307,-.12,-0.25
190407,-1.75,-1.88
190507,1.17,1.04
190607,1.3,1.17
190707,1.01,0.88
190807,-.44,-0.57
190907,2.28,2.15
191007,2.01,1.88
191107,-1.34,-1.47
191207,2.5,2.37
191307,-1.66,-1.79
191407,-4.36,-4.49
191507,.12,-0.01
191607,2.53,2.40
191707,2.87,2.74
191807,-1.71,-1.84
191907,-.74,-0.87
192007,2.4,2.27
192107,-1.62,-1.75
192207,1.58,1.45
192307,1.92,1.79
192407,-.45,-0.58
192507,-4.1,-4.23
192607,-.4,-0.53
192707,2.68,2.55
192807,2.69,2.56
192907,2.8,2.67
193007,-3.26,-3.39
193107,-4.22,-4.35
193207,.3,0.17
193307,-.39,-0.52
193407,-.37,-0.50
193507,-.29,-0.42
193607,-2.95,-3.08
193707,-1.01,-1.14
193807,1.56,1.43
193907,-.15,-0.28
194007,-1.74,-1.87
194107,-3.74,-3.87
194207,-3.57,-3.70
194307,-2.09,-2.22
194407,-2.53,-2.66
194507,1.04,0.91
194607,-.52,-0.65
194707,-.81,-0.94
194807,-1.14,-1.27
194907,2.42,2.29
195007,3.91,3.78
195107,2.13,2.00
195207,-3.01,-3.14
195307,-1.14,-1.27
195407,-3.65,-3.78
195507,-.08,-0.21
195607,-.83,-0.96
195707,1.01,0.88
195807,.97,0.84
195907,.46,0.33
196007,.31,0.18
196107,1.77,1.64
196207,-.91,-1.04
196307,.95,0.82
196407,.12,-0.01
196507,.42,0.29
196607,-2.31,-2.44
196707,2.72,2.59
196807,-.89,-1.02
196907,-1.61,-1.74
197007,.3,0.17
197107,.94,0.81
197207,1.39,1.26
197307,4.68,4.55
197407,3.13,3.00
197507,2.97,2.84
197607,1.56,1.43
197707,-.92,-1.05
197807,.35,0.22
197907,3.35,3.22
198007,-1.12,-1.25
198107,.93,0.80
198207,.15,0.02
198307,-.92,-1.05
198407,2.14,2.01
198507,.16,0.03
198607,-3.33,-3.46
198707,-2.6,-2.73
198807,-3.66,-3.79
198907,4.31,4.18
199007,1.86,1.73
199107,2.27,2.14
199207,1.37,1.24
199307,-1.41,-1.54
199407,3.39,3.26
199507,.68,0.55
199607,2.03,1.90
199707,3.68,3.55
199807,3.94,3.81
199907,-.37,-0.50
200007,-1.92,-2.05
200107,.52,0.39
200207,-1.14,-1.27
200307,3.8,3.67
200407,2.54,2.41
200507,.25,0.12
200607,-1.97,-2.10
200707,-3.8,-3.93
200807,-2.23,-2.36
200907,2.09,1.96
201007,-.67,-0.80
201107,1.71,1.58
201207,-2.83,-2.96
201307,3.76,3.63
201407,2.04,1.91
201507,1.99,1.86
