Michigan, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.29,-1.25
189603,-3.62,-3.58
189703,3.58,3.62
189803,1.67,1.71
189903,1.18,1.22
190003,-.9,-0.86
190103,-.2,-0.16
190203,-2.17,-2.13
190303,1.9,1.94
190403,3,3.04
190503,-.71,-0.67
190603,.05,0.09
190703,1.37,1.41
190803,1.74,1.78
190903,-3.2,-3.16
191003,-3.04,-3.00
191103,-3.69,-3.65
191203,-.79,-0.75
191303,1.54,1.58
191403,-2.84,-2.80
191503,-2.78,-2.74
191603,2.46,2.50
191703,-.04,0.00
191803,-.92,-0.88
191903,.42,0.46
192003,.43,0.47
192103,-1.06,-1.02
192203,.94,0.98
192303,-1.13,-1.09
192403,-.25,-0.21
192503,-2.04,-2.00
192603,.56,0.60
192703,-.68,-0.64
192803,.98,1.02
192903,2.11,2.15
193003,-1.02,-0.98
193103,-7.51,-7.47
193203,.84,0.88
193303,.76,0.80
193403,-2.61,-2.57
193503,-2.29,-2.25
193603,-1.45,-1.41
193703,-2.3,-2.26
193803,2,2.04
193903,.86,0.90
194003,-2.81,-2.77
194103,-.9,-0.86
194203,2.06,2.10
194303,2.72,2.76
194403,-1.1,-1.06
194503,-3.5,-3.46
194603,-.69,-0.65
194703,-.35,-0.31
194803,-.99,-0.95
194903,.87,0.91
195003,2.37,2.41
195103,2.17,2.21
195203,3.29,3.33
195303,.56,0.60
195403,1.03,1.07
195503,-.24,-0.20
195603,0,0.04
195703,-3,-2.96
195803,-1.69,-1.65
195903,.41,0.45
196003,1.81,1.85
196103,.39,0.43
196203,-.66,-0.62
196303,-3.1,-3.06
196403,-5.23,-5.19
196503,.82,0.86
196603,1.99,2.03
196703,.72,0.76
196803,1.11,1.15
196903,1.37,1.41
197003,-1.69,-1.65
197103,2.25,2.29
197203,.57,0.61
197303,2.31,2.35
197403,1.03,1.07
197503,1.5,1.54
197603,4.71,4.75
197703,-3.61,-3.57
197803,-1.15,-1.11
197903,1.88,1.92
198003,-.85,-0.81
198103,.55,0.59
198203,1.7,1.74
198303,1.8,1.84
198403,-.39,-0.35
198503,2.75,2.79
198603,3.18,3.22
198703,-2.01,-1.97
198803,-.21,-0.17
198903,-.44,-0.40
199003,-.1,-0.06
199103,2.13,2.17
199203,1.33,1.37
199303,1.84,1.88
199403,1.5,1.54
199503,-.84,-0.80
199603,-.43,-0.39
199703,3.31,3.35
199803,1.67,1.71
199903,-3.66,-3.62
200003,-3.16,-3.12
200103,-.88,-0.84
200203,1.66,1.70
200303,-2.59,-2.55
200403,1.16,1.20
200503,-.54,-0.50
200603,1.04,1.08
200703,.18,0.22
200803,1.18,1.22
200903,2.67,2.71
201003,-2.12,-2.08
201103,.18,0.22
201203,-.62,-0.58
201303,1.05,1.09
201403,1.65,1.69
201503,1.5,1.54
