Ohio, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-3.08,-3.10
189606,.16,0.14
189706,2.54,2.52
189806,1.74,1.72
189906,-1.4,-1.42
190006,-2.96,-2.98
190106,-1.77,-1.79
190206,1.62,1.60
190306,-.34,-0.36
190406,-.43,-0.45
190506,1.02,1.00
190606,-1.71,-1.73
190706,2.32,2.30
190806,-.6,-0.62
190906,2.45,2.43
191006,-1.71,-1.73
191106,-1.29,-1.31
191206,1.81,1.79
191306,-1.01,-1.03
191406,-.97,-0.99
191506,.38,0.36
191606,3.6,3.58
191706,1.52,1.50
191806,-.98,-1.00
191906,-.68,-0.70
192006,1.82,1.80
192106,-1.02,-1.04
192206,-.42,-0.44
192306,-.49,-0.51
192406,2.73,2.71
192506,-2.34,-2.36
192606,-.65,-0.67
192706,3.63,3.61
192806,2.97,2.95
192906,1.81,1.79
193006,-2.3,-2.32
193106,-5.27,-5.29
193206,-2.15,-2.17
193306,-1.21,-1.23
193406,-4.42,-4.44
193506,.9,0.88
193606,-2.04,-2.06
193706,2.56,2.54
193806,2.17,2.15
193906,-.24,-0.26
194006,1.9,1.88
194106,-2.67,-2.69
194206,.08,0.06
194306,1.37,1.35
194406,-1.78,-1.80
194506,2.26,2.24
194606,1.61,1.59
194706,2.42,2.40
194806,1.79,1.77
194906,-.72,-0.74
195006,2.29,2.27
195106,.25,0.23
195206,-.77,-0.79
195306,-2.85,-2.87
195406,-4.73,-4.75
195506,-1.37,-1.39
195606,2.07,2.05
195706,1.72,1.70
195806,1.46,1.44
195906,-.95,-0.97
196006,-1.34,-1.36
196106,1.75,1.73
196206,-2.2,-2.22
196306,-1.94,-1.96
196406,-2.7,-2.72
196506,-3.28,-3.30
196606,-1.45,-1.47
196706,-.97,-0.99
196806,-.22,-0.24
196906,.45,0.43
197006,.48,0.46
197106,-1.31,-1.33
197206,1.01,0.99
197306,2.75,2.73
197406,2.06,2.04
197506,1.96,1.94
197606,.35,0.33
197706,0,-0.02
197806,-.54,-0.56
197906,1.09,1.07
198006,2.65,2.63
198106,3.12,3.10
198206,-.35,-0.37
198306,-.36,-0.38
198406,-1.04,-1.06
198506,-1.6,-1.62
198606,.28,0.26
198706,-1.65,-1.67
198806,-4.14,-4.16
198906,2.51,2.49
199006,2.05,2.03
199106,-2.23,-2.25
199206,-3.52,-3.54
199306,-.32,-0.34
199406,-.34,-0.36
199506,1.06,1.04
199606,2.97,2.95
199706,3.25,3.23
199806,2.66,2.64
199906,-2.5,-2.52
200006,.84,0.82
200106,-.31,-0.33
200206,-.26,-0.28
200306,1.34,1.32
200406,3.52,3.50
200506,-1.57,-1.59
200606,.57,0.55
200706,-1.77,-1.79
200806,3.32,3.30
200906,.07,0.05
201006,1.27,1.25
201106,3.31,3.29
201206,-2.64,-2.66
201306,.82,0.80
201406,2.53,2.51
201506,2.57,2.55
