New Mexico, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,5.09,4.85
189610,2.67,2.43
189710,4.62,4.38
189810,-1.41,-1.65
189910,-1.39,-1.63
190010,0,-0.24
190110,-1.63,-1.87
190210,-2.13,-2.37
190310,-2.22,-2.46
190410,2.23,1.99
190510,5.23,4.99
190610,5.03,4.79
190710,4.47,4.23
190810,-1.19,-1.43
190910,-1.66,-1.90
191010,-4.54,-4.78
191110,1.99,1.75
191210,1.3,1.06
191310,.22,-0.02
191410,3.21,2.97
191510,5.42,5.18
191610,2.75,2.51
191710,-2.65,-2.89
191810,.53,0.29
191910,6.23,5.99
192010,-.09,-0.33
192110,-1.55,-1.79
192210,-4.52,-4.76
192310,2.01,1.77
192410,-2.26,-2.50
192510,1.04,0.80
192610,-.13,-0.37
192710,-.77,-1.01
192810,.62,0.38
192910,1.67,1.43
193010,.36,0.12
193110,2.64,2.40
193210,.04,-0.20
193310,-.59,-0.83
193410,-4.96,-5.20
193510,.4,0.16
193610,-.4,-0.64
193710,-1.2,-1.44
193810,-.31,-0.55
193910,-1.26,-1.50
194010,-1.32,-1.56
194110,12.5,12.26
194210,7.37,7.13
194310,-2.53,-2.77
194410,.52,0.28
194510,-2.16,-2.40
194610,-1.88,-2.12
194710,-3.82,-4.06
194810,-1.57,-1.81
194910,-.27,-0.51
195010,-2.39,-2.63
195110,-4.51,-4.75
195210,-3.4,-3.64
195310,-3.92,-4.16
195410,-3.62,-3.86
195510,-3.06,-3.30
195610,-6.29,-6.53
195710,1.45,1.21
195810,3.9,3.66
195910,.49,0.25
196010,1.45,1.21
196110,.32,0.08
196210,-.1,-0.34
196310,-1.99,-2.23
196410,-3.47,-3.71
196510,-.49,-0.73
196610,-1.05,-1.29
196710,-.84,-1.08
196810,-1.51,-1.75
196910,2.12,1.88
197010,-1.07,-1.31
197110,1.27,1.03
197210,3.58,3.34
197310,-1.59,-1.83
197410,3.13,2.89
197510,-.73,-0.97
197610,-1.66,-1.90
197710,-1.49,-1.73
197810,.2,-0.04
197910,2.75,2.51
198010,-1.46,-1.70
198110,1.04,0.80
198210,-.4,-0.64
198310,1.48,1.24
198410,2.71,2.47
198510,6.15,5.91
198610,3.96,3.72
198710,4.62,4.38
198810,-.63,-0.87
198910,-2.38,-2.62
199010,1.04,0.80
199110,2.52,2.28
199210,3.72,3.48
199310,-.76,-1.00
199410,.21,-0.03
199510,-1.52,-1.76
199610,1.54,1.30
199710,1.5,1.26
199810,1.66,1.42
199910,-.79,-1.03
200010,1.69,1.45
200110,-1.96,-2.20
200210,-2.75,-2.99
200310,-4.87,-5.11
200410,.89,0.65
200510,-.43,-0.67
200610,3.08,2.84
200710,-1.42,-1.66
200810,-.2,-0.44
200910,-2.61,-2.85
201010,-.97,-1.21
201110,-5.15,-5.39
201210,-5.63,-5.87
201310,-2.39,-2.63
201410,.45,0.21
201510,1.99,1.75
