North Dakota, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,1.73,1.26
189605,5.82,5.35
189705,4.78,4.31
189805,-1.46,-1.93
189905,1.34,0.87
190005,-2.73,-3.20
190105,-2.59,-3.06
190205,3.32,2.85
190305,2,1.53
190405,2.67,2.20
190505,1.65,1.18
190605,3.52,3.05
190705,3.25,2.78
190805,2.06,1.59
190905,1.95,1.48
191005,-1.59,-2.06
191105,-2.19,-2.66
191205,1.76,1.29
191305,-.97,-1.44
191405,.1,-0.37
191505,.7,0.23
191605,4.29,3.82
191705,-.76,-1.23
191805,-1.58,-2.05
191905,1.1,0.63
192005,1.56,1.09
192105,.52,0.05
192205,1.52,1.05
192305,1.96,1.49
192405,1.09,0.62
192505,-1.15,-1.62
192605,-2.09,-2.56
192705,3.93,3.46
192805,1.83,1.36
192905,4.22,3.75
193005,-.18,-0.65
193105,-2.15,-2.62
193205,-1.42,-1.89
193305,1.5,1.03
193405,-5.53,-6.00
193505,-3.06,-3.53
193605,-2.31,-2.78
193705,-4.25,-4.72
193805,-2.13,-2.60
193905,-3.59,-4.06
194005,-2.38,-2.85
194105,.48,0.01
194205,4.18,3.71
194305,3.64,3.17
194405,1.11,0.64
194505,3.28,2.81
194605,-1.13,-1.60
194705,.67,0.20
194805,1.95,1.48
194905,-.96,-1.43
195005,3.89,3.42
195105,1.41,0.94
195205,-2.55,-3.02
195305,2.39,1.92
195405,1.29,0.82
195505,-1.34,-1.81
195605,-.1,-0.57
195705,.08,-0.39
195805,-2.04,-2.51
195905,-2.28,-2.75
196005,-.72,-1.19
196105,-2.21,-2.68
196205,2.2,1.73
196305,1.8,1.33
196405,-2.06,-2.53
196505,1.9,1.43
196605,3.21,2.74
196705,-.06,-0.53
196805,.32,-0.15
196905,1.04,0.57
197005,2.5,2.03
197105,1.05,0.58
197205,3.65,3.18
197305,-.89,-1.36
197405,3.31,2.84
197505,2.88,2.41
197605,-.83,-1.30
197705,-4.04,-4.51
197805,2.8,2.33
197905,3.13,2.66
198005,-4.28,-4.75
198105,-2.6,-3.07
198205,1.1,0.63
198305,3.57,3.10
198405,-.89,-1.36
198505,-.83,-1.30
198605,2.34,1.87
198705,-.79,-1.26
198805,-3.66,-4.13
198905,-3.03,-3.50
199005,-3.91,-4.38
199105,-3.07,-3.54
199205,-2.24,-2.71
199305,.24,-0.23
199405,4.07,3.60
199505,6.48,6.01
199605,4.92,4.45
199705,4.15,3.68
199805,-1.14,-1.61
199905,4.83,4.36
200005,2.47,2.00
200105,2.45,1.98
200205,-2.09,-2.56
200305,1.13,0.66
200405,1.32,0.85
200505,.84,0.37
200605,-.61,-1.08
200705,2.25,1.78
200805,-2.57,-3.04
200905,4.4,3.93
201005,5.66,5.19
201105,8.42,7.95
201205,-1.15,-1.62
201305,3.33,2.86
201405,5.01,4.54
201505,2.93,2.46
