Pennsylvania, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.69,-0.69
189602,-2.66,-2.66
189702,.41,0.41
189802,-.26,-0.26
189902,1.77,1.77
190002,.89,0.89
190102,-3.37,-3.37
190202,2.61,2.61
190302,3.51,3.51
190402,2.35,2.35
190502,-.83,-0.83
190602,1.04,1.04
190702,1.34,1.34
190802,3.23,3.23
190902,-2.65,-2.65
191002,-1.56,-1.56
191102,-2.09,-2.09
191202,1.59,1.59
191302,2.22,2.22
191402,.73,0.73
191502,2,2.00
191602,1.43,1.43
191702,-1.31,-1.31
191802,-.81,-0.81
191902,-.77,-0.77
192002,-.27,-0.27
192102,-.13,-0.13
192202,-.74,-0.74
192302,-2.39,-2.39
192402,1.45,1.45
192502,-1.52,-1.52
192602,1.26,1.26
192702,2.66,2.66
192802,2.93,2.93
192902,-1.09,-1.09
193002,-.22,-0.22
193102,-6.55,-6.55
193202,-3.44,-3.44
193302,.04,0.04
193402,-1.25,-1.25
193502,-.01,-0.01
193602,1.05,1.05
193702,1.87,1.87
193802,-.18,-0.18
193902,1.15,1.15
194002,.41,0.41
194102,-.97,-0.97
194202,-2.36,-2.36
194302,2.04,2.04
194402,-2.08,-2.08
194502,.33,0.33
194602,-.83,-0.83
194702,-.65,-0.65
194802,-1.61,-1.61
194902,-.04,-0.04
195002,1.32,1.32
195102,3.34,3.34
195202,1.72,1.72
195302,.58,0.58
195402,-3.81,-3.81
195502,.2,0.20
195602,1.15,1.15
195702,-.5,-0.50
195802,.88,0.88
195902,-.41,-0.41
196002,1.84,1.84
196102,.51,0.51
196202,-.84,-0.84
196302,-2.22,-2.22
196402,-2.81,-2.81
196502,-3.32,-3.32
196602,-2.91,-2.91
196702,-3.69,-3.69
196802,-1.22,-1.22
196902,-2.42,-2.42
197002,-.63,-0.63
197102,2.49,2.49
197202,1.01,1.01
197302,2.8,2.80
197402,1.59,1.59
197502,2.49,2.49
197602,3.08,3.08
197702,-1.93,-1.93
197802,3.24,3.24
197902,3.21,3.21
198002,-1.79,-1.79
198102,1.46,1.46
198202,-.19,-0.19
198302,-2.48,-2.48
198402,1.53,1.53
198502,-1.08,-1.08
198602,.6,0.60
198702,-.99,-0.99
198802,-.54,-0.54
198902,-2.26,-2.26
199002,-.23,-0.23
199102,-.49,-0.49
199202,-4.76,-4.76
199302,1.63,1.63
199402,2.36,2.36
199502,-.36,-0.36
199602,2.08,2.08
199702,3.88,3.88
199802,2.05,2.05
199902,-2.61,-2.61
200002,-.5,-0.50
200102,-1.43,-1.43
200202,-3.67,-3.67
200302,1.31,1.31
200402,3.93,3.93
200502,-.13,-0.13
200602,-.42,-0.42
200702,2.37,2.37
200802,1.98,1.98
200902,-.74,-0.74
201002,.73,0.73
201102,.97,0.97
201202,-.65,-0.65
201302,-.31,-0.31
201402,1.32,1.32
201502,-1.08,-1.08
201602,.77,0.77
