Minnesota, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.56,-0.87
189603,.56,0.25
189703,3.71,3.40
189803,-1.87,-2.18
189903,1.13,0.82
190003,2.16,1.85
190103,2.76,2.45
190203,-1.02,-1.33
190303,2.54,2.23
190403,4.03,3.72
190503,2.12,1.81
190603,3.79,3.48
190703,3.41,3.10
190803,2.16,1.85
190903,.85,0.54
191003,-1.08,-1.39
191103,-7.65,-7.96
191203,-.64,-0.95
191303,-1.59,-1.90
191403,1.13,0.82
191503,-.4,-0.71
191603,2.99,2.68
191703,1.92,1.61
191803,-3.48,-3.79
191903,1.35,1.04
192003,2.19,1.88
192103,-1.4,-1.71
192203,-2.14,-2.45
192303,-2.88,-3.19
192403,-6.17,-6.48
192503,-.35,-0.66
192603,-.1,-0.41
192703,2.4,2.09
192803,.02,-0.29
192903,.01,-0.30
193003,-1.96,-2.27
193103,-3.17,-3.48
193203,-1.86,-2.17
193303,-2.21,-2.52
193403,-5.66,-5.97
193503,.21,-0.10
193603,1.51,1.20
193703,-5.28,-5.59
193803,-2.95,-3.26
193903,-1.52,-1.83
194003,-4.58,-4.89
194103,.56,0.25
194203,2.01,1.70
194303,2.84,2.53
194403,1.03,0.72
194503,2.95,2.64
194603,2.81,2.50
194703,1.93,1.62
194803,.51,0.20
194903,-1.56,-1.87
195003,1.59,1.28
195103,1.47,1.16
195203,3.68,3.37
195303,-.09,-0.40
195403,1.48,1.17
195503,-1.23,-1.54
195603,-2.24,-2.55
195703,-.03,-0.34
195803,-.65,-0.96
195903,-2.87,-3.18
196003,.62,0.31
196103,-1.97,-2.28
196203,.62,0.31
196303,.11,-0.20
196403,-3.84,-4.15
196503,1.97,1.66
196603,4.97,4.66
196703,.59,0.28
196803,-4.55,-4.86
196903,-.38,-0.69
197003,.66,0.35
197103,2.63,2.32
197203,2.97,2.66
197303,2.53,2.22
197403,2.2,1.89
197503,1.43,1.12
197603,1.11,0.80
197703,-7.19,-7.50
197803,2.32,2.01
197903,3.47,3.16
198003,-.15,-0.46
198103,-1.99,-2.30
198203,2.39,2.08
198303,3.72,3.41
198403,2.81,2.50
198503,2.5,2.19
198603,3.34,3.03
198703,-.09,-0.40
198803,-3.65,-3.96
198903,-3.35,-3.66
199003,-.05,-0.36
199103,.46,0.15
199203,2.78,2.47
199303,2.09,1.78
199403,3.5,3.19
199503,3.02,2.71
199603,3.34,3.03
199703,3.26,2.95
199803,2.1,1.79
199903,1.58,1.27
200003,1.81,1.50
200103,2.16,1.85
200203,-1.43,-1.74
200303,-.38,-0.69
200403,-2.82,-3.13
200503,2.68,2.37
200603,3.27,2.96
200703,-2.21,-2.52
200803,.85,0.54
200903,3.43,3.12
201003,-.37,-0.68
201103,4.08,3.77
201203,-4.25,-4.56
201303,.37,0.06
201403,.64,0.33
201503,-2.3,-2.61
201603,2.51,2.20
