Alabama, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.59,-0.53
189602,-1.19,-1.13
189702,-2.86,-2.80
189802,-4.61,-4.55
189902,1.79,1.85
190002,1.12,1.18
190102,1.23,1.29
190202,1.47,1.53
190302,1.6,1.66
190402,-2,-1.94
190502,-1.65,-1.59
190602,-1.61,-1.55
190702,-1.68,-1.62
190802,1.91,1.97
190902,.67,0.73
191002,-1.7,-1.64
191102,-2.1,-2.04
191202,1.05,1.11
191302,2.14,2.20
191402,-2.56,-2.50
191502,-1.47,-1.41
191602,-1.38,-1.32
191702,.43,0.49
191802,-.97,-0.91
191902,2.44,2.50
192002,2.37,2.43
192102,-.58,-0.52
192202,.52,0.58
192302,.22,0.28
192402,-.13,-0.07
192502,-1.17,-1.11
192602,1.03,1.09
192702,-.97,-0.91
192802,-3.13,-3.07
192902,1.86,1.92
193002,-1.37,-1.31
193102,-2.33,-2.27
193202,1.01,1.07
193302,.27,0.33
193402,-3.23,-3.17
193502,-1.29,-1.23
193602,2.43,2.49
193702,1.08,1.14
193802,-2,-1.94
193902,1.38,1.44
194002,.58,0.64
194102,-1.96,-1.90
194202,-2.04,-1.98
194302,-1.17,-1.11
194402,.4,0.46
194502,-.7,-0.64
194602,1.63,1.69
194702,2.12,2.18
194802,1.14,1.20
194902,2.95,3.01
195002,-1.7,-1.64
195102,-1.42,-1.36
195202,-1.62,-1.56
195302,-1.24,-1.18
195402,-.97,-0.91
195502,-3.85,-3.79
195602,-2.6,-2.54
195702,-2.12,-2.06
195802,-.83,-0.77
195902,-1.27,-1.21
196002,.06,0.12
196102,1.94,2.00
196202,-.28,-0.22
196302,-1.95,-1.89
196402,.48,0.54
196502,1.52,1.58
196602,1.31,1.37
196702,-.55,-0.49
196802,-.93,-0.87
196902,-.61,-0.55
197002,-.92,-0.86
197102,.81,0.87
197202,-.47,-0.41
197302,.88,0.94
197402,2.5,2.56
197502,2.83,2.89
197602,3.03,3.09
197702,1.71,1.77
197802,-.83,-0.77
197902,1.31,1.37
198002,1.32,1.38
198102,-2.45,-2.39
198202,1.35,1.41
198302,1.7,1.76
198402,-.57,-0.51
198502,-.6,-0.54
198602,-1.81,-1.75
198702,1.89,1.95
198802,-2.08,-2.02
198902,-.97,-0.91
199002,4.29,4.35
199102,.67,0.73
199202,-.1,-0.04
199302,-.4,-0.34
199402,.05,0.11
199502,-.34,-0.28
199602,2.31,2.37
199702,1.64,1.70
199802,3.43,3.49
199902,-.94,-0.88
200002,-2.96,-2.90
200102,.27,0.33
200202,-.99,-0.93
200302,1.71,1.77
200402,-.16,-0.10
200502,1.69,1.75
200602,-.76,-0.70
200702,-2.31,-2.25
200802,-3.61,-3.55
200902,.29,0.35
201002,-.16,-0.10
201102,-2.91,-2.85
201202,-2.02,-1.96
201302,1.98,2.04
201402,1.82,1.88
201502,-.73,-0.67
