Kansas, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,2.63,2.25
189608,1.82,1.44
189708,-.19,-0.57
189808,1.74,1.36
189908,-.07,-0.45
190008,.17,-0.21
190108,-2.34,-2.72
190208,2.3,1.92
190308,4.02,3.64
190408,4.45,4.07
190508,2.53,2.15
190608,2.08,1.70
190708,2.22,1.84
190808,3.23,2.85
190908,2.55,2.17
191008,-.94,-1.32
191108,-3.4,-3.78
191208,1.32,0.94
191308,-4.52,-4.90
191408,-2.08,-2.46
191508,5.63,5.25
191608,-.91,-1.29
191708,-2.05,-2.43
191808,-4.1,-4.48
191908,-.61,-0.99
192008,.73,0.35
192108,-.34,-0.72
192208,-.55,-0.93
192308,1.74,1.36
192408,.61,0.23
192508,-2.18,-2.56
192608,-3.25,-3.63
192708,3.73,3.35
192808,4.01,3.63
192908,3.27,2.89
193008,-1,-1.38
193108,-.79,-1.17
193208,-.22,-0.60
193308,-3.14,-3.52
193408,-7.81,-8.19
193508,-3.31,-3.69
193608,-6.23,-6.61
193708,-5.13,-5.51
193808,-2.22,-2.60
193908,-4.06,-4.44
194008,-4.16,-4.54
194108,1.99,1.61
194208,4.04,3.66
194308,2,1.62
194408,4.06,3.68
194508,3.85,3.47
194608,-2.34,-2.72
194708,-.54,-0.92
194808,2.34,1.96
194908,3.65,3.27
195008,3.55,3.17
195108,6.4,6.02
195208,-2.36,-2.74
195308,-4.8,-5.18
195408,-5.07,-5.45
195508,-5.68,-6.06
195608,-7.59,-7.97
195708,2.19,1.81
195808,4.33,3.95
195908,1.73,1.35
196008,2.78,2.40
196108,3.34,2.96
196208,3.29,2.91
196308,-3.25,-3.63
196408,-4.11,-4.49
196508,2.15,1.77
196608,-1.67,-2.05
196708,1.28,0.90
196808,1.14,0.76
196908,3.08,2.70
197008,-.95,-1.33
197108,-.54,-0.92
197208,1.29,0.91
197308,3.33,2.95
197408,2.42,2.04
197508,-.22,-0.60
197608,-1.29,-1.67
197708,1.53,1.15
197808,-.76,-1.14
197908,2.04,1.66
198008,-2.03,-2.41
198108,.72,0.34
198208,2.48,2.10
198308,-1.67,-2.05
198408,-1.21,-1.59
198508,2.9,2.52
198608,2.9,2.52
198708,4.72,4.34
198808,-1.82,-2.20
198908,1.15,0.77
199008,.38,0.00
199108,-3.5,-3.88
199208,3.02,2.64
199308,7.81,7.43
199408,2.74,2.36
199508,3.88,3.50
199608,1.37,0.99
199708,3.19,2.81
199808,2.24,1.86
199908,4.15,3.77
200008,-1.36,-1.74
200108,-.23,-0.61
200208,-3.37,-3.75
200308,-1.11,-1.49
200408,1.63,1.25
200508,3.26,2.88
200608,-2.43,-2.81
200708,2.7,2.32
200808,3.2,2.82
200908,4.16,3.78
201008,3.84,3.46
201108,-2.59,-2.97
201208,-3.9,-4.28
201308,-1.3,-1.68
201408,.69,0.31
201508,2.26,1.88
