Washington, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-1.95,-1.81
189610,-1.13,-0.99
189710,.71,0.85
189810,-.9,-0.76
189910,2.24,2.38
190010,2.48,2.62
190110,-.74,-0.60
190210,1.07,1.21
190310,1.65,1.79
190410,-2.11,-1.97
190510,2.75,2.89
190610,1.36,1.50
190710,-1.12,-0.98
190810,-.51,-0.37
190910,-.4,-0.26
191010,.26,0.40
191110,-.77,-0.63
191210,1.57,1.71
191310,1.41,1.55
191410,.93,1.07
191510,.17,0.31
191610,-.91,-0.77
191710,-1.98,-1.84
191810,.44,0.58
191910,-1.43,-1.29
192010,3.15,3.29
192110,1.9,2.04
192210,-2.26,-2.12
192310,-.53,-0.39
192410,-2.51,-2.37
192510,-3.64,-3.50
192610,.8,0.94
192710,1.73,1.87
192810,-2.33,-2.19
192910,-3.93,-3.79
193010,-3.25,-3.11
193110,.38,0.52
193210,-1.4,-1.26
193310,1.97,2.11
193410,.73,0.87
193510,-2.26,-2.12
193610,-1.54,-1.40
193710,1.64,1.78
193810,-2.88,-2.74
193910,-3.52,-3.38
194010,-1.79,-1.65
194110,.01,0.15
194210,-1.14,-1.00
194310,-.39,-0.25
194410,-3.02,-2.88
194510,.43,0.57
194610,.32,0.46
194710,1.98,2.12
194810,4.14,4.28
194910,-2.09,-1.95
195010,2.58,2.72
195110,.96,1.10
195210,-3.34,-3.20
195310,1.26,1.40
195410,-.21,-0.07
195510,2.3,2.44
195610,1.09,1.23
195710,-.45,-0.31
195810,-2.19,-2.05
195910,2.73,2.87
196010,-.85,-0.71
196110,-.91,-0.77
196210,.9,1.04
196310,.15,0.29
196410,.79,0.93
196510,-1.91,-1.77
196610,-.49,-0.35
196710,1.39,1.53
196810,2.26,2.40
196910,-.91,-0.77
197010,.12,0.26
197110,1.76,1.90
197210,-.79,-0.65
197310,.24,0.38
197410,-2.03,-1.89
197510,1.32,1.46
197610,-1.2,-1.06
197710,1,1.14
197810,-.81,-0.67
197910,-1.9,-1.76
198010,-.89,-0.75
198110,2.6,2.74
198210,1.63,1.77
198310,2.35,2.49
198410,2.62,2.76
198510,-.76,-0.62
198610,-1.41,-1.27
198710,-3.69,-3.55
198810,-1.77,-1.63
198910,-1.66,-1.52
199010,1.55,1.69
199110,-1.61,-1.47
199210,-2.86,-2.72
199310,-1.43,-1.29
199410,.56,0.70
199510,1.14,1.28
199610,2.4,2.54
199710,5.85,5.99
199810,-2.02,-1.88
199910,-.77,-0.63
200010,-.57,-0.43
200110,.31,0.45
200210,-2.4,-2.26
200310,-2.01,-1.87
200410,-.76,-0.62
200510,.53,0.67
200610,-2.24,-2.10
200710,-1.12,-0.98
200810,-1.67,-1.53
200910,.68,0.82
201010,2.66,2.80
201110,-.9,-0.76
201210,2.34,2.48
201310,-.52,-0.38
201410,.58,0.72
201510,-3.41,-3.27
