South Dakota, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.77,1.89
189606,3.02,2.14
189706,3.97,3.09
189806,-.85,-1.73
189906,1.34,0.46
190006,-3.43,-4.31
190106,1.03,0.15
190206,1.7,0.82
190306,1.08,0.20
190406,1.89,1.01
190506,2.96,2.08
190606,5.34,4.46
190706,6.08,5.20
190806,4.7,3.82
190906,5.05,4.17
191006,-2.37,-3.25
191106,-5.55,-6.43
191206,-1.15,-2.03
191306,-1.8,-2.68
191406,1.22,0.34
191506,3.63,2.75
191606,7.4,6.52
191706,5.12,4.24
191806,.95,0.07
191906,2.14,1.26
192006,5.65,4.77
192106,1.02,0.14
192206,1.6,0.72
192306,1.57,0.69
192406,2.38,1.50
192506,-1.27,-2.15
192606,-3.33,-4.21
192706,3.05,2.17
192806,.58,-0.30
192906,1.65,0.77
193006,-.26,-1.14
193106,-2.51,-3.39
193206,-.88,-1.76
193306,-2.72,-3.60
193406,-7.21,-8.09
193506,-2.29,-3.17
193606,-4.42,-5.30
193706,-3.13,-4.01
193806,-1.84,-2.72
193906,-3.2,-4.08
194006,-3.64,-4.52
194106,.81,-0.07
194206,3.77,2.89
194306,1,0.12
194406,1.93,1.05
194506,3.67,2.79
194606,1.87,0.99
194706,5.18,4.30
194806,1.68,0.80
194906,-1.84,-2.72
195006,-.93,-1.81
195106,1,0.12
195206,-.63,-1.51
195306,3.23,2.35
195406,-.3,-1.18
195506,-3.34,-4.22
195606,-4.27,-5.15
195706,2.49,1.61
195806,1.99,1.11
195906,-2.78,-3.66
196006,.71,-0.17
196106,-1.89,-2.77
196206,3.1,2.22
196306,1.73,0.85
196406,-.58,-1.46
196506,1.92,1.04
196606,-1.3,-2.18
196706,1.76,0.88
196806,1.57,0.69
196906,.19,-0.69
197006,-.31,-1.19
197106,1.78,0.90
197206,3.84,2.96
197306,2.53,1.65
197406,-1.35,-2.23
197506,1.46,0.58
197606,-2.32,-3.20
197706,-1.38,-2.26
197806,3.3,2.42
197906,1.84,0.96
198006,-3.6,-4.48
198106,-5.1,-5.98
198206,1.9,1.02
198306,5.04,4.16
198406,5.39,4.51
198506,-1.62,-2.50
198606,3.87,2.99
198706,-1.79,-2.67
198806,-3.6,-4.48
198906,-3.89,-4.77
199006,-2.03,-2.91
199106,1.86,0.98
199206,.3,-0.58
199306,3.88,3.00
199406,3.71,2.83
199506,6.41,5.53
199606,5.11,4.23
199706,6.9,6.02
199806,4.31,3.43
199906,6.55,5.67
200006,2.94,2.06
200106,2.71,1.83
200206,-3.42,-4.30
200306,-1.49,-2.37
200406,-.29,-1.17
200506,1.43,0.55
200606,-2.33,-3.21
200706,-.06,-0.94
200806,2.13,1.25
200906,4.36,3.48
201006,7.25,6.37
201106,8.31,7.43
201206,-2.39,-3.27
201306,1.67,0.79
201406,5.6,4.72
201506,3.06,2.18
