Kansas, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.33,-0.01
189601,1.7,1.36
189701,1.64,1.30
189801,.33,-0.01
189901,1.78,1.44
190001,-.78,-1.12
190101,-.84,-1.18
190201,-2.63,-2.97
190301,2.1,1.76
190401,2.29,1.95
190501,2.42,2.08
190601,2.04,1.70
190701,2.85,2.51
190801,1.43,1.09
190901,2.59,2.25
191001,3.71,3.37
191101,-2.68,-3.02
191201,.11,-0.23
191301,-.99,-1.33
191401,-1.79,-2.13
191501,.06,-0.28
191601,5.16,4.82
191701,-1.65,-1.99
191801,-3.17,-3.51
191901,1.32,0.98
192001,-.81,-1.15
192101,1.17,0.83
192201,-2.06,-2.40
192301,-1.61,-1.95
192401,2.62,2.28
192501,-.6,-0.94
192601,-1.51,-1.85
192701,.75,0.41
192801,1.9,1.56
192901,4.49,4.15
193001,-.02,-0.36
193101,-.4,-0.74
193201,1.31,0.97
193301,-1.56,-1.90
193401,-3.78,-4.12
193501,-5.23,-5.57
193601,-1.77,-2.11
193701,-3.95,-4.29
193801,-4.84,-5.18
193901,-3.21,-3.55
194001,-4.95,-5.29
194101,1.09,0.75
194201,3.87,3.53
194301,3.89,3.55
194401,.83,0.49
194501,3.43,3.09
194601,-.47,-0.81
194701,1.18,0.84
194801,.39,0.05
194901,2.34,2.00
195001,-.72,-1.06
195101,1.32,0.98
195201,5.35,5.01
195301,-3.34,-3.68
195401,-3.89,-4.23
195501,-4.98,-5.32
195601,-4.99,-5.33
195701,-7.12,-7.46
195801,2.08,1.74
195901,2.68,2.34
196001,3.02,2.68
196101,1.22,0.88
196201,4.81,4.47
196301,-.47,-0.81
196401,-3.9,-4.24
196501,.63,0.29
196601,2.45,2.11
196701,-2.62,-2.96
196801,-.26,-0.60
196901,1.5,1.16
197001,-.25,-0.59
197101,.11,-0.23
197201,-.14,-0.48
197301,2.8,2.46
197401,5.86,5.52
197501,1.89,1.55
197601,-.52,-0.86
197701,-1.9,-2.24
197801,-.58,-0.92
197901,.68,0.34
198001,1.99,1.65
198101,-3.08,-3.42
198201,1.04,0.70
198301,1.59,1.25
198401,.35,0.01
198501,1.92,1.58
198601,3.46,3.12
198701,4.17,3.83
198801,.53,0.19
198901,-2.7,-3.04
199001,.1,-0.24
199101,-1.21,-1.55
199201,1.02,0.68
199301,4.84,4.50
199401,6.01,5.67
199501,1.74,1.40
199601,-1.38,-1.72
199701,1.84,1.50
199801,3.61,3.27
199901,3.84,3.50
200001,-1.01,-1.35
200101,.73,0.39
200201,-1.29,-1.63
200301,-2.6,-2.94
200401,-1.49,-1.83
200501,1.92,1.58
200601,-.97,-1.31
200701,.84,0.50
200801,1.79,1.45
200901,3.67,3.33
201001,4.34,4.00
201101,-.97,-1.31
201201,-1.56,-1.90
201301,-4.03,-4.37
201401,-1.22,-1.56
201501,-.39,-0.73
201601,2.27,1.93
