Wisconsin, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-3.9,-4.03
189612,.69,0.56
189712,-2.56,-2.69
189812,-.74,-0.87
189912,.16,0.03
190012,3.4,3.27
190112,-2.81,-2.94
190212,2.01,1.88
190312,3.11,2.98
190412,2.3,2.17
190512,2.52,2.39
190612,1.86,1.73
190712,1.19,1.06
190812,-3.01,-3.14
190912,1.07,0.94
191012,-6.08,-6.21
191112,3.45,3.32
191212,2.4,2.27
191312,1.44,1.31
191412,.8,0.67
191512,2.44,2.31
191612,.65,0.52
191712,.17,0.04
191812,-1.5,-1.63
191912,1.38,1.25
192012,-1.75,-1.88
192112,.24,0.11
192212,-2.07,-2.20
192312,-3.01,-3.14
192412,-.69,-0.82
192512,.99,0.86
192612,3.38,3.25
192712,2.15,2.02
192812,2.87,2.74
192912,-2.29,-2.42
193012,-4.03,-4.16
193112,-2.41,-2.54
193212,-3.11,-3.24
193312,-4.66,-4.79
193412,2.07,1.94
193512,1.28,1.15
193612,-3.79,-3.92
193712,-3.6,-3.73
193812,3.2,3.07
193912,-3.67,-3.80
194012,.84,0.71
194112,2.26,2.13
194212,2.81,2.68
194312,-1.42,-1.55
194412,-2.54,-2.67
194512,2.55,2.42
194612,.66,0.53
194712,-2.01,-2.14
194812,-4.52,-4.65
194912,-3.26,-3.39
195012,.38,0.25
195112,3.73,3.60
195212,-1.58,-1.71
195312,-2.59,-2.72
195412,-.39,-0.52
195512,-1.86,-1.99
195612,-1.52,-1.65
195712,-.67,-0.80
195812,-1.94,-2.07
195912,3.33,3.20
196012,-.37,-0.50
196112,1.73,1.60
196212,-.72,-0.85
196312,-4.42,-4.55
196412,-3.08,-3.21
196512,3.63,3.50
196612,-.02,-0.15
196712,-.52,-0.65
196812,3.53,3.40
196912,-1.4,-1.53
197012,2.08,1.95
197112,1.25,1.12
197212,3.86,3.73
197312,.15,0.02
197412,-.92,-1.05
197512,.57,0.44
197612,-7.01,-7.14
197712,2.31,2.18
197812,3.07,2.94
197912,2.25,2.12
198012,2.23,2.10
198112,1.32,1.19
198212,4.02,3.89
198312,2.91,2.78
198412,3.23,3.10
198512,3.97,3.84
198612,-.39,-0.52
198712,.81,0.68
198812,-3.02,-3.15
198912,-3.69,-3.82
199012,2.17,2.04
199112,3.65,3.52
199212,2.59,2.46
199312,-.29,-0.42
199412,-.32,-0.45
199512,1.76,1.63
199612,2.11,1.98
199712,.64,0.51
199812,-2.5,-2.63
199912,-1.82,-1.95
200012,1.32,1.19
200112,1.26,1.13
200212,-.68,-0.81
200312,-2.07,-2.20
200412,.45,0.32
200512,-2.02,-2.15
200612,-1.44,-1.57
200712,2.02,1.89
200812,.44,0.31
200912,1.59,1.46
201012,3.65,3.52
201112,-1.33,-1.46
201212,-.04,-0.17
201312,1.41,1.28
201412,3.05,2.92
201512,3.8,3.67
