Virginia, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.56,-0.52
189603,1.01,1.05
189703,1.38,1.42
189803,-2.31,-2.27
189903,3.59,3.63
190003,-.69,-0.65
190103,-2.98,-2.94
190203,-.22,-0.18
190303,2.25,2.29
190403,-1.31,-1.27
190503,-1.24,-1.20
190603,1.52,1.56
190703,.61,0.65
190803,2.35,2.39
190903,1.27,1.31
191003,-2.49,-2.45
191103,-.45,-0.41
191203,2,2.04
191303,.42,0.46
191403,-.1,-0.06
191503,-.72,-0.68
191603,-.54,-0.50
191703,1.37,1.41
191803,-1.21,-1.17
191903,.39,0.43
192003,.71,0.75
192103,-1.2,-1.16
192203,1.61,1.65
192303,1.15,1.19
192403,.43,0.47
192503,-1.49,-1.45
192603,-2.09,-2.05
192703,-1.24,-1.20
192803,-.97,-0.93
192903,1.1,1.14
193003,-1.83,-1.79
193103,-5.78,-5.74
193203,-1.9,-1.86
193303,1.21,1.25
193403,1.11,1.15
193503,1.54,1.58
193603,3.67,3.71
193703,1.21,1.25
193803,-1.72,-1.68
193903,-.23,-0.19
194003,-1.67,-1.63
194103,-1.7,-1.66
194203,-3.77,-3.73
194303,-.35,-0.31
194403,1.75,1.79
194503,-1.29,-1.25
194603,-.87,-0.83
194703,-.8,-0.76
194803,.33,0.37
194903,1.59,1.63
195003,-.96,-0.92
195103,-.61,-0.57
195203,1.71,1.75
195303,.7,0.74
195403,-2.88,-2.84
195503,.84,0.88
195603,.41,0.45
195703,-.4,-0.36
195803,2.24,2.28
195903,-1.56,-1.52
196003,1.36,1.40
196103,.76,0.80
196203,2.29,2.33
196303,.85,0.89
196403,-1.8,-1.76
196503,-.87,-0.83
196603,-4.12,-4.08
196703,-.69,-0.65
196803,-1,-0.96
196903,-1.52,-1.48
197003,-.72,-0.68
197103,-.32,-0.28
197203,.96,1.00
197303,3.72,3.76
197403,.77,0.81
197503,2.76,2.80
197603,-1.44,-1.40
197703,-1.66,-1.62
197803,2.51,2.55
197903,2.08,2.12
198003,.66,0.70
198103,-3.92,-3.88
198203,-.21,-0.17
198303,.78,0.82
198403,3.05,3.09
198503,-1.99,-1.95
198603,-1.88,-1.84
198703,.87,0.91
198803,-2.09,-2.05
198903,.59,0.63
199003,1.96,2.00
199103,.83,0.87
199203,-.34,-0.30
199303,2.88,2.92
199403,3.35,3.39
199503,-1.49,-1.45
199603,1.64,1.68
199703,-.21,-0.17
199803,3.13,3.17
199903,-3.12,-3.08
200003,-1.41,-1.37
200103,-1.46,-1.42
200203,-3.27,-3.23
200303,2.43,2.47
200403,2.77,2.81
200503,-.47,-0.43
200603,-2.74,-2.70
200703,-1.13,-1.09
200803,-3.78,-3.74
200903,.11,0.15
201003,3.68,3.72
201103,.63,0.67
201203,-1.12,-1.08
201303,.8,0.84
201403,2.04,2.08
201503,.05,0.09
