Colorado, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,3.92,3.43
189608,-1.46,-1.95
189708,1.95,1.46
189808,2.45,1.96
189908,-1.01,-1.50
190008,-2.4,-2.89
190108,-2.81,-3.30
190208,-5.17,-5.66
190308,-.06,-0.55
190408,.65,0.16
190508,-.37,-0.86
190608,2.16,1.67
190708,4.1,3.61
190808,1.02,0.53
190908,3.83,3.34
191008,-1.97,-2.46
191108,.46,-0.03
191208,3.87,3.38
191308,-.97,-1.46
191408,4.64,4.15
191508,4.77,4.28
191608,3.37,2.88
191708,-.34,-0.83
191808,.16,-0.33
191908,.69,0.20
192008,3.54,3.05
192108,4.99,4.50
192208,-1.08,-1.57
192308,4.33,3.84
192408,-1.98,-2.47
192508,.57,0.08
192608,-.28,-0.77
192708,3.03,2.54
192808,3.11,2.62
192908,3.14,2.65
193008,2.3,1.81
193108,-1.91,-2.40
193208,-.15,-0.64
193308,-1.76,-2.25
193408,-6.34,-6.83
193508,-2.74,-3.23
193608,-3.02,-3.51
193708,-2.76,-3.25
193808,1.46,0.97
193908,-3.54,-4.03
194008,-4.61,-5.10
194108,3.94,3.45
194208,4.55,4.06
194308,1,0.51
194408,-.77,-1.26
194508,2.5,2.01
194608,.46,-0.03
194708,4.22,3.73
194808,3.1,2.61
194908,4.13,3.64
195008,-2.28,-2.77
195108,.66,0.17
195208,-.96,-1.45
195308,-1.1,-1.59
195408,-5.26,-5.75
195508,-3.98,-4.47
195608,-3.65,-4.14
195708,5.75,5.26
195808,-.37,-0.86
195908,0,-0.49
196008,-2.15,-2.64
196108,.88,0.39
196208,-.89,-1.38
196308,-3.85,-4.34
196408,-4.9,-5.39
196508,5.11,4.62
196608,-1.22,-1.71
196708,2.2,1.71
196808,1.22,0.73
196908,2.35,1.86
197008,2.31,1.82
197108,.82,0.33
197208,-3.17,-3.66
197308,3.29,2.80
197408,-2.29,-2.78
197508,-.33,-0.82
197608,-1.22,-1.71
197708,-3.95,-4.44
197808,-2.48,-2.97
197908,3.48,2.99
198008,-1.49,-1.98
198108,-3.44,-3.93
198208,1.78,1.29
198308,4.51,4.02
198408,4.49,4.00
198508,2.78,2.29
198608,2.79,2.30
198708,3.48,2.99
198808,-.3,-0.79
198908,-2.29,-2.78
199008,-2.45,-2.94
199108,1.03,0.54
199208,2.19,1.70
199308,2.7,2.21
199408,-1.55,-2.04
199508,4.5,4.01
199608,.73,0.24
199708,3.83,3.34
199808,3.32,2.83
199908,4.29,3.80
200008,-3.22,-3.71
200108,-2.4,-2.89
200208,-9.09,-9.58
200308,-4.89,-5.38
200408,.16,-0.33
200508,-.41,-0.90
200608,.3,-0.19
200708,.19,-0.30
200808,.89,0.40
200908,1.11,0.62
201008,1.37,0.88
201108,-.38,-0.87
201208,-6.75,-7.24
201308,-5.9,-6.39
201408,1.24,0.75
201508,2.77,2.28
