Indiana, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.35,0.42
189601,-3.11,-3.04
189701,2.72,2.79
189801,1.44,1.51
189901,1.63,1.70
190001,-3.19,-3.12
190101,-2.2,-2.13
190201,-4.1,-4.03
190301,1.94,2.01
190401,.61,0.68
190501,-2.6,-2.53
190601,2.16,2.23
190701,2.49,2.56
190801,2.48,2.55
190901,-5.38,-5.31
191001,2.78,2.85
191101,.18,0.25
191201,1.44,1.51
191301,3.08,3.15
191401,-2.44,-2.37
191501,-4.31,-4.24
191601,4.64,4.71
191701,-1.48,-1.41
191801,-.78,-0.71
191901,-.51,-0.44
192001,-.51,-0.44
192101,-1.34,-1.27
192201,1.74,1.81
192301,.21,0.28
192401,1.72,1.79
192501,-1.65,-1.58
192601,-.55,-0.48
192701,3.17,3.24
192801,2.96,3.03
192901,1.68,1.75
193001,3.71,3.78
193101,-6.18,-6.11
193201,1.86,1.93
193301,2.41,2.48
193401,-3.51,-3.44
193501,-4.21,-4.14
193601,-2.09,-2.02
193701,3.03,3.10
193801,1.43,1.50
193901,.55,0.62
194001,-3.73,-3.66
194101,-4.39,-4.32
194201,.45,0.52
194301,-.47,-0.40
194401,-3.05,-2.98
194501,-5.15,-5.08
194601,-.33,-0.26
194701,-.86,-0.79
194801,-1.26,-1.19
194901,2.79,2.86
195001,4.03,4.10
195101,4.11,4.18
195201,2.65,2.72
195301,-1.66,-1.59
195401,-5.11,-5.04
195501,.44,0.51
195601,-.97,-0.90
195701,-2.69,-2.62
195801,-.3,-0.23
195901,3.14,3.21
196001,.23,0.30
196101,-2.79,-2.72
196201,1.78,1.85
196301,-1.73,-1.66
196401,-4.9,-4.83
196501,-3.91,-3.84
196601,-1.3,-1.23
196701,-.24,-0.17
196801,-.08,-0.01
196901,1.79,1.86
197001,-.69,-0.62
197101,.15,0.22
197201,-.34,-0.27
197301,2.51,2.58
197401,2.44,2.51
197501,2.05,2.12
197601,1.8,1.87
197701,-1.55,-1.48
197801,2.5,2.57
197901,1.79,1.86
198001,2.97,3.04
198101,-1.49,-1.42
198201,2.87,2.94
198301,-.47,-0.40
198401,.89,0.96
198501,1.02,1.09
198601,-.62,-0.55
198701,-.47,-0.40
198801,-1.31,-1.24
198901,.41,0.48
199001,1.9,1.97
199101,-.14,-0.07
199201,-2.07,-2.00
199301,3.49,3.56
199401,.11,0.18
199501,-1,-0.93
199601,-1.32,-1.25
199701,3.11,3.18
199801,-.82,-0.75
199901,.95,1.02
200001,-4.15,-4.08
200101,-.51,-0.44
200201,3.31,3.38
200301,-2.06,-1.99
200401,3.93,4.00
200501,4.45,4.52
200601,.2,0.27
200701,4.78,4.85
200801,.94,1.01
200901,1.86,1.93
201001,-.32,-0.25
201101,-2.59,-2.52
201201,3.98,4.05
201301,.94,1.01
201401,1.1,1.17
201501,2.52,2.59
