North Carolina, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-1.54,-1.59
189610,-.72,-0.77
189710,-1.68,-1.73
189810,2.08,2.03
189910,-.36,-0.41
190010,-2.85,-2.90
190110,4.57,4.52
190210,-.03,-0.08
190310,-.73,-0.78
190410,.39,0.34
190510,-.49,-0.54
190610,3.34,3.29
190710,1,0.95
190810,4.47,4.42
190910,-.29,-0.34
191010,-.08,-0.13
191110,-.04,-0.09
191210,-1.53,-1.58
191310,1.71,1.66
191410,.01,-0.04
191510,-.05,-0.10
191610,-.28,-0.33
191710,2.8,2.75
191810,.54,0.49
191910,-1.28,-1.33
192010,1.29,1.24
192110,-2.87,-2.92
192210,-.32,-0.37
192310,-2.08,-2.13
192410,-.53,-0.58
192510,-4.31,-4.36
192610,-4.84,-4.89
192710,-.37,-0.42
192810,4.5,4.45
192910,4.97,4.92
193010,-3.75,-3.80
193110,-2.57,-2.62
193210,1.02,0.97
193310,-2.94,-2.99
193410,1.25,1.20
193510,-.53,-0.58
193610,.75,0.70
193710,.74,0.69
193810,1.16,1.11
193910,-1.23,-1.28
194010,-1.69,-1.74
194110,-3.39,-3.44
194210,1.55,1.50
194310,-1.75,-1.80
194410,-1.09,-1.14
194510,2.4,2.35
194610,2.32,2.27
194710,1.2,1.15
194810,-.74,-0.79
194910,2.66,2.61
195010,-.16,-0.21
195110,-3,-3.05
195210,-1.72,-1.77
195310,-2.77,-2.82
195410,-3.92,-3.97
195510,-.01,-0.06
195610,1.1,1.05
195710,.94,0.89
195810,-.15,-0.20
195910,2.53,2.48
196010,.02,-0.03
196110,-1.14,-1.19
196210,.58,0.53
196310,-1.71,-1.76
196410,3.1,3.05
196510,-.78,-0.83
196610,-.08,-0.13
196710,1.64,1.59
196810,.32,0.27
196910,1.25,1.20
197010,-.98,-1.03
197110,3.31,3.26
197210,1.62,1.57
197310,-1.62,-1.67
197410,1.63,1.58
197510,2.59,2.54
197610,1.3,1.25
197710,.87,0.82
197810,-1.59,-1.64
197910,2.89,2.84
198010,-1.88,-1.93
198110,-2.03,-2.08
198210,.96,0.91
198310,-2.57,-2.62
198410,-.88,-0.93
198510,.57,0.52
198610,-4.12,-4.17
198710,-2.39,-2.44
198810,-2.14,-2.19
198910,3.96,3.91
199010,1.29,1.24
199110,-1.06,-1.11
199210,1.13,1.08
199310,-3.33,-3.38
199410,.88,0.83
199510,2.07,2.02
199610,3.36,3.31
199710,-.16,-0.21
199810,-2.45,-2.50
199910,3.35,3.30
200010,-.94,-0.99
200110,-2.13,-2.18
200210,.42,0.37
200310,4.73,4.68
200410,-.36,-0.41
200510,.58,0.53
200610,1.86,1.81
200710,-4.85,-4.90
200810,-3.34,-3.39
200910,-.52,-0.57
201010,-1.8,-1.85
201110,-2.24,-2.29
201210,-.1,-0.15
201310,1.9,1.85
201410,.32,0.27
201510,1.3,1.25
