South Carolina, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,2.16,2.28
189604,-2.39,-2.27
189704,0,0.12
189804,-1.94,-1.82
189904,-.21,-0.09
190004,1.48,1.60
190104,1.3,1.42
190204,-.32,-0.20
190304,1.65,1.77
190404,-1.43,-1.31
190504,-1.24,-1.12
190604,-.74,-0.62
190704,.57,0.69
190804,2.39,2.51
190904,.99,1.11
191004,-1.92,-1.80
191104,-2.09,-1.97
191204,2.84,2.96
191304,-.45,-0.33
191404,-.5,-0.38
191504,-1.11,-0.99
191604,-1.67,-1.55
191704,.13,0.25
191804,.92,1.04
191904,-.86,-0.74
192004,1.52,1.64
192104,-1.15,-1.03
192204,1.49,1.61
192304,1.18,1.30
192404,.83,0.95
192504,-2.07,-1.95
192604,-1.97,-1.85
192704,-4.32,-4.20
192804,1.56,1.68
192904,3.86,3.98
193004,-1.38,-1.26
193104,-2.05,-1.93
193204,-3.57,-3.45
193304,-1.12,-1.00
193404,-3.97,-3.85
193504,-2.93,-2.81
193604,3.26,3.38
193704,1.86,1.98
193804,1.05,1.17
193904,-.53,-0.41
194004,-1.85,-1.73
194104,-2.03,-1.91
194204,-.79,-0.67
194304,.63,0.75
194404,2.24,2.36
194504,-3.06,-2.94
194604,-.62,-0.50
194704,.71,0.83
194804,3.26,3.38
194904,2.08,2.20
195004,-2.27,-2.15
195104,-1.53,-1.41
195204,-1.17,-1.05
195304,-1.14,-1.02
195404,-2.21,-2.09
195504,-3.79,-3.67
195604,-1.71,-1.59
195704,-3.04,-2.92
195804,2.96,3.08
195904,.81,0.93
196004,-.28,-0.16
196104,1.85,1.97
196204,1.22,1.34
196304,.21,0.33
196404,2.9,3.02
196504,4.34,4.46
196604,1.49,1.61
196704,-1.51,-1.39
196804,-1.34,-1.22
196904,1.2,1.32
197004,-.71,-0.59
197104,1.22,1.34
197204,1.29,1.41
197304,2.89,3.01
197404,-1.1,-0.98
197504,2.13,2.25
197604,-1.91,-1.79
197704,-.75,-0.63
197804,-.71,-0.59
197904,1.49,1.61
198004,-.26,-0.14
198104,-3.36,-3.24
198204,1.39,1.51
198304,3.2,3.32
198404,2.46,2.58
198504,-3.43,-3.31
198604,-2.48,-2.36
198704,-.47,-0.35
198804,-1.6,-1.48
198904,.49,0.61
199004,-1.14,-1.02
199104,1.98,2.10
199204,-1.33,-1.21
199304,.02,0.14
199404,-2.36,-2.24
199504,1.61,1.73
199604,0,0.12
199704,.75,0.87
199804,5.15,5.27
199904,-2.37,-2.25
200004,-1.44,-1.32
200104,-2.5,-2.38
200204,-5.15,-5.03
200304,2.43,2.55
200404,-2.1,-1.98
200504,.01,0.13
200604,-1.8,-1.68
200704,-1.26,-1.14
200804,-3.28,-3.16
200904,.21,0.33
201004,-1.21,-1.09
201104,-3.37,-3.25
201204,-5.26,-5.14
201304,.99,1.11
201404,.63,0.75
201504,-.16,-0.04
