Indiana, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.99,-1.94
189604,-3.48,-3.43
189704,3.4,3.45
189804,1.89,1.94
189904,-1.03,-0.98
190004,-3.05,-3.00
190104,-2.1,-2.05
190204,-4.26,-4.21
190304,-.16,-0.11
190404,2.27,2.32
190504,.02,0.07
190604,-.79,-0.74
190704,1.38,1.43
190804,3.44,3.49
190904,1.43,1.48
191004,-2.1,-2.05
191104,.68,0.73
191204,2.04,2.09
191304,-.18,-0.13
191404,-2.03,-1.98
191504,-5.23,-5.18
191604,-1.1,-1.05
191704,.4,0.45
191804,-1.17,-1.12
191904,-.39,-0.34
192004,1.12,1.17
192104,-.75,-0.70
192204,3.08,3.13
192304,-.44,-0.39
192404,.97,1.02
192504,-2.36,-2.31
192604,.49,0.54
192704,3.16,3.21
192804,1.58,1.63
192904,1.07,1.12
193004,-1.12,-1.07
193104,-6.44,-6.39
193204,-.72,-0.67
193304,2.65,2.70
193404,-4.1,-4.05
193504,-3.57,-3.52
193604,-1.87,-1.82
193704,1.95,2.00
193804,1.5,1.55
193904,2.14,2.19
194004,-2.58,-2.53
194104,-5.2,-5.15
194204,.3,0.35
194304,.38,0.43
194404,-.9,-0.85
194504,1.38,1.43
194604,-1.52,-1.47
194704,1.2,1.25
194804,.56,0.61
194904,1.76,1.81
195004,4.88,4.93
195104,3.59,3.64
195204,2.48,2.53
195304,-1.24,-1.19
195404,-4.57,-4.52
195504,-.32,-0.27
195604,.54,0.59
195704,1.13,1.18
195804,-1.74,-1.69
195904,-.19,-0.14
196004,-1.37,-1.32
196104,1.31,1.36
196204,-1.02,-0.97
196304,-.94,-0.89
196404,-2.11,-2.06
196504,-2.14,-2.09
196604,-1.1,-1.05
196704,.03,0.08
196804,-.78,-0.73
196904,-.84,-0.79
197004,.85,0.90
197104,-1.53,-1.48
197204,1.18,1.23
197304,2.39,2.44
197404,1.64,1.69
197504,2.71,2.76
197604,-1.08,-1.03
197704,-1.32,-1.27
197804,1.25,1.30
197904,1.61,1.66
198004,2.04,2.09
198104,.54,0.59
198204,2.05,2.10
198304,.94,0.99
198404,1.23,1.28
198504,-.92,-0.87
198604,-1.2,-1.15
198704,-1.88,-1.83
198804,-1.08,-1.03
198904,1.04,1.09
199004,1.69,1.74
199104,-.25,-0.20
199204,-2.19,-2.14
199304,2.77,2.82
199404,-.39,-0.34
199504,.32,0.37
199604,1.28,1.33
199704,2.55,2.60
199804,1.09,1.14
199904,-.16,-0.11
200004,-3.64,-3.59
200104,-1.71,-1.66
200204,3.41,3.46
200304,-2.28,-2.23
200404,1.29,1.34
200504,-.9,-0.85
200604,.57,0.62
200704,-.02,0.03
200804,2.61,2.66
200904,2.09,2.14
201004,-1.32,-1.27
201104,2.92,2.97
201204,-1.9,-1.85
201304,1.45,1.50
201404,1.22,1.27
201504,1.97,2.02
