Kansas, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.9,1.54
189609,1.9,1.54
189709,-.89,-1.25
189809,2.06,1.70
189909,-.44,-0.80
190009,1.15,0.79
190109,-2.08,-2.44
190209,2.67,2.31
190309,3.43,3.07
190409,4.19,3.83
190509,2.85,2.49
190609,2.36,2.00
190709,1.8,1.44
190809,2.55,2.19
190909,2.41,2.05
191009,-.97,-1.33
191109,-3.32,-3.68
191209,.04,-0.32
191309,-3.7,-4.06
191409,-2.2,-2.56
191509,6.11,5.75
191609,-1.1,-1.46
191709,-2.13,-2.49
191809,0,-0.36
191909,-.78,-1.14
192009,.78,0.42
192109,-.32,-0.68
192209,-1.07,-1.43
192309,2.19,1.83
192409,.64,0.28
192509,-1.78,-2.14
192609,.76,0.40
192709,3.62,3.26
192809,3.22,2.86
192909,2.73,2.37
193009,-1.03,-1.39
193109,-1.32,-1.68
193209,-.44,-0.80
193309,-3.47,-3.83
193409,-6.62,-6.98
193509,-2.94,-3.30
193609,-5.16,-5.52
193709,-5.17,-5.53
193809,-2.42,-2.78
193909,-5.1,-5.46
194009,-4.06,-4.42
194109,2.68,2.32
194209,4.45,4.09
194309,1.63,1.27
194409,3.44,3.08
194509,4.4,4.04
194609,.2,-0.16
194709,-1.39,-1.75
194809,1.58,1.22
194909,3.36,3.00
195009,3.07,2.71
195109,7.14,6.78
195209,-3.24,-3.60
195309,-5.23,-5.59
195409,-5.55,-5.91
195509,-4.93,-5.29
195609,-8.2,-8.56
195709,2.51,2.15
195809,4.5,4.14
195909,1.95,1.59
196009,2.25,1.89
196109,4.27,3.91
196209,3.87,3.51
196309,-2.85,-3.21
196409,-4.06,-4.42
196509,3.41,3.05
196609,-1.75,-2.11
196709,1.89,1.53
196809,.59,0.23
196909,3.01,2.65
197009,.92,0.56
197109,-.72,-1.08
197209,1.16,0.80
197309,5.41,5.05
197409,1.88,1.52
197509,-.54,-0.90
197609,-1.18,-1.54
197709,1.66,1.30
197809,-.98,-1.34
197909,1.03,0.67
198009,-2.79,-3.15
198109,.41,0.05
198209,1.87,1.51
198309,-2.1,-2.46
198409,-1.73,-2.09
198509,3.52,3.16
198609,3.6,3.24
198709,-.13,-0.49
198809,-1.82,-2.18
198909,1.45,1.09
199009,-.54,-0.90
199109,-3.82,-4.18
199209,2.77,2.41
199309,7.9,7.54
199409,1.87,1.51
199509,-.01,-0.37
199609,2.07,1.71
199709,3.02,2.66
199809,1.88,1.52
199909,4.11,3.75
200009,-2.18,-2.54
200109,.33,-0.03
200209,-3.79,-4.15
200309,-1.05,-1.41
200409,1.23,0.87
200509,-.42,-0.78
200609,-2.5,-2.86
200709,2.06,1.70
200809,3.57,3.21
200909,4.26,3.90
201009,3.57,3.21
201109,-2.99,-3.35
201209,-3.94,-4.30
201309,-1.32,-1.68
201409,.68,0.32
201509,1.4,1.04
