Tennessee, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.98,-0.79
189602,-2.13,-1.94
189702,.13,0.32
189802,-2.35,-2.16
189902,.99,1.18
190002,-2.7,-2.51
190102,-1.49,-1.30
190202,.31,0.50
190302,1.12,1.31
190402,-2.43,-2.24
190502,-2.56,-2.37
190602,-1.48,-1.29
190702,-.87,-0.68
190802,-.34,-0.15
190902,.74,0.93
191002,-1.33,-1.14
191102,-1.4,-1.21
191202,-.41,-0.22
191302,2.18,2.37
191402,-3.82,-3.63
191502,-2.36,-2.17
191602,2.53,2.72
191702,.91,1.10
191802,-1.42,-1.23
191902,-.78,-0.59
192002,1.4,1.59
192102,-.68,-0.49
192202,-.88,-0.69
192302,.69,0.88
192402,-.18,0.01
192502,-1.97,-1.78
192602,-2.99,-2.80
192702,2.06,2.25
192802,-1.59,-1.40
192902,1.62,1.81
193002,-.53,-0.34
193102,-4.1,-3.91
193202,1.68,1.87
193302,1.6,1.79
193402,-2.37,-2.18
193502,-.67,-0.48
193602,-1.83,-1.64
193702,-.37,-0.18
193802,-1.22,-1.03
193902,1.98,2.17
194002,-3.05,-2.86
194102,-3.7,-3.51
194202,-3.85,-3.66
194302,-2.12,-1.93
194402,1.44,1.63
194502,1.12,1.31
194602,2.38,2.57
194702,-.87,-0.68
194802,1.26,1.45
194902,1.89,2.08
195002,4.09,4.28
195102,3.42,3.61
195202,-.51,-0.32
195302,-2.4,-2.21
195402,-2.68,-2.49
195502,.67,0.86
195602,1.53,1.72
195702,1.67,1.86
195802,-1.01,-0.82
195902,-1.32,-1.13
196002,-.61,-0.42
196102,.52,0.71
196202,2.75,2.94
196302,-2.08,-1.89
196402,-2.11,-1.92
196502,.68,0.87
196602,-2.02,-1.83
196702,-1.06,-0.87
196802,-1.12,-0.93
196902,-1.27,-1.08
197002,-.89,-0.70
197102,.47,0.66
197202,.22,0.41
197302,2.71,2.90
197402,3.9,4.09
197502,3.18,3.37
197602,1.96,2.15
197702,-1.83,-1.64
197802,-1.02,-0.83
197902,1.54,1.73
198002,2.46,2.65
198102,-3.43,-3.24
198202,0,0.19
198302,-.99,-0.80
198402,-.93,-0.74
198502,-1.09,-0.90
198602,-1.75,-1.56
198702,-1.04,-0.85
198802,-2.5,-2.31
198902,2.69,2.88
199002,3.85,4.04
199102,2.81,3.00
199202,-.94,-0.75
199302,-.79,-0.60
199402,1.43,1.62
199502,-.78,-0.59
199602,.86,1.05
199702,2.94,3.13
199802,1.67,1.86
199902,-.53,-0.34
200002,-3.14,-2.95
200102,-1.87,-1.68
200202,1.14,1.33
200302,2.82,3.01
200402,2.58,2.77
200502,-.48,-0.29
200602,-1.85,-1.66
200702,-1.74,-1.55
200802,-3.84,-3.65
200902,-2.19,-2.00
201002,-.41,-0.22
201102,-1.7,-1.51
201202,-.74,-0.55
201302,.91,1.10
201402,2.22,2.41
201502,1.63,1.82
