Utah, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-.22,-0.69
189606,-1.27,-1.74
189706,-.57,-1.04
189806,3.05,2.58
189906,.4,-0.07
190006,-2.65,-3.12
190106,-2.11,-2.58
190206,-3.81,-4.28
190306,2.21,1.74
190406,-.08,-0.55
190506,1.74,1.27
190606,4.47,4.00
190706,6.11,5.64
190806,2.78,2.31
190906,4.64,4.17
191006,1.79,1.32
191106,1.74,1.27
191206,1.77,1.30
191306,1.51,1.04
191406,3.57,3.10
191506,2.09,1.62
191606,1.69,1.22
191706,5.3,4.83
191806,-1.48,-1.95
191906,-2.6,-3.07
192006,2.74,2.27
192106,3.34,2.87
192206,3.56,3.09
192306,3.4,2.93
192406,-2.18,-2.65
192506,.37,-0.10
192606,-1.71,-2.18
192706,1.75,1.28
192806,-1.19,-1.66
192906,1.17,0.70
193006,-2.07,-2.54
193106,-3.59,-4.06
193206,1.99,1.52
193306,-.5,-0.97
193406,-6.13,-6.60
193506,-1.88,-2.35
193606,-2.12,-2.59
193706,1.34,0.87
193806,1.45,0.98
193906,-1.97,-2.44
194006,-3.45,-3.92
194106,4.11,3.64
194206,4.45,3.98
194306,-1.55,-2.02
194406,2.57,2.10
194506,1.32,0.85
194606,-1.9,-2.37
194706,3.26,2.79
194806,2.33,1.86
194906,2.75,2.28
195006,-1.39,-1.86
195106,-2.51,-2.98
195206,3.26,2.79
195306,-1.97,-2.44
195406,-3.81,-4.28
195506,-2.96,-3.43
195606,-2.62,-3.09
195706,2.78,2.31
195806,-.31,-0.78
195906,-3.59,-4.06
196006,-3.62,-4.09
196106,-4.35,-4.82
196206,1.83,1.36
196306,-2.97,-3.44
196406,-1.16,-1.63
196506,3.64,3.17
196606,-1.43,-1.90
196706,1.9,1.43
196806,1.34,0.87
196906,2.69,2.22
197006,.28,-0.19
197106,-.17,-0.64
197206,-2.65,-3.12
197306,4.61,4.14
197406,-2.36,-2.83
197506,2.49,2.02
197606,-.92,-1.39
197706,-5.66,-6.13
197806,2.27,1.80
197906,3.3,2.83
198006,4.32,3.85
198106,-2.22,-2.69
198206,1.95,1.48
198306,6.2,5.73
198406,5.53,5.06
198506,3.93,3.46
198606,3.18,2.71
198706,-1.86,-2.33
198806,-.07,-0.54
198906,-3.66,-4.13
199006,-4.96,-5.43
199106,-2.67,-3.14
199206,-2.49,-2.96
199306,3.21,2.74
199406,-2.11,-2.58
199506,5.14,4.67
199606,-1.92,-2.39
199706,2.67,2.20
199806,4.41,3.94
199906,2.84,2.37
200006,-3.44,-3.91
200106,-2.02,-2.49
200206,-5.48,-5.95
200306,-4.38,-4.85
200406,-2.98,-3.45
200506,5.71,5.24
200606,-1.66,-2.13
200706,-3.08,-3.55
200806,-1.23,-1.70
200906,-.81,-1.28
201006,.85,0.38
201106,5.08,4.61
201206,-4.61,-5.08
201306,-4.68,-5.15
201406,-4.04,-4.51
201506,-2.6,-3.07
