Montana, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.3,1.81
189602,1.28,0.79
189702,4.17,3.68
189802,3.77,3.28
189902,4.1,3.61
190002,2.49,2.00
190102,-1.51,-2.00
190202,.21,-0.28
190302,1.35,0.86
190402,3.46,2.97
190502,-5.17,-5.66
190602,-3.87,-4.36
190702,4.7,4.21
190802,1.48,0.99
190902,2.84,2.35
191002,4.9,4.41
191102,-.03,-0.52
191202,3.61,3.12
191302,4.09,3.60
191402,2,1.51
191502,-1.4,-1.89
191602,5.32,4.83
191702,5.83,5.34
191802,2.18,1.69
191902,-1.47,-1.96
192002,1.58,1.09
192102,-2.32,-2.81
192202,.91,0.42
192302,-.15,-0.64
192402,2.65,2.16
192502,1.38,0.89
192602,1.99,1.50
192702,1.68,1.19
192802,6.34,5.85
192902,-.74,-1.23
193002,-.27,-0.76
193102,-2.54,-3.03
193202,-5.31,-5.80
193302,1.09,0.60
193402,.71,0.22
193502,-4.73,-5.22
193602,-4.07,-4.56
193702,-6.35,-6.84
193802,-5.1,-5.59
193902,-.59,-1.08
194002,-2.49,-2.98
194102,-3.77,-4.26
194202,2.48,1.99
194302,3.97,3.48
194402,-2.75,-3.24
194502,-1.76,-2.25
194602,-.43,-0.92
194702,4.44,3.95
194802,2.64,2.15
194902,3,2.51
195002,.06,-0.43
195102,2.46,1.97
195202,4.69,4.20
195302,.25,-0.24
195402,.32,-0.17
195502,-2.81,-3.30
195602,2.01,1.52
195702,-1.18,-1.67
195802,.22,-0.27
195902,2.64,2.15
196002,.02,-0.47
196102,-3.53,-4.02
196202,-.17,-0.66
196302,1.81,1.32
196402,-1.76,-2.25
196502,3.73,3.24
196602,.45,-0.04
196702,.57,0.08
196802,1.53,1.04
196902,4.24,3.75
197002,1.21,0.72
197102,2.69,2.20
197202,2.94,2.45
197302,-1.17,-1.66
197402,1.48,0.99
197502,.37,-0.12
197602,5.67,5.18
197702,-2.55,-3.04
197802,2.21,1.72
197902,3.99,3.50
198002,-3.52,-4.01
198102,-2.4,-2.89
198202,.86,0.37
198302,2.07,1.58
198402,-.57,-1.06
198502,-1.12,-1.61
198602,2.47,1.98
198702,-.62,-1.11
198802,-3.19,-3.68
198902,-5.24,-5.73
199002,1.5,1.01
199102,-1.79,-2.28
199202,-1.44,-1.93
199302,-2.19,-2.68
199402,4.75,4.26
199502,.05,-0.44
199602,4.95,4.46
199702,3.31,2.82
199802,-1.25,-1.74
199902,1.49,1.00
200002,-1.46,-1.95
200102,-4.62,-5.11
200202,-6.28,-6.77
200302,-3.85,-4.34
200402,-3.59,-4.08
200502,-4.63,-5.12
200602,.83,0.34
200702,-.53,-1.02
200802,-2.13,-2.62
200902,.59,0.10
201002,-1.15,-1.64
201102,4.19,3.70
201202,-1.28,-1.77
201302,-2.72,-3.21
201402,1.39,0.90
201502,.61,0.12
