Kentucky, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.57,0.66
189601,-2.65,-2.56
189701,-.77,-0.68
189801,1.37,1.46
189901,1.62,1.71
190001,-3.17,-3.08
190101,-1.96,-1.87
190201,-2.42,-2.33
190301,.54,0.63
190401,-2.48,-2.39
190501,-4.14,-4.05
190601,-.15,-0.06
190701,3.19,3.28
190801,1.49,1.58
190901,-3.29,-3.20
191001,.11,0.20
191101,-.31,-0.22
191201,1.06,1.15
191301,2.69,2.78
191401,-3.57,-3.48
191501,-1.53,-1.44
191601,4.65,4.74
191701,1.72,1.81
191801,.43,0.52
191901,-1.23,-1.14
192001,3.69,3.78
192101,-.96,-0.87
192201,.85,0.94
192301,.92,1.01
192401,1.81,1.90
192501,-.98,-0.89
192601,-.59,-0.50
192701,3.9,3.99
192801,-.54,-0.45
192901,1.6,1.69
193001,1.48,1.57
193101,-7.01,-6.92
193201,1.54,1.63
193301,.76,0.85
193401,-1.53,-1.44
193501,.44,0.53
193601,-.47,-0.38
193701,3.3,3.39
193801,-1.07,-0.98
193901,.45,0.54
194001,-3.91,-3.82
194101,-3.65,-3.56
194201,-3.88,-3.79
194301,-.75,-0.66
194401,-4.1,-4.01
194501,.07,0.16
194601,.29,0.38
194701,-.06,0.03
194801,-1.56,-1.47
194901,1.8,1.89
195001,2.97,3.06
195101,4.49,4.58
195201,3.19,3.28
195301,-2.82,-2.73
195401,-4.97,-4.88
195501,-4,-3.91
195601,-1.81,-1.72
195701,.8,0.89
195801,1.66,1.75
195901,-.5,-0.41
196001,-.85,-0.76
196101,-1.28,-1.19
196201,1.7,1.79
196301,-.94,-0.85
196401,-3.4,-3.31
196501,.3,0.39
196601,-1.29,-1.20
196701,-.72,-0.63
196801,1.67,1.76
196901,-.43,-0.34
197001,-.81,-0.72
197101,.96,1.05
197201,.51,0.60
197301,2.18,2.27
197401,2.96,3.05
197501,2.89,2.98
197601,3.15,3.24
197701,-1.37,-1.28
197801,2.9,2.99
197901,3.54,3.63
198001,-.45,-0.36
198101,-3.15,-3.06
198201,.56,0.65
198301,-.65,-0.56
198401,.55,0.64
198501,-.32,-0.23
198601,-1.41,-1.32
198701,-1.25,-1.16
198801,-2.63,-2.54
198901,1.42,1.51
199001,2.8,2.89
199101,3.11,3.20
199201,-1.76,-1.67
199301,-.44,-0.35
199401,1.51,1.60
199501,-.9,-0.81
199601,.57,0.66
199701,3.16,3.25
199801,-1.72,-1.63
199901,-1.24,-1.15
200001,-4.28,-4.19
200101,-2.18,-2.09
200201,1.52,1.61
200301,1.51,1.60
200401,3.43,3.52
200501,3.95,4.04
200601,-2.57,-2.48
200701,-.21,-0.12
200801,.75,0.84
200901,-1.62,-1.53
201001,-.33,-0.24
201101,-2.22,-2.13
201201,-.1,-0.01
201301,1.29,1.38
201401,2.82,2.91
201501,1.23,1.32
201601,2.77,2.86
