Minnesota, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.02,-0.46
189602,-.85,-1.29
189702,3.45,3.01
189802,-1.9,-2.34
189902,1.04,0.60
190002,2.34,1.90
190102,2.36,1.92
190202,-1.04,-1.48
190302,2.26,1.82
190402,3.97,3.53
190502,2.32,1.88
190602,4.29,3.85
190702,3.89,3.45
190802,2.05,1.61
190902,1.37,0.93
191002,2.84,2.40
191102,-6.61,-7.05
191202,-.18,-0.62
191302,-1.57,-2.01
191402,1.23,0.79
191502,.59,0.15
191602,2.85,2.41
191702,1.74,1.30
191802,-2.81,-3.25
191902,1.51,1.07
192002,1.94,1.50
192102,-1.6,-2.04
192202,-2.32,-2.76
192302,-2.86,-3.30
192402,-5.47,-5.91
192502,1.27,0.83
192602,-.04,-0.48
192702,2.41,1.97
192802,.13,-0.31
192902,2.59,2.15
193002,-1.7,-2.14
193102,-3.12,-3.56
193202,-1.99,-2.43
193302,-2.5,-2.94
193402,-4.96,-5.40
193502,-4.41,-4.85
193602,1.35,0.91
193702,-4.69,-5.13
193802,-3.09,-3.53
193902,-1.35,-1.79
194002,-4.51,-4.95
194102,.73,0.29
194202,1.21,0.77
194302,2.94,2.50
194402,.96,0.52
194502,2.81,2.37
194602,2.95,2.51
194702,2.5,2.06
194802,.45,0.01
194902,-2.06,-2.50
195002,1.06,0.62
195102,.45,0.01
195202,3.76,3.32
195302,-.03,-0.47
195402,1.47,1.03
195502,-1.1,-1.54
195602,-2.34,-2.78
195702,-.02,-0.46
195802,-.2,-0.64
195902,-2.22,-2.66
196002,1.13,0.69
196102,-1.78,-2.22
196202,.76,0.32
196302,-.95,-1.39
196402,-3.29,-3.73
196502,1.01,0.57
196602,4.6,4.16
196702,.88,0.44
196802,-4.01,-4.45
196902,5.33,4.89
197002,.56,0.12
197102,2.98,2.54
197202,3.17,2.73
197302,2.71,2.27
197402,2.61,2.17
197502,1.01,0.57
197602,.42,-0.02
197702,-7.44,-7.88
197802,3.01,2.57
197902,2.56,2.12
198002,2.76,2.32
198102,-1.92,-2.36
198202,2.31,1.87
198302,3.42,2.98
198402,3.29,2.85
198502,2.08,1.64
198602,3.83,3.39
198702,-.11,-0.55
198802,-3.52,-3.96
198902,-3.8,-4.24
199002,-4.51,-4.95
199102,.08,-0.36
199202,2.91,2.47
199302,2.42,1.98
199402,4.26,3.82
199502,2.48,2.04
199602,3.83,3.39
199702,3.42,2.98
199802,1.86,1.42
199902,1.63,1.19
200002,2.26,1.82
200102,2.84,2.40
200202,-1.44,-1.88
200302,-.29,-0.73
200402,-2.83,-3.27
200502,3.23,2.79
200602,3.12,2.68
200702,-2.83,-3.27
200802,1.2,0.76
200902,2.54,2.10
201002,2.22,1.78
201102,4.44,4.00
201202,-3.47,-3.91
201302,.14,-0.30
201402,.87,0.43
201502,-1.75,-2.19
201602,2.35,1.91
