Florida, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.49,0.31
189601,.38,0.20
189701,.02,-0.16
189801,-.72,-0.90
189901,4.05,3.87
190001,.21,0.03
190101,.8,0.62
190201,-1.06,-1.24
190301,2.48,2.30
190401,2.19,2.01
190501,.46,0.28
190601,2.15,1.97
190701,-2.45,-2.63
190801,1.35,1.17
190901,-2.24,-2.42
191001,-2.18,-2.36
191101,-.81,-0.99
191201,2.36,2.18
191301,1.88,1.70
191401,.63,0.45
191501,2.37,2.19
191601,-.8,-0.98
191701,-.5,-0.68
191801,-.93,-1.11
191901,1.24,1.06
192001,-1.36,-1.54
192101,-.58,-0.76
192201,-.2,-0.38
192301,-.72,-0.90
192401,.49,0.31
192501,-.05,-0.23
192601,2.65,2.47
192701,-1.4,-1.58
192801,-4.7,-4.88
192901,1.97,1.79
193001,2.28,2.10
193101,2.8,2.62
193201,-5.39,-5.57
193301,.83,0.65
193401,-1.25,-1.43
193501,-2.26,-2.44
193601,1.74,1.56
193701,-.77,-0.95
193801,-.51,-0.69
193901,-2.39,-2.57
194001,.2,0.02
194101,1.17,0.99
194201,2.06,1.88
194301,-2.39,-2.57
194401,-.44,-0.62
194501,-.13,-0.31
194601,-.05,-0.23
194701,-1.57,-1.75
194801,5.58,5.40
194901,-.88,-1.06
195001,-1.58,-1.76
195101,-.64,-0.82
195201,-.7,-0.88
195301,-.34,-0.52
195401,-.7,-0.88
195501,-1.17,-1.35
195601,-3.39,-3.57
195701,-3.81,-3.99
195801,3.49,3.31
195901,1.42,1.24
196001,3.29,3.11
196101,-.24,-0.42
196201,-2.91,-3.09
196301,.48,0.30
196401,2.35,2.17
196501,2.23,2.05
196601,2.12,1.94
196701,-.57,-0.75
196801,-1.6,-1.78
196901,1.48,1.30
197001,3.55,3.37
197101,-2.49,-2.67
197201,.01,-0.17
197301,1.42,1.24
197401,-1.4,-1.58
197501,-.92,-1.10
197601,-.25,-0.43
197701,1.84,1.66
197801,1.81,1.63
197901,1.54,1.36
198001,1.39,1.21
198101,-2.49,-2.67
198201,.07,-0.11
198301,1.76,1.58
198401,2.72,2.54
198501,-2.37,-2.55
198601,1.55,1.37
198701,.89,0.71
198801,.91,0.73
198901,-1.42,-1.60
199001,-.41,-0.59
199101,1.52,1.34
199201,.29,0.11
199301,1.72,1.54
199401,1.09,0.91
199501,2.89,2.71
199601,2.55,2.37
199701,-.08,-0.26
199801,3.49,3.31
199901,-2.43,-2.61
200001,-1.56,-1.74
200101,-4.47,-4.65
200201,-1.85,-2.03
200301,2.21,2.03
200401,-.63,-0.81
200501,-.89,-1.07
200601,-.56,-0.74
200701,-4.57,-4.75
200801,-5.08,-5.26
200901,-2.42,-2.60
201001,1.59,1.41
201101,-3.15,-3.33
201201,-4.84,-5.02
201301,-1.67,-1.85
201401,1.12,0.94
201501,.99,0.81
201601,1.2,1.02
