Nebraska, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.31,-0.35
189601,-.73,-1.39
189701,2.77,2.11
189801,2.36,1.70
189901,-.43,-1.09
190001,-1.58,-2.24
190101,-1.72,-2.38
190201,-.97,-1.63
190301,3,2.34
190401,3.76,3.10
190501,3.13,2.47
190601,5.21,4.55
190701,5.2,4.54
190801,2.35,1.69
190901,3.67,3.01
191001,5.45,4.79
191101,-1.83,-2.49
191201,1.37,0.71
191301,-.65,-1.31
191401,-.27,-0.93
191501,.36,-0.30
191601,7,6.34
191701,2.38,1.72
191801,-.64,-1.30
191901,.95,0.29
192001,2.65,1.99
192101,3.72,3.06
192201,-.87,-1.53
192301,-.48,-1.14
192401,3.68,3.02
192501,-.08,-0.74
192601,.88,0.22
192701,.56,-0.10
192801,-1.01,-1.67
192901,.94,0.28
193001,.29,-0.37
193101,2.09,1.43
193201,1.43,0.77
193301,-1.46,-2.12
193401,-2.61,-3.27
193501,-6.04,-6.70
193601,-1.79,-2.45
193701,-4.99,-5.65
193801,-5.29,-5.95
193901,-3.41,-4.07
194001,-5.12,-5.78
194101,-4.12,-4.78
194201,1.08,0.42
194301,-.38,-1.04
194401,.6,-0.06
194501,2.65,1.99
194601,-.61,-1.27
194701,3.14,2.48
194801,-.54,-1.20
194901,1.7,1.04
195001,1.56,0.90
195101,1.59,0.93
195201,6.23,5.57
195301,-1.17,-1.83
195401,-1.46,-2.12
195501,-2.76,-3.42
195601,-4.9,-5.56
195701,-5.95,-6.61
195801,2.16,1.50
195901,1.85,1.19
196001,2.4,1.74
196101,-1.12,-1.78
196201,.7,0.04
196301,.48,-0.18
196401,-1.79,-2.45
196501,-2.3,-2.96
196601,3.3,2.64
196701,-.71,-1.37
196801,-.51,-1.17
196901,1.61,0.95
197001,-.35,-1.01
197101,.39,-0.27
197201,-.23,-0.89
197301,2.35,1.69
197401,5.4,4.74
197501,-1.61,-2.27
197601,-1.13,-1.79
197701,-2.96,-3.62
197801,1.7,1.04
197901,1.61,0.95
198001,3.38,2.72
198101,-2.66,-3.32
198201,.71,0.05
198301,4.13,3.47
198401,3.25,2.59
198501,3.55,2.89
198601,1.61,0.95
198701,3.03,2.37
198801,3.05,2.39
198901,-1.48,-2.14
199001,-3.7,-4.36
199101,-2.84,-3.50
199201,1.06,0.40
199301,2.97,2.31
199401,7.26,6.60
199501,3.46,2.80
199601,2.82,2.16
199701,3.03,2.37
199801,2.45,1.79
199901,3.49,2.83
200001,-1.48,-2.14
200101,.92,0.26
200201,-.64,-1.30
200301,-3.32,-3.98
200401,-2.89,-3.55
200501,-.48,-1.14
200601,-1.28,-1.94
200701,1.32,0.66
200801,2.48,1.82
200901,4.8,4.14
201001,5.85,5.19
201101,4.63,3.97
201201,-.37,-1.03
201301,-5.41,-6.07
201401,-1.72,-2.38
201501,2.03,1.37
201601,4.05,3.39
