Michigan, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-2.18,-2.16
189604,-3.27,-3.25
189704,3.72,3.74
189804,-.45,-0.43
189904,-.78,-0.76
190004,-1.46,-1.44
190104,-1.09,-1.07
190204,-2.53,-2.51
190304,1.84,1.86
190404,2.74,2.76
190504,-.95,-0.93
190604,-.76,-0.74
190704,1.8,1.82
190804,1.44,1.46
190904,-1.13,-1.11
191004,-3,-2.98
191104,-3.59,-3.57
191204,-.93,-0.91
191304,-.18,-0.16
191404,-2.3,-2.28
191504,-3.88,-3.86
191604,2.1,2.12
191704,.26,0.28
191804,-1.13,-1.11
191904,.86,0.88
192004,.97,0.99
192104,-.74,-0.72
192204,1.32,1.34
192304,-1.28,-1.26
192404,-.28,-0.26
192504,-2.6,-2.58
192604,.55,0.57
192704,-.8,-0.78
192804,1.45,1.47
192904,3.51,3.53
193004,-1.46,-1.44
193104,-7.54,-7.52
193204,.35,0.37
193304,1.08,1.10
193404,-2.48,-2.46
193504,-2.7,-2.68
193604,-1.31,-1.29
193704,.78,0.80
193804,1.16,1.18
193904,1.2,1.22
194004,-2.59,-2.57
194104,-1.52,-1.50
194204,.56,0.58
194304,2.55,2.57
194404,-1,-0.98
194504,.39,0.41
194604,-1.8,-1.78
194704,1.52,1.54
194804,-.97,-0.95
194904,-.72,-0.70
195004,3.49,3.51
195104,2.54,2.56
195204,2.58,2.60
195304,.98,1.00
195404,1.77,1.79
195504,-.94,-0.92
195604,.6,0.62
195704,.31,0.33
195804,-2.17,-2.15
195904,.88,0.90
196004,2.07,2.09
196104,.78,0.80
196204,-1.08,-1.06
196304,-3.18,-3.16
196404,-4.37,-4.35
196504,.98,1.00
196604,2.05,2.07
196704,1.57,1.59
196804,.72,0.74
196904,1.57,1.59
197004,-1.76,-1.74
197104,-.73,-0.71
197204,.72,0.74
197304,1.97,1.99
197404,1.13,1.15
197504,1.86,1.88
197604,3.99,4.01
197704,-3.49,-3.47
197804,-1.24,-1.22
197904,2.11,2.13
198004,-.37,-0.35
198104,1.3,1.32
198204,1.58,1.60
198304,2.09,2.11
198404,-.55,-0.53
198504,2.46,2.48
198604,2.18,2.20
198704,-2.67,-2.65
198804,-.33,-0.31
198904,-.91,-0.89
199004,-.68,-0.66
199104,2.39,2.41
199204,1.64,1.66
199304,2.56,2.58
199404,1.49,1.51
199504,-.17,-0.15
199604,.81,0.83
199704,-.79,-0.77
199804,-.47,-0.45
199904,-3.12,-3.10
200004,-2.97,-2.95
200104,.03,0.05
200204,2.01,2.03
200304,-2.15,-2.13
200404,-.49,-0.47
200504,-1.58,-1.56
200604,.22,0.24
200704,.44,0.46
200804,1.25,1.27
200904,3.17,3.19
201004,-2.74,-2.72
201104,1.96,1.98
201204,-1.13,-1.11
201304,3.1,3.12
201404,2.32,2.34
201504,1.18,1.20
