Michigan, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-4.19,-4.02
189609,1.87,2.04
189709,-1.85,-1.68
189809,-1.71,-1.54
189909,-.9,-0.73
190009,1.68,1.85
190109,-1.85,-1.68
190209,2.11,2.28
190309,3.03,3.20
190409,.37,0.54
190509,1.9,2.07
190609,-1.55,-1.38
190709,-.34,-0.17
190809,-2.46,-2.29
190909,-2.18,-2.01
191009,-3.68,-3.51
191109,.1,0.27
191209,1.32,1.49
191309,-1.92,-1.75
191409,-1.27,-1.10
191509,2.83,3.00
191609,-1.66,-1.49
191709,-.86,-0.69
191809,-2.26,-2.09
191909,-2.31,-2.14
192009,-.8,-0.63
192109,-2.68,-2.51
192209,-.59,-0.42
192309,-1.27,-1.10
192409,1.72,1.89
192509,.06,0.23
192609,1.57,1.74
192709,.34,0.51
192809,2.14,2.31
192909,-1.73,-1.56
193009,-3.95,-3.78
193109,.42,0.59
193209,.19,0.36
193309,-3.1,-2.93
193409,-4.2,-4.03
193509,-1.38,-1.21
193609,-2.96,-2.79
193709,.12,0.29
193809,-.22,-0.05
193909,-.71,-0.54
194009,-.56,-0.39
194109,.28,0.45
194209,1.84,2.01
194309,-.71,-0.54
194409,-1.25,-1.08
194509,2.95,3.12
194609,-2.26,-2.09
194709,-.32,-0.15
194809,-3.11,-2.94
194909,-.61,-0.44
195009,2.42,2.59
195109,2.93,3.10
195209,-.9,-0.73
195309,-.64,-0.47
195409,1.06,1.23
195509,-3.37,-3.20
195609,-.72,-0.55
195709,.58,0.75
195809,-.09,0.08
195909,.63,0.80
196009,-.56,-0.39
196109,1.14,1.31
196209,-1.44,-1.27
196309,-3.23,-3.06
196409,-2.67,-2.50
196509,1.72,1.89
196609,-2.33,-2.16
196709,1.02,1.19
196809,2.26,2.43
196909,-2.14,-1.97
197009,.97,1.14
197109,-1.93,-1.76
197209,2.1,2.27
197309,-.78,-0.61
197409,1.52,1.69
197509,3.43,3.60
197609,-2.78,-2.61
197709,1.43,1.60
197809,1.18,1.35
197909,-1.33,-1.16
198009,1.9,2.07
198109,1.6,1.77
198209,1.49,1.66
198309,.3,0.47
198409,.53,0.70
198509,2.68,2.85
198609,4.98,5.15
198709,1.23,1.40
198809,.2,0.37
198909,-1.16,-0.99
199009,1.21,1.38
199109,-1.07,-0.90
199209,1.99,2.16
199309,3.25,3.42
199409,-.28,-0.11
199509,-1.37,-1.20
199609,1.54,1.71
199709,-.23,-0.06
199809,-3.4,-3.23
199909,-1.55,-1.38
200009,1.64,1.81
200109,.37,0.54
200209,-1.39,-1.22
200309,-1.76,-1.59
200409,-1.52,-1.35
200509,-2.85,-2.68
200609,.22,0.39
200709,-2.27,-2.10
200809,1.8,1.97
200909,1.89,2.06
201009,1.99,2.16
201109,1.47,1.64
201209,-2.35,-2.18
201309,1.48,1.65
201409,2.85,3.02
201509,.66,0.83
