North Dakota, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.31,0.83
189604,4.29,3.81
189704,6.16,5.68
189804,-1.53,-2.01
189904,.29,-0.19
190004,-1.39,-1.87
190104,-.77,-1.25
190204,2.87,2.39
190304,1.34,0.86
190404,3.19,2.71
190504,1.07,0.59
190604,1.7,1.22
190704,3.53,3.05
190804,1.54,1.06
190904,.64,0.16
191004,-1,-1.48
191104,-2.57,-3.05
191204,.26,-0.22
191304,-.82,-1.30
191404,.18,-0.30
191504,-2.05,-2.53
191604,4.22,3.74
191704,5.01,4.53
191804,-1.92,-2.40
191904,.6,0.12
192004,1.83,1.35
192104,.45,-0.03
192204,1.01,0.53
192304,2.24,1.76
192404,1.6,1.12
192504,-.65,-1.13
192604,-1.74,-2.22
192704,.99,0.51
192804,3,2.52
192904,3.56,3.08
193004,-.8,-1.28
193104,-1.73,-2.21
193204,-1.42,-1.90
193304,.83,0.35
193404,-3.51,-3.99
193504,-4.14,-4.62
193604,-.93,-1.41
193704,-4.08,-4.56
193804,-2.66,-3.14
193904,-2.83,-3.31
194004,-2.39,-2.87
194104,.31,-0.17
194204,3.36,2.88
194304,3.6,3.12
194404,1.24,0.76
194504,3.45,2.97
194604,-.94,-1.42
194704,1.11,0.63
194804,2.62,2.14
194904,-.92,-1.40
195004,2.69,2.21
195104,2.35,1.87
195204,-1.43,-1.91
195304,1,0.52
195404,1.15,0.67
195504,-1.42,-1.90
195604,-.44,-0.92
195704,.12,-0.36
195804,-.9,-1.38
195904,-2.7,-3.18
196004,-1.45,-1.93
196104,-1.9,-2.38
196204,-1.15,-1.63
196304,1.64,1.16
196404,-1.84,-2.32
196504,.43,-0.05
196604,3.69,3.21
196704,3.47,2.99
196804,.12,-0.36
196904,1.65,1.17
197004,1.49,1.01
197104,1.37,0.89
197204,2.83,2.35
197304,-.58,-1.06
197404,1.78,1.30
197504,2.74,2.26
197604,3.09,2.61
197704,-3.97,-4.45
197804,2.12,1.64
197904,3.23,2.75
198004,-2.73,-3.21
198104,-2.05,-2.53
198204,.38,-0.10
198304,3.7,3.22
198404,2.34,1.86
198504,-1.33,-1.81
198604,2.12,1.64
198704,-1.17,-1.65
198804,-2.85,-3.33
198904,-3.02,-3.50
199004,-3.76,-4.24
199104,-3.66,-4.14
199204,-1.76,-2.24
199304,-1.79,-2.27
199404,4.62,4.14
199504,5.94,5.46
199604,4.77,4.29
199704,5.15,4.67
199804,-.84,-1.32
199904,2.85,2.37
200004,2.63,2.15
200104,2.93,2.45
200204,-1.96,-2.44
200304,-1.98,-2.46
200404,.01,-0.47
200504,-1.57,-2.05
200604,-.25,-0.73
200704,.32,-0.16
200804,-2.41,-2.89
200904,4.73,4.25
201004,4.47,3.99
201104,7.4,6.92
201204,-1.05,-1.53
201304,1.02,0.54
201404,5.05,4.57
201504,1.92,1.44
