Georgia, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,1.47,1.70
189605,-3.03,-2.80
189705,-.86,-0.63
189805,-4.62,-4.39
189905,-1.43,-1.20
190005,1.01,1.24
190105,1.6,1.83
190205,-1.4,-1.17
190305,2.02,2.25
190405,-2.06,-1.83
190505,-1.55,-1.32
190605,.31,0.54
190705,.67,0.90
190805,-.43,-0.20
190905,.65,0.88
191005,-2.13,-1.90
191105,-2.57,-2.34
191205,3.5,3.73
191305,-1.45,-1.22
191405,-3.32,-3.09
191505,-.76,-0.53
191605,-2.78,-2.55
191705,-.55,-0.32
191805,-2.54,-2.31
191905,1.22,1.45
192005,2.47,2.70
192105,-1.75,-1.52
192205,1.73,1.96
192305,1.82,2.05
192405,.62,0.85
192505,-3.17,-2.94
192605,-2.1,-1.87
192705,-3.86,-3.63
192805,2.09,2.32
192905,4.19,4.42
193005,-1.37,-1.14
193105,-1.26,-1.03
193205,-.05,0.18
193305,-.89,-0.66
193405,-2.01,-1.78
193505,-2.63,-2.40
193605,-1.02,-0.79
193705,-.6,-0.37
193805,.46,0.69
193905,.78,1.01
194005,-1.83,-1.60
194105,-3.36,-3.13
194205,-.86,-0.63
194305,-.15,0.08
194405,-.68,-0.45
194505,-1.83,-1.60
194605,2.21,2.44
194705,1.19,1.42
194805,3.43,3.66
194905,2.24,2.47
195005,-2.05,-1.82
195105,-1.86,-1.63
195205,-.09,0.14
195305,.35,0.58
195405,-2.29,-2.06
195505,-3.73,-3.50
195605,-2.45,-2.22
195705,1,1.23
195805,1.91,2.14
195905,1.55,1.78
196005,-.51,-0.28
196105,1.88,2.11
196205,-1.19,-0.96
196305,.12,0.35
196405,2.93,3.16
196505,2.22,2.45
196605,2.83,3.06
196705,.31,0.54
196805,-1.09,-0.86
196905,.75,0.98
197005,1.03,1.26
197105,1.47,1.70
197205,1.33,1.56
197305,3.31,3.54
197405,.65,0.88
197505,2.99,3.22
197605,2.1,2.33
197705,-1.32,-1.09
197805,.56,0.79
197905,1.71,1.94
198005,2.69,2.92
198105,-3.34,-3.11
198205,.59,0.82
198305,-.39,-0.16
198405,2.73,2.96
198505,-2.88,-2.65
198605,-2.6,-2.37
198705,-1.38,-1.15
198805,-2.44,-2.21
198905,.19,0.42
199005,-.91,-0.68
199105,1.91,2.14
199205,-1.15,-0.92
199305,-.76,-0.53
199405,-.87,-0.64
199505,-1.86,-1.63
199605,-.63,-0.40
199705,.38,0.61
199805,-.59,-0.36
199905,-3.75,-3.52
200005,-4.37,-4.14
200105,-2.7,-2.47
200205,-3.57,-3.34
200305,2.47,2.70
200405,-2.61,-2.38
200505,1.79,2.02
200605,-2.32,-2.09
200705,-4.76,-4.53
200805,-3.3,-3.07
200905,2.12,2.35
201005,-.63,-0.40
201105,-3.49,-3.26
201205,-4.91,-4.68
201305,1.63,1.86
201405,.01,0.24
201505,-.86,-0.63
