Rhode Island, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-.91,-0.74
189605,-1.38,-1.21
189705,.2,0.37
189805,2.71,2.88
189905,-1.14,-0.97
190005,.53,0.70
190105,3.77,3.94
190205,-.76,-0.59
190305,.98,1.15
190405,1.14,1.31
190505,-2.19,-2.02
190605,1.18,1.35
190705,-.3,-0.13
190805,-.19,-0.02
190905,-.18,-0.01
191005,-1.75,-1.58
191105,-2.2,-2.03
191205,1.84,2.01
191305,-.3,-0.13
191405,-.41,-0.24
191505,-2.08,-1.91
191605,.82,0.99
191705,.67,0.84
191805,-1.43,-1.26
191905,1.18,1.35
192005,2.9,3.07
192105,.03,0.20
192205,.35,0.52
192305,-.7,-0.53
192405,1.46,1.63
192505,-1.99,-1.82
192605,-.67,-0.50
192705,-1.77,-1.60
192805,1.55,1.72
192905,1.3,1.47
193005,-2.2,-2.03
193105,.16,0.33
193205,-2.19,-2.02
193305,-.55,-0.38
193405,.33,0.50
193505,-1.2,-1.03
193605,-.74,-0.57
193705,-.39,-0.22
193805,.32,0.49
193905,-.86,-0.69
194005,1.56,1.73
194105,-2.45,-2.28
194205,-2.54,-2.37
194305,-.52,-0.35
194405,-2.85,-2.68
194505,-.77,-0.60
194605,.49,0.66
194705,.64,0.81
194805,1.86,2.03
194905,-1.14,-0.97
195005,-2.67,-2.50
195105,-1.32,-1.15
195205,-.1,0.07
195305,.02,0.19
195405,.99,1.16
195505,-1.36,-1.19
195605,-.49,-0.32
195705,-2.24,-2.07
195805,2.28,2.45
195905,-1.19,-1.02
196005,-.34,-0.17
196105,1.31,1.48
196205,-1.32,-1.15
196305,-1.07,-0.90
196405,-1.05,-0.88
196505,-3.27,-3.10
196605,-3.9,-3.73
196705,2.08,2.25
196805,.14,0.31
196905,-.91,-0.74
197005,.67,0.84
197105,-.31,-0.14
197205,2.28,2.45
197305,3.3,3.47
197405,-.41,-0.24
197505,-.8,-0.63
197605,-1.43,-1.26
197705,-.34,-0.17
197805,-.31,-0.14
197905,2.75,2.92
198005,-.71,-0.54
198105,-2.59,-2.42
198205,-.69,-0.52
198305,4.01,4.18
198405,4.33,4.50
198505,.36,0.53
198605,-1.84,-1.67
198705,-.59,-0.42
198805,-1.12,-0.95
198905,.94,1.11
199005,2.88,3.05
199105,-.75,-0.58
199205,-1.71,-1.54
199305,-.94,-0.77
199405,-.7,-0.53
199505,-1.72,-1.55
199605,1.09,1.26
199705,-.16,0.01
199805,2.42,2.59
199905,-.87,-0.70
200005,.92,1.09
200105,.95,1.12
200205,-1.82,-1.65
200305,1.4,1.57
200405,-.33,-0.16
200505,2.08,2.25
200605,2.1,2.27
200705,-.39,-0.22
200805,1.05,1.22
200905,.98,1.15
201005,3.64,3.81
201105,.68,0.85
201205,.15,0.32
201305,-1.5,-1.33
201405,-.18,-0.01
201505,-1.76,-1.59
